"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"1429","0ab358f3211fb7268c46b226dc6ad05e837cec862d89a5a57a0a08c51ec98ffc","cuc","CUC-HON-1-E-ELEVATOR",2016,8,1,7,22,0,"8",1,2016,7,"32"
"1405","193b8bff00bdc347489961f3b3b0528ea37a30ceb8ae574bf4d9cc3b73a030b6","cuc","CUC-HON-1-E-ELEVATOR",2016,8,1,8,2,0,"8",1,2016,8,"12"
"1333","540668aeab863d371c954874426375bfb709cc6febe7983710bc386f41a27cf5","cgu","CUC-HON-1-E-ELEVATOR",2016,8,1,9,3,0,"8",1,2016,9,"13"
"1150","1d5993c188a29495939e1276285ac94886352013c19e5388b5a8a4c516a29f4f","scr","CUC-HON-1-E-ELEVATOR",2016,8,1,10,18,0,"8",1,2016,13,"46"
"1149","1d5993c188a29495939e1276285ac94886352013c19e5388b5a8a4c516a29f4f","scr","CUC-HON-1-E-ELEVATOR",2016,8,1,10,23,0,"8",1,2016,13,"46"
"994","5f12b8c7991d7c0869cebb9cc357bce7215786712c6215818e58074cb89fa838","cuc","CUC-HON-1-E-ELEVATOR",2016,8,1,10,33,0,"8",1,2016,10,"43"
"944","20f8dc88b5789ea178196a737e7d239cd53c2404f6c966f452f1d057dd08f07e","cgu","CUC-HON-1-E-ELEVATOR",2016,8,1,10,44,0,"8",1,2016,11,"43"
"1561","6bf5d3ebc9ba22b4e8ad3c39f5818c0d22c11f7ee4934ed908ae853207d855b3","cmc","CUC-HON-1-E-ELEVATOR",2016,8,1,10,53,0,"8",1,2016,11,"03"
"1532","35f0191f39386f40712e9ba912a0daed2d5a6ac88b2a7a5e089de11dafaaf500","pit","CUC-HON-1-E-ELEVATOR",2016,8,1,11,7,0,"8",1,2016,11,"13"
"1506","6bf5d3ebc9ba22b4e8ad3c39f5818c0d22c11f7ee4934ed908ae853207d855b3","cmc","CUC-HON-1-E-ELEVATOR",2016,8,1,11,13,0,"8",1,2016,11,"23"
"1485","6bf5d3ebc9ba22b4e8ad3c39f5818c0d22c11f7ee4934ed908ae853207d855b3","cmc","CUC-HON-1-E-ELEVATOR",2016,8,1,11,23,0,"8",1,2016,11,"33"
"928","c2f08b18202f69bebd95c628fe22f1df7c9fce3cc4fc23230335a9a2b0056e37","scr","CUC-HON-1-E-ELEVATOR",2016,8,1,11,25,0,"8",1,2016,11,"54"
"1239","1d5993c188a29495939e1276285ac94886352013c19e5388b5a8a4c516a29f4f","scr","CUC-HON-1-E-ELEVATOR",2016,8,1,11,26,0,"8",1,2016,13,"15"
"1477","6bf5d3ebc9ba22b4e8ad3c39f5818c0d22c11f7ee4934ed908ae853207d855b3","cmc","CUC-HON-1-E-ELEVATOR",2016,8,1,11,33,0,"8",1,2016,11,"43"
"932","6bf5d3ebc9ba22b4e8ad3c39f5818c0d22c11f7ee4934ed908ae853207d855b3","cmc","CUC-HON-1-E-ELEVATOR",2016,8,1,11,43,0,"8",1,2016,11,"54"
"491","20f8dc88b5789ea178196a737e7d239cd53c2404f6c966f452f1d057dd08f07e","cgu","CUC-HON-1-E-ELEVATOR",2016,8,1,11,47,0,"8",1,2016,0,"24"
"1209","6bf5d3ebc9ba22b4e8ad3c39f5818c0d22c11f7ee4934ed908ae853207d855b3","cmc","CUC-HON-1-E-ELEVATOR",2016,8,1,12,4,0,"8",1,2016,13,"26"
"426","0ab358f3211fb7268c46b226dc6ad05e837cec862d89a5a57a0a08c51ec98ffc","cuc","CUC-HON-1-E-ELEVATOR",2016,8,1,12,14,0,"8",1,2016,0,"55"
"444","c2f08b18202f69bebd95c628fe22f1df7c9fce3cc4fc23230335a9a2b0056e37","scr","CUC-HON-1-E-ELEVATOR",2016,8,1,12,14,0,"8",1,2016,0,"45"
"495","b551b619c854df164a600704f0bf33c05072af6f8bc1ad0fb87126cb993f6b18","cuc","CUC-HON-1-E-ELEVATOR",2016,8,1,12,14,0,"8",1,2016,0,"24"
"496","b551b619c854df164a600704f0bf33c05072af6f8bc1ad0fb87126cb993f6b18","cuc","CUC-HON-1-E-ELEVATOR",2016,8,1,12,14,0,"8",1,2016,0,"24"
"471","6f85740aa675178bc7f77c11315c4345377bbc4bff0d4a6cd8e3d3f870f69f66","cgu","CUC-HON-1-E-ELEVATOR",2016,8,1,12,24,0,"8",1,2016,0,"35"
"424","84695eb809d47bd6f80b3b8b645e6627a7994d99267f40dede12237046439bd4","cgu","CUC-HON-1-E-ELEVATOR",2016,8,1,12,30,0,"8",1,2016,0,"55"
"429","84695eb809d47bd6f80b3b8b645e6627a7994d99267f40dede12237046439bd4","cgu","CUC-HON-1-E-ELEVATOR",2016,8,1,12,35,0,"8",1,2016,0,"55"
"694","1d5993c188a29495939e1276285ac94886352013c19e5388b5a8a4c516a29f4f","scr","CUC-HON-1-E-ELEVATOR",2016,8,1,12,35,0,"8",1,2016,16,"09"
"305","c2f08b18202f69bebd95c628fe22f1df7c9fce3cc4fc23230335a9a2b0056e37","scr","CUC-HON-1-E-ELEVATOR",2016,8,1,12,43,0,"8",1,2016,14,"17"
"423","e1178a0b40615f6b5c5297017eb33d8e2b59ef78e725de0b2e3a96c6c2758d7a","cuc","CUC-HON-1-E-ELEVATOR",2016,8,1,12,50,0,"8",1,2016,0,"55"
"391","c2f08b18202f69bebd95c628fe22f1df7c9fce3cc4fc23230335a9a2b0056e37","scr","CUC-HON-1-E-ELEVATOR",2016,8,1,12,55,0,"8",1,2016,13,"15"
"401","e1178a0b40615f6b5c5297017eb33d8e2b59ef78e725de0b2e3a96c6c2758d7a","cuc","CUC-HON-1-E-ELEVATOR",2016,8,1,12,55,0,"8",1,2016,13,"05"
"1236","c2f08b18202f69bebd95c628fe22f1df7c9fce3cc4fc23230335a9a2b0056e37","scr","CUC-HON-1-E-ELEVATOR",2016,8,1,13,5,0,"8",1,2016,13,"15"
"357","6bf5d3ebc9ba22b4e8ad3c39f5818c0d22c11f7ee4934ed908ae853207d855b3","cmc","CUC-HON-1-E-ELEVATOR",2016,8,1,13,26,0,"8",1,2016,13,"56"
"1157","fd76e69bb7319d54f6b60742e7230ab860c9ede4ab4ee7c98997c4248da07b41","cgu","CUC-HON-1-E-ELEVATOR",2016,8,1,13,36,0,"8",1,2016,13,"46"
"768","1d5993c188a29495939e1276285ac94886352013c19e5388b5a8a4c516a29f4f","scr","CUC-HON-1-E-ELEVATOR",2016,8,1,13,56,0,"8",1,2016,15,"38"
"277","c2f08b18202f69bebd95c628fe22f1df7c9fce3cc4fc23230335a9a2b0056e37","scr","CUC-HON-1-E-ELEVATOR",2016,8,1,14,17,0,"8",1,2016,14,"27"
"280","c2f08b18202f69bebd95c628fe22f1df7c9fce3cc4fc23230335a9a2b0056e37","scr","CUC-HON-1-E-ELEVATOR",2016,8,1,14,17,0,"8",1,2016,14,"27"
"216","6bf5d3ebc9ba22b4e8ad3c39f5818c0d22c11f7ee4934ed908ae853207d855b3","cmc","CUC-HON-1-E-ELEVATOR",2016,8,1,14,37,0,"8",1,2016,14,"47"
"190","c2f08b18202f69bebd95c628fe22f1df7c9fce3cc4fc23230335a9a2b0056e37","scr","CUC-HON-1-E-ELEVATOR",2016,8,1,14,47,0,"8",1,2016,14,"57"
"191","c2f08b18202f69bebd95c628fe22f1df7c9fce3cc4fc23230335a9a2b0056e37","scr","CUC-HON-1-E-ELEVATOR",2016,8,1,14,47,0,"8",1,2016,14,"57"
"204","6bf5d3ebc9ba22b4e8ad3c39f5818c0d22c11f7ee4934ed908ae853207d855b3","cmc","CUC-HON-1-E-ELEVATOR",2016,8,1,14,47,0,"8",1,2016,14,"57"
"692","c2f08b18202f69bebd95c628fe22f1df7c9fce3cc4fc23230335a9a2b0056e37","scr","CUC-HON-1-E-ELEVATOR",2016,8,1,14,47,0,"8",1,2016,16,"09"
"824","b4f00a4492a19cd6783efe983b4d88cc136c4ade7c0d2fe7e431e0a807e9e366","cuc","CUC-HON-1-E-ELEVATOR",2016,8,1,15,8,0,"8",1,2016,15,"18"
"770","ae4f946e8f4f34902dde7ea6f212e48f2adcb00fedd444a344d6991dae5fb8b6","cuc","CUC-HON-1-E-ELEVATOR",2016,8,1,15,28,0,"8",1,2016,15,"38"
"771","c2f08b18202f69bebd95c628fe22f1df7c9fce3cc4fc23230335a9a2b0056e37","scr","CUC-HON-1-E-ELEVATOR",2016,8,1,15,28,0,"8",1,2016,15,"38"
"721","c2f08b18202f69bebd95c628fe22f1df7c9fce3cc4fc23230335a9a2b0056e37","scr","CUC-HON-1-E-ELEVATOR",2016,8,1,15,48,0,"8",1,2016,15,"59"
"1108","ebf3f4adff0c9f2f145a2ed928386510270ab4aae16d72ffdf451198fde9ac08","scr","CUC-HON-1-E-ELEVATOR",2016,8,1,16,9,0,"8",1,2016,16,"40"
"607","1d5993c188a29495939e1276285ac94886352013c19e5388b5a8a4c516a29f4f","scr","CUC-HON-1-E-ELEVATOR",2016,8,1,16,26,0,"8",1,2016,17,"15"
"643","ebf3f4adff0c9f2f145a2ed928386510270ab4aae16d72ffdf451198fde9ac08","scr","CUC-HON-1-E-ELEVATOR",2016,8,1,16,40,0,"8",1,2016,17,"00"
"533","ebf3f4adff0c9f2f145a2ed928386510270ab4aae16d72ffdf451198fde9ac08","scr","CUC-HON-1-E-ELEVATOR",2016,8,1,17,0,0,"8",1,2016,17,"43"
"535","1d5993c188a29495939e1276285ac94886352013c19e5388b5a8a4c516a29f4f","scr","CUC-HON-1-E-ELEVATOR",2016,8,1,17,16,0,"8",1,2016,17,"42"
"2815","ef585d98df7c3eb4605e6e9df6941cfba64afc37fb0b81d4cc0aa6e856078789","hmc","CUC-HON-1-E-ELEVATOR",2016,8,2,8,43,1,"8",2,2016,8,"50"
"2797","2c20a052ce19eae69b0fb6da5bdf8b81316fdc8152dcc77835d5b1d532506831","cgu","CUC-HON-1-E-ELEVATOR",2016,8,2,8,45,1,"8",2,2016,9,"11"
"2674","ef585d98df7c3eb4605e6e9df6941cfba64afc37fb0b81d4cc0aa6e856078789","hmc","CUC-HON-1-E-ELEVATOR",2016,8,2,8,50,1,"8",2,2016,10,"11"
"2769","193b8bff00bdc347489961f3b3b0528ea37a30ceb8ae574bf4d9cc3b73a030b6","cuc","CUC-HON-1-E-ELEVATOR",2016,8,2,9,11,1,"8",2,2016,9,"21"
"2734","b551b619c854df164a600704f0bf33c05072af6f8bc1ad0fb87126cb993f6b18","cuc","CUC-HON-1-E-ELEVATOR",2016,8,2,9,31,1,"8",2,2016,9,"41"
"2733","caa4c58e27c6729626270f3ae2cb81a4594a3a7672148343913029a53f7f2f4c","cgu","CUC-HON-1-E-ELEVATOR",2016,8,2,9,33,1,"8",2,2016,9,"41"
"2161","caa4c58e27c6729626270f3ae2cb81a4594a3a7672148343913029a53f7f2f4c","cgu","CUC-HON-1-E-ELEVATOR",2016,8,2,9,41,1,"8",2,2016,13,"55"
"2614","caa4c58e27c6729626270f3ae2cb81a4594a3a7672148343913029a53f7f2f4c","cgu","CUC-HON-1-E-ELEVATOR",2016,8,2,9,41,1,"8",2,2016,10,"17"
"2159","4c8aa64725ae3dbae46c6efc5b5312831541e94304494767b362d3951f4ab2d3","cgu","CUC-HON-1-E-ELEVATOR",2016,8,2,10,1,1,"8",2,2016,13,"55"
"2118","caa4c58e27c6729626270f3ae2cb81a4594a3a7672148343913029a53f7f2f4c","cgu","CUC-HON-1-E-ELEVATOR",2016,8,2,10,17,1,"8",2,2016,14,"05"
"2613","caa4c58e27c6729626270f3ae2cb81a4594a3a7672148343913029a53f7f2f4c","cgu","CUC-HON-1-E-ELEVATOR",2016,8,2,10,17,1,"8",2,2016,10,"17"
"2646","caa4c58e27c6729626270f3ae2cb81a4594a3a7672148343913029a53f7f2f4c","cgu","CUC-HON-1-E-ELEVATOR",2016,8,2,10,31,1,"8",2,2016,0,"44"
"2901","08276c65be72ec175f314efce5a275d587634ed2d00e9d7a32cbc8d151e74263","cuc","CUC-HON-1-E-ELEVATOR",2016,8,2,10,31,1,"8",2,2016,10,"52"
"2899","ea54086a2e27d86c3c7ee995d6c6f0fd6461491b7e083025fa58825069116f60","cmc","CUC-HON-1-E-ELEVATOR",2016,8,2,10,41,1,"8",2,2016,10,"52"
"2900","3fe08e3e9e7685cb2ac63b0c451eb46841be557d1f5812ba142fc4b47dfe3eed","cuc","CUC-HON-1-E-ELEVATOR",2016,8,2,10,41,1,"8",2,2016,10,"52"
"2518","08276c65be72ec175f314efce5a275d587634ed2d00e9d7a32cbc8d151e74263","cuc","CUC-HON-1-E-ELEVATOR",2016,8,2,10,52,1,"8",2,2016,11,"22"
"2473","9223cc6443d787da6709aeee8a7082d0d511d9252e82e5667fe076a10e49bf47","cgu","CUC-HON-1-E-ELEVATOR",2016,8,2,11,2,1,"8",2,2016,11,"43"
"2500","b551b619c854df164a600704f0bf33c05072af6f8bc1ad0fb87126cb993f6b18","cuc","CUC-HON-1-E-ELEVATOR",2016,8,2,11,12,1,"8",2,2016,11,"32"
"2487","3fe08e3e9e7685cb2ac63b0c451eb46841be557d1f5812ba142fc4b47dfe3eed","cuc","CUC-HON-1-E-ELEVATOR",2016,8,2,11,32,1,"8",2,2016,11,"43"
"2414","580ae386c18192093e32aa361528fe278927e05970e51033ce66ead255c2771f","pom","CUC-HON-1-E-ELEVATOR",2016,8,2,12,5,1,"8",2,2016,0,"05"
"2305","0ab358f3211fb7268c46b226dc6ad05e837cec862d89a5a57a0a08c51ec98ffc","cuc","CUC-HON-1-E-ELEVATOR",2016,8,2,12,13,1,"8",2,2016,0,"23"
"2626","84695eb809d47bd6f80b3b8b645e6627a7994d99267f40dede12237046439bd4","cgu","CUC-HON-1-E-ELEVATOR",2016,8,2,12,14,1,"8",2,2016,0,"54"
"2282","b551b619c854df164a600704f0bf33c05072af6f8bc1ad0fb87126cb993f6b18","cuc","CUC-HON-1-E-ELEVATOR",2016,8,2,12,23,1,"8",2,2016,0,"34"
