"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"1421","837e63a8f2352be418cea25a3eb8add691196f9d220b548475ab212cf6553066","cuc","CUC-HON-1-NE-CAFE",2016,8,1,7,50,0,"8",1,2016,7,"52"
"1341","35f0191f39386f40712e9ba912a0daed2d5a6ac88b2a7a5e089de11dafaaf500","pit","CUC-HON-1-NE-CAFE",2016,8,1,8,21,0,"8",1,2016,9,"13"
"1382","157f4b7a7d26d7c1b4320a7c1d9557098749a19e7a8c5fd29f854d7d6cf15ab3","cgu","CUC-HON-1-NE-CAFE",2016,8,1,8,36,0,"8",1,2016,8,"43"
"1535","2c20a052ce19eae69b0fb6da5bdf8b81316fdc8152dcc77835d5b1d532506831","cgu","CUC-HON-1-NE-CAFE",2016,8,1,8,42,0,"8",1,2016,11,"13"
"1305","1d5993c188a29495939e1276285ac94886352013c19e5388b5a8a4c516a29f4f","scr","CUC-HON-1-NE-CAFE",2016,8,1,9,36,0,"8",1,2016,9,"43"
"1216","0fecc6cb90f0c0b87a7c458577d7a705b0b335a13fd0c51596eec7e16ea03707","cgu","CUC-HON-1-NE-CAFE",2016,8,1,10,30,0,"8",1,2016,13,"26"
"1202","0fecc6cb90f0c0b87a7c458577d7a705b0b335a13fd0c51596eec7e16ea03707","cgu","CUC-HON-1-NE-CAFE",2016,8,1,10,33,0,"8",1,2016,13,"31"
"1515","0e0b36e1c68f43468ae07753004ba98816817138e204c5761e46f6cfafe8a791","cgu","CUC-HON-1-NE-CAFE",2016,8,1,10,43,0,"8",1,2016,11,"23"
"1473","0e0b36e1c68f43468ae07753004ba98816817138e204c5761e46f6cfafe8a791","cgu","CUC-HON-1-NE-CAFE",2016,8,1,11,5,0,"8",1,2016,11,"43"
"1472","35f0191f39386f40712e9ba912a0daed2d5a6ac88b2a7a5e089de11dafaaf500","pit","CUC-HON-1-NE-CAFE",2016,8,1,11,13,0,"8",1,2016,11,"43"
"1181","fd76e69bb7319d54f6b60742e7230ab860c9ede4ab4ee7c98997c4248da07b41","cgu","CUC-HON-1-NE-CAFE",2016,8,1,13,11,0,"8",1,2016,13,"36"
"1214","fd76e69bb7319d54f6b60742e7230ab860c9ede4ab4ee7c98997c4248da07b41","cgu","CUC-HON-1-NE-CAFE",2016,8,1,13,15,0,"8",1,2016,13,"26"
"178","f349c2a00c826a6c867c79b13c6f21760c889925771138cb0b0a19ec773698f5","cmc","CUC-HON-1-NE-CAFE",2016,8,1,13,26,0,"8",1,2016,15,"08"
"1183","fd76e69bb7319d54f6b60742e7230ab860c9ede4ab4ee7c98997c4248da07b41","cgu","CUC-HON-1-NE-CAFE",2016,8,1,13,26,0,"8",1,2016,13,"36"
"1206","f349c2a00c826a6c867c79b13c6f21760c889925771138cb0b0a19ec773698f5","cmc","CUC-HON-1-NE-CAFE",2016,8,1,13,26,0,"8",1,2016,13,"26"
"1158","8a40322a0c2987bdf70713a7f9c20ec692171e64a61fcd63033c4e6c7642d0aa","kgi","CUC-HON-1-NE-CAFE",2016,8,1,13,36,0,"8",1,2016,13,"46"
"1162","2c20a052ce19eae69b0fb6da5bdf8b81316fdc8152dcc77835d5b1d532506831","cgu","CUC-HON-1-NE-CAFE",2016,8,1,13,36,0,"8",1,2016,13,"46"
"700","8a40322a0c2987bdf70713a7f9c20ec692171e64a61fcd63033c4e6c7642d0aa","kgi","CUC-HON-1-NE-CAFE",2016,8,1,13,37,0,"8",1,2016,16,"09"
"313","fd76e69bb7319d54f6b60742e7230ab860c9ede4ab4ee7c98997c4248da07b41","cgu","CUC-HON-1-NE-CAFE",2016,8,1,13,46,0,"8",1,2016,14,"17"
"710","8a40322a0c2987bdf70713a7f9c20ec692171e64a61fcd63033c4e6c7642d0aa","kgi","CUC-HON-1-NE-CAFE",2016,8,1,13,46,0,"8",1,2016,16,"09"
"235","fd76e69bb7319d54f6b60742e7230ab860c9ede4ab4ee7c98997c4248da07b41","cgu","CUC-HON-1-NE-CAFE",2016,8,1,13,56,0,"8",1,2016,14,"47"
"262","2c20a052ce19eae69b0fb6da5bdf8b81316fdc8152dcc77835d5b1d532506831","cgu","CUC-HON-1-NE-CAFE",2016,8,1,13,56,0,"8",1,2016,14,"37"
"753","fd76e69bb7319d54f6b60742e7230ab860c9ede4ab4ee7c98997c4248da07b41","cgu","CUC-HON-1-NE-CAFE",2016,8,1,14,57,0,"8",1,2016,15,"48"
"851","f349c2a00c826a6c867c79b13c6f21760c889925771138cb0b0a19ec773698f5","cmc","CUC-HON-1-NE-CAFE",2016,8,1,14,57,0,"8",1,2016,15,"08"
"701","fd76e69bb7319d54f6b60742e7230ab860c9ede4ab4ee7c98997c4248da07b41","cgu","CUC-HON-1-NE-CAFE",2016,8,1,15,8,0,"8",1,2016,16,"09"
"832","2c20a052ce19eae69b0fb6da5bdf8b81316fdc8152dcc77835d5b1d532506831","cgu","CUC-HON-1-NE-CAFE",2016,8,1,15,8,0,"8",1,2016,15,"18"
"166","35f0191f39386f40712e9ba912a0daed2d5a6ac88b2a7a5e089de11dafaaf500","pit","CUC-HON-1-NE-CAFE",2016,8,1,15,18,0,"8",1,2016,18,"01"
"754","80d26c2bc4a79df4d40d95b0d988a33f767d55bf3961e93ff8125320cd313fc2","scr","CUC-HON-1-NE-CAFE",2016,8,1,15,18,0,"8",1,2016,15,"48"
"702","80d26c2bc4a79df4d40d95b0d988a33f767d55bf3961e93ff8125320cd313fc2","scr","CUC-HON-1-NE-CAFE",2016,8,1,15,59,0,"8",1,2016,16,"09"
"673","2c20a052ce19eae69b0fb6da5bdf8b81316fdc8152dcc77835d5b1d532506831","cgu","CUC-HON-1-NE-CAFE",2016,8,1,16,9,0,"8",1,2016,16,"19"
"656","8a40322a0c2987bdf70713a7f9c20ec692171e64a61fcd63033c4e6c7642d0aa","kgi","CUC-HON-1-NE-CAFE",2016,8,1,16,29,0,"8",1,2016,17,"00"
"578","8a40322a0c2987bdf70713a7f9c20ec692171e64a61fcd63033c4e6c7642d0aa","kgi","CUC-HON-1-NE-CAFE",2016,8,1,16,40,0,"8",1,2016,17,"30"
"2685","ef585d98df7c3eb4605e6e9df6941cfba64afc37fb0b81d4cc0aa6e856078789","hmc","CUC-HON-1-NE-CAFE",2016,8,2,8,50,1,"8",2,2016,10,"11"
"2263","2c20a052ce19eae69b0fb6da5bdf8b81316fdc8152dcc77835d5b1d532506831","cgu","CUC-HON-1-NE-CAFE",2016,8,2,9,11,1,"8",2,2016,13,"04"
"2705","08276c65be72ec175f314efce5a275d587634ed2d00e9d7a32cbc8d151e74263","cuc","CUC-HON-1-NE-CAFE",2016,8,2,9,51,1,"8",2,2016,10,"01"
"2605","a49afb47ab17c12f1b6839478edd38d60951e0af0f03f4f09c8b0d33a94c284b","pit","CUC-HON-1-NE-CAFE",2016,8,2,10,1,1,"8",2,2016,10,"21"
"2599","fd76e69bb7319d54f6b60742e7230ab860c9ede4ab4ee7c98997c4248da07b41","cgu","CUC-HON-1-NE-CAFE",2016,8,2,10,6,1,"8",2,2016,10,"21"
"2654","fd76e69bb7319d54f6b60742e7230ab860c9ede4ab4ee7c98997c4248da07b41","cgu","CUC-HON-1-NE-CAFE",2016,8,2,10,11,1,"8",2,2016,0,"44"
"2456","fd76e69bb7319d54f6b60742e7230ab860c9ede4ab4ee7c98997c4248da07b41","cgu","CUC-HON-1-NE-CAFE",2016,8,2,10,21,1,"8",2,2016,11,"53"
"2453","5069580f48c07af92259ca12463ceb64ea8c6f46246881a9b31e50048f9596ee","cuc","CUC-HON-1-NE-CAFE",2016,8,2,11,2,1,"8",2,2016,11,"53"
"1715","9e5ec1480d9d692d393357e1ce0b8c480cb4eaf30f790937be82fdbf5f8bab9a","cgu","CUC-HON-1-NE-CAFE",2016,8,2,11,51,1,"8",2,2016,16,"18"
"1717","9e5ec1480d9d692d393357e1ce0b8c480cb4eaf30f790937be82fdbf5f8bab9a","cgu","CUC-HON-1-NE-CAFE",2016,8,2,11,53,1,"8",2,2016,16,"18"
"2179","fd76e69bb7319d54f6b60742e7230ab860c9ede4ab4ee7c98997c4248da07b41","cgu","CUC-HON-1-NE-CAFE",2016,8,2,12,54,1,"8",2,2016,13,"45"
"2187","fd76e69bb7319d54f6b60742e7230ab860c9ede4ab4ee7c98997c4248da07b41","cgu","CUC-HON-1-NE-CAFE",2016,8,2,12,54,1,"8",2,2016,13,"45"
"2143","2c20a052ce19eae69b0fb6da5bdf8b81316fdc8152dcc77835d5b1d532506831","cgu","CUC-HON-1-NE-CAFE",2016,8,2,13,45,1,"8",2,2016,13,"55"
"2372","b551b619c854df164a600704f0bf33c05072af6f8bc1ad0fb87126cb993f6b18","cuc","CUC-HON-1-NE-CAFE",2016,8,2,14,5,1,"8",2,2016,14,"56"
"2032","ef585d98df7c3eb4605e6e9df6941cfba64afc37fb0b81d4cc0aa6e856078789","hmc","CUC-HON-1-NE-CAFE",2016,8,2,14,26,1,"8",2,2016,17,"19"
"2037","ef585d98df7c3eb4605e6e9df6941cfba64afc37fb0b81d4cc0aa6e856078789","hmc","CUC-HON-1-NE-CAFE",2016,8,2,14,26,1,"8",2,2016,17,"19"
"1850","08ae8fe9d0b3d150a1fc10017f760eea05695e2da78f8166b88566902bcb7ed1","cmc","CUC-HON-1-NE-CAFE",2016,8,2,14,36,1,"8",2,2016,15,"17"
"2348","7a27abf7bfe6bf2a20aad32e03eee1c2ab49d54dbcaf405fde3906146a228f78","cmc","CUC-HON-1-NE-CAFE",2016,8,2,14,53,1,"8",2,2016,15,"07"
"1756","2c20a052ce19eae69b0fb6da5bdf8b81316fdc8152dcc77835d5b1d532506831","cgu","CUC-HON-1-NE-CAFE",2016,8,2,15,7,1,"8",2,2016,15,"58"
"1961","27c8fa9509c9276e33693eb4c5ffd50ac09fc0a518902843e13f5e8503ce7e39","cgu","CUC-HON-1-NE-CAFE",2016,8,2,15,17,1,"8",2,2016,18,"00"
"1778","27c8fa9509c9276e33693eb4c5ffd50ac09fc0a518902843e13f5e8503ce7e39","cgu","CUC-HON-1-NE-CAFE",2016,8,2,15,28,1,"8",2,2016,15,"48"
"1696","27c8fa9509c9276e33693eb4c5ffd50ac09fc0a518902843e13f5e8503ce7e39","cgu","CUC-HON-1-NE-CAFE",2016,8,2,15,58,1,"8",2,2016,16,"28"
"2009","27c8fa9509c9276e33693eb4c5ffd50ac09fc0a518902843e13f5e8503ce7e39","cgu","CUC-HON-1-NE-CAFE",2016,8,2,16,49,1,"8",2,2016,17,"40"
"1974","e8975079454b25b4bf64ca95c77ddcf560fd9d4f607b5cb9ef113cacebea43f0","cgu","CUC-HON-1-NE-CAFE",2016,8,2,16,51,1,"8",2,2016,17,"55"
"2086","20f8dc88b5789ea178196a737e7d239cd53c2404f6c966f452f1d057dd08f07e","cgu","CUC-HON-1-NE-CAFE",2016,8,2,16,52,1,"8",2,2016,16,"59"
"2057","e8975079454b25b4bf64ca95c77ddcf560fd9d4f607b5cb9ef113cacebea43f0","cgu","CUC-HON-1-NE-CAFE",2016,8,2,16,59,1,"8",2,2016,17,"09"
"2056","9725da86234d288a96d3f996af36fcb8e4f1a7a9b11f0328889f7a4a4a1a1ed5","cgu","CUC-HON-1-NE-CAFE",2016,8,2,17,7,1,"8",2,2016,17,"09"
"1967","27c8fa9509c9276e33693eb4c5ffd50ac09fc0a518902843e13f5e8503ce7e39","cgu","CUC-HON-1-NE-CAFE",2016,8,2,17,50,1,"8",2,2016,18,"00"
"4167","4c8aa64725ae3dbae46c6efc5b5312831541e94304494767b362d3951f4ab2d3","cgu","CUC-HON-1-NE-CAFE",2016,8,3,8,5,2,"8",3,2016,8,"08"
"4187","8a40322a0c2987bdf70713a7f9c20ec692171e64a61fcd63033c4e6c7642d0aa","kgi","CUC-HON-1-NE-CAFE",2016,8,3,9,17,2,"8",3,2016,9,"19"
"3810","8a40322a0c2987bdf70713a7f9c20ec692171e64a61fcd63033c4e6c7642d0aa","kgi","CUC-HON-1-NE-CAFE",2016,8,3,9,20,2,"8",3,2016,10,"20"
"3684","fd76e69bb7319d54f6b60742e7230ab860c9ede4ab4ee7c98997c4248da07b41","cgu","CUC-HON-1-NE-CAFE",2016,8,3,10,0,2,"8",3,2016,0,"12"
"3805","fd76e69bb7319d54f6b60742e7230ab860c9ede4ab4ee7c98997c4248da07b41","cgu","CUC-HON-1-NE-CAFE",2016,8,3,10,0,2,"8",3,2016,10,"30"
"3806","1583e542dc61b9cc2088b365cfde79313e8a184be6ff5d08ac32a502386b183d","cuc","CUC-HON-1-NE-CAFE",2016,8,3,10,20,2,"8",3,2016,10,"30"
"3767","8a40322a0c2987bdf70713a7f9c20ec692171e64a61fcd63033c4e6c7642d0aa","kgi","CUC-HON-1-NE-CAFE",2016,8,3,10,30,2,"8",3,2016,10,"40"
"3705","35f0191f39386f40712e9ba912a0daed2d5a6ac88b2a7a5e089de11dafaaf500","pit","CUC-HON-1-NE-CAFE",2016,8,3,10,33,2,"8",3,2016,0,"02"
"3685","fd76e69bb7319d54f6b60742e7230ab860c9ede4ab4ee7c98997c4248da07b41","cgu","CUC-HON-1-NE-CAFE",2016,8,3,10,51,2,"8",3,2016,0,"12"
"3706","72536c818334c271abc0c6dbd3e8d8bfb5ba4109daccd70046ba856f8e939859","cgu","CUC-HON-1-NE-CAFE",2016,8,3,11,31,2,"8",3,2016,0,"02"
"3717","2347f1240bf196744d1559bae63e459504b6053ae57e2aef76e875136f3dca04","cuc","CUC-HON-1-NE-CAFE",2016,8,3,11,42,2,"8",3,2016,11,"52"
"3659","fb7bcc90ccb186d97cf309d9bd3bbe9fbfc0e9ece4e217ff49c0a2fad689d754","cuc","CUC-HON-1-NE-CAFE",2016,8,3,12,12,2,"8",3,2016,0,"23"
"3894","35f0191f39386f40712e9ba912a0daed2d5a6ac88b2a7a5e089de11dafaaf500","pit","CUC-HON-1-NE-CAFE",2016,8,3,12,23,2,"8",3,2016,14,"25"
"3947","fb7bcc90ccb186d97cf309d9bd3bbe9fbfc0e9ece4e217ff49c0a2fad689d754","cuc","CUC-HON-1-NE-CAFE",2016,8,3,12,23,2,"8",3,2016,14,"00"
"3550","cd6c83513b518cd7dac64baa35ba4eecd51b7b109fa40272d065d9b2b09ff1fd","cgu","CUC-HON-1-NE-CAFE",2016,8,3,12,28,2,"8",3,2016,13,"03"
"3410","4a02393adf61e8217c3fbe092559084635437959ae8f5551c80ba687c8e7cce8","cgu","CUC-HON-1-NE-CAFE",2016,8,3,12,41,2,"8",3,2016,15,"06"
"3301","2a9c88d3eca763fbd1d2a8ebb43510a5650507313f4552cf6542eea435f6b739","pom","CUC-HON-1-NE-CAFE",2016,8,3,13,2,2,"8",3,2016,15,"16"
"3509","cd6c83513b518cd7dac64baa35ba4eecd51b7b109fa40272d065d9b2b09ff1fd","cgu","CUC-HON-1-NE-CAFE",2016,8,3,13,13,2,"8",3,2016,13,"24"
"3299","d8c8a930751a0fbb88c83624a5c28e4a885b7f3475f7e015d929897bdcc4666d","cgu","CUC-HON-1-NE-CAFE",2016,8,3,13,59,2,"8",3,2016,15,"16"
"3300","8a40322a0c2987bdf70713a7f9c20ec692171e64a61fcd63033c4e6c7642d0aa","kgi","CUC-HON-1-NE-CAFE",2016,8,3,14,5,2,"8",3,2016,15,"16"
"3409","2b7b8576a5397153f15fa6b2bfbedd4eb9a39839c2513453941f79cff97b1f07","cuc","CUC-HON-1-NE-CAFE",2016,8,3,14,5,2,"8",3,2016,15,"06"
"3412","2b7b8576a5397153f15fa6b2bfbedd4eb9a39839c2513453941f79cff97b1f07","cuc","CUC-HON-1-NE-CAFE",2016,8,3,14,5,2,"8",3,2016,15,"06"
"3868","8a40322a0c2987bdf70713a7f9c20ec692171e64a61fcd63033c4e6c7642d0aa","kgi","CUC-HON-1-NE-CAFE",2016,8,3,14,5,2,"8",3,2016,14,"35"
"3465","2b25c1388dd99b4b7f85fa15d70f434cb8381e43a9b1deb924846e15990a184f","cgu","CUC-HON-1-NE-CAFE",2016,8,3,14,15,2,"8",3,2016,14,"45"
"3870","a75d81a63dd4f5ef7997f3591c7f600e2b9d279b3f2cfbac3d888c22c7ad2512","cmc","CUC-HON-1-NE-CAFE",2016,8,3,14,15,2,"8",3,2016,14,"35"
"3437","cdecc91f957d6947bc2e60d1df64ef843b0424978c55dd24baba92aaff08b719","cgu","CUC-HON-1-NE-CAFE",2016,8,3,14,45,2,"8",3,2016,14,"55"
"3269","8a40322a0c2987bdf70713a7f9c20ec692171e64a61fcd63033c4e6c7642d0aa","kgi","CUC-HON-1-NE-CAFE",2016,8,3,14,55,2,"8",3,2016,15,"26"
"2989","acf24c90479a754a6701538022925cf8116f7f929d1dbb2e19c0a5613f2e0c59","cgu","CUC-HON-1-NE-CAFE",2016,8,3,14,56,2,"8",3,2016,17,"59"
"3448","acf24c90479a754a6701538022925cf8116f7f929d1dbb2e19c0a5613f2e0c59","cgu","CUC-HON-1-NE-CAFE",2016,8,3,14,56,2,"8",3,2016,15,"06"
"3208","f349c2a00c826a6c867c79b13c6f21760c889925771138cb0b0a19ec773698f5","cmc","CUC-HON-1-NE-CAFE",2016,8,3,14,58,2,"8",3,2016,15,"46"
"3372","acf24c90479a754a6701538022925cf8116f7f929d1dbb2e19c0a5613f2e0c59","cgu","CUC-HON-1-NE-CAFE",2016,8,3,14,59,2,"8",3,2016,18,"09"
"2988","acf24c90479a754a6701538022925cf8116f7f929d1dbb2e19c0a5613f2e0c59","cgu","CUC-HON-1-NE-CAFE",2016,8,3,15,6,2,"8",3,2016,17,"59"
"3197","d74f7971bd0a40e6d35d8214d0ec8509db00578e7b137b98cc175c545824154e","pit","CUC-HON-1-NE-CAFE",2016,8,3,15,16,2,"8",3,2016,15,"53"
"3237","f349c2a00c826a6c867c79b13c6f21760c889925771138cb0b0a19ec773698f5","cmc","CUC-HON-1-NE-CAFE",2016,8,3,15,16,2,"8",3,2016,15,"36"
"3207","ea54086a2e27d86c3c7ee995d6c6f0fd6461491b7e083025fa58825069116f60","cmc","CUC-HON-1-NE-CAFE",2016,8,3,15,36,2,"8",3,2016,15,"46"
"2987","f349c2a00c826a6c867c79b13c6f21760c889925771138cb0b0a19ec773698f5","cmc","CUC-HON-1-NE-CAFE",2016,8,3,15,46,2,"8",3,2016,17,"59"
"3171","1e277a73f8aa06faa61d64b40b985170da28d8235447eba7713a671e56d4fdd3","cgu","CUC-HON-1-NE-CAFE",2016,8,3,16,7,2,"8",3,2016,16,"17"
"3161","cdecc91f957d6947bc2e60d1df64ef843b0424978c55dd24baba92aaff08b719","cgu","CUC-HON-1-NE-CAFE",2016,8,3,16,17,2,"8",3,2016,16,"27"
"2986","f349c2a00c826a6c867c79b13c6f21760c889925771138cb0b0a19ec773698f5","cmc","CUC-HON-1-NE-CAFE",2016,8,3,16,27,2,"8",3,2016,17,"59"
"3142","ea54086a2e27d86c3c7ee995d6c6f0fd6461491b7e083025fa58825069116f60","cmc","CUC-HON-1-NE-CAFE",2016,8,3,16,27,2,"8",3,2016,16,"37"
"3373","4a02393adf61e8217c3fbe092559084635437959ae8f5551c80ba687c8e7cce8","cgu","CUC-HON-1-NE-CAFE",2016,8,3,16,47,2,"8",3,2016,18,"09"
"3067","0175be1722f4e32161b9a21c03255c6b7538f07028c2d3d31832f379027c6768","scr","CUC-HON-1-NE-CAFE",2016,8,3,16,58,2,"8",3,2016,17,"18"
"3082","20f8dc88b5789ea178196a737e7d239cd53c2404f6c966f452f1d057dd08f07e","cgu","CUC-HON-1-NE-CAFE",2016,8,3,16,58,2,"8",3,2016,17,"08"
"2983","8a40322a0c2987bdf70713a7f9c20ec692171e64a61fcd63033c4e6c7642d0aa","kgi","CUC-HON-1-NE-CAFE",2016,8,3,17,8,2,"8",3,2016,17,"59"
"2990","8a40322a0c2987bdf70713a7f9c20ec692171e64a61fcd63033c4e6c7642d0aa","kgi","CUC-HON-1-NE-CAFE",2016,8,3,17,18,2,"8",3,2016,17,"59"
"5370","bdd9f89f616b4f475cb0f58fb3ea16e43fc8618ce7b8f3c5e27b16c0e078df05","cgu","CUC-HON-1-NE-CAFE",2016,8,4,8,4,3,"8",4,2016,9,"38"
"5369","7d6d6575140ac84db761cfb268d2bf835adddada6a5a6f9dbda3f25fb0f49bfb","cgu","CUC-HON-1-NE-CAFE",2016,8,4,8,47,3,"8",4,2016,9,"38"
"4976","21a9cf7c5e487345fdc9c547c35fd4427afe19f2849e1e8cf9ddffcc54e64ac8","cgu","CUC-HON-1-NE-CAFE",2016,8,4,9,8,3,"8",4,2016,11,"10"
"5340","4c95ae0d05b9d2fc650116a239fcb07b7a92cd11793dd5dbc8381403e101f592","cuc","CUC-HON-1-NE-CAFE",2016,8,4,9,54,3,"8",4,2016,9,"59"
"5309","cf619f1221b7bb8f9caf3d99f51505587e1eb3f9b9eb0601e8283b6ff50e8461","cgu","CUC-HON-1-NE-CAFE",2016,8,4,10,5,3,"8",4,2016,10,"09"
"5596","fd76e69bb7319d54f6b60742e7230ab860c9ede4ab4ee7c98997c4248da07b41","cgu","CUC-HON-1-NE-CAFE",2016,8,4,10,8,3,"8",4,2016,11,"51"
"5013","6bf5d3ebc9ba22b4e8ad3c39f5818c0d22c11f7ee4934ed908ae853207d855b3","cmc","CUC-HON-1-NE-CAFE",2016,8,4,10,39,3,"8",4,2016,10,"50"
"5153","2628e4cab595fd41055b07919d9f3d7b3369cc67d301ab2c5fbb32c6b61a8cb0","scr","CUC-HON-1-NE-CAFE",2016,8,4,10,56,3,"8",4,2016,14,"34"
"4973","5b0717cdefd6461b1fa966f83a8a94e59daed19eb09a32a4d941992aa905f613","cgu","CUC-HON-1-NE-CAFE",2016,8,4,11,0,3,"8",4,2016,0,"11"
"5616","72536c818334c271abc0c6dbd3e8d8bfb5ba4109daccd70046ba856f8e939859","cgu","CUC-HON-1-NE-CAFE",2016,8,4,11,10,3,"8",4,2016,11,"41"
"5550","0e0b36e1c68f43468ae07753004ba98816817138e204c5761e46f6cfafe8a791","cgu","CUC-HON-1-NE-CAFE",2016,8,4,11,30,3,"8",4,2016,14,"55"
"4972","6c50e4d1f7a4511f4d81b73abd6ea94aeab771582da7afd5e9e56f50ac626045","scr","CUC-HON-1-NE-CAFE",2016,8,4,12,1,3,"8",4,2016,0,"11"
"5249","2628e4cab595fd41055b07919d9f3d7b3369cc67d301ab2c5fbb32c6b61a8cb0","scr","CUC-HON-1-NE-CAFE",2016,8,4,12,7,3,"8",4,2016,13,"53"
"5084","fd76e69bb7319d54f6b60742e7230ab860c9ede4ab4ee7c98997c4248da07b41","cgu","CUC-HON-1-NE-CAFE",2016,8,4,12,22,3,"8",4,2016,15,"15"
"4874","6348661a71a8c9d9db340572f37ba708d62c659b1c0c97fcc05675c781af32c0","cgu","CUC-HON-1-NE-CAFE",2016,8,4,12,42,3,"8",4,2016,0,"52"
"4690","5f7c747ebb19df21c8b7d421cb077bc2d6e5ee35f579f99e6c7a2ba49e6b1473","cgu","CUC-HON-1-NE-CAFE",2016,8,4,13,2,3,"8",4,2016,13,"13"
"5273","d9a6324798190a5c57f84ece6bc556862be52dc0534df30d9e64147fe22d1489","pom","CUC-HON-1-NE-CAFE",2016,8,4,13,2,3,"8",4,2016,13,"43"
"4631","5b0717cdefd6461b1fa966f83a8a94e59daed19eb09a32a4d941992aa905f613","cgu","CUC-HON-1-NE-CAFE",2016,8,4,13,13,3,"8",4,2016,13,"33"
"5226","cc2485facc88d215432f9f03b6dc2c19bad8f3b6d407ef1b199da5d47e7ecb23","cgu","CUC-HON-1-NE-CAFE",2016,8,4,13,23,3,"8",4,2016,14,"04"
"5247","2628e4cab595fd41055b07919d9f3d7b3369cc67d301ab2c5fbb32c6b61a8cb0","scr","CUC-HON-1-NE-CAFE",2016,8,4,13,43,3,"8",4,2016,13,"53"
"5154","c4fda9e94957d53b43c0d7d6c4e9131806b0249bf5069d07f2cf2d8d4e98ed54","cgu","CUC-HON-1-NE-CAFE",2016,8,4,13,44,3,"8",4,2016,14,"34"
"4784","20f8dc88b5789ea178196a737e7d239cd53c2404f6c966f452f1d057dd08f07e","cgu","CUC-HON-1-NE-CAFE",2016,8,4,13,53,3,"8",4,2016,17,"18"
"5527","fd76e69bb7319d54f6b60742e7230ab860c9ede4ab4ee7c98997c4248da07b41","cgu","CUC-HON-1-NE-CAFE",2016,8,4,13,53,3,"8",4,2016,15,"05"
"5196","c2f08b18202f69bebd95c628fe22f1df7c9fce3cc4fc23230335a9a2b0056e37","scr","CUC-HON-1-NE-CAFE",2016,8,4,14,0,3,"8",4,2016,14,"14"
"4832","c2f08b18202f69bebd95c628fe22f1df7c9fce3cc4fc23230335a9a2b0056e37","scr","CUC-HON-1-NE-CAFE",2016,8,4,14,4,3,"8",4,2016,16,"57"
"5156","c2f08b18202f69bebd95c628fe22f1df7c9fce3cc4fc23230335a9a2b0056e37","scr","CUC-HON-1-NE-CAFE",2016,8,4,14,24,3,"8",4,2016,14,"34"
"4624","c2f08b18202f69bebd95c628fe22f1df7c9fce3cc4fc23230335a9a2b0056e37","scr","CUC-HON-1-NE-CAFE",2016,8,4,14,44,3,"8",4,2016,15,"25"
"5526","ef3eca5ec077f175dd4331516936407213ec503a69de9fbc18ba501ea4b23d95","cgu","CUC-HON-1-NE-CAFE",2016,8,4,14,55,3,"8",4,2016,15,"05"
