"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"1440","cd5240fea552b7b674239e4a609b5d8fcd9e1b696d84f59cbb7f0b0cb4fa7cb2","cuc","CUC-HON-2-S-RTLS",2016,8,1,6,35,0,"8",1,2016,6,"42"
"1438","cd5240fea552b7b674239e4a609b5d8fcd9e1b696d84f59cbb7f0b0cb4fa7cb2","cuc","CUC-HON-2-S-RTLS",2016,8,1,6,53,0,"8",1,2016,7,"02"
"1362","40df4bd8ddd74314f0a272d2ed789a6a2d05f29a5008f3705fb4661674bb7ef6","cuc","CUC-HON-2-S-RTLS",2016,8,1,7,2,0,"8",1,2016,9,"01"
"1019","0ab358f3211fb7268c46b226dc6ad05e837cec862d89a5a57a0a08c51ec98ffc","cuc","CUC-HON-2-S-RTLS",2016,8,1,7,26,0,"8",1,2016,10,"33"
"1419","193b8bff00bdc347489961f3b3b0528ea37a30ceb8ae574bf4d9cc3b73a030b6","cuc","CUC-HON-2-S-RTLS",2016,8,1,7,42,0,"8",1,2016,8,"02"
"1409","62820dfa0f6b17628427e0f172acee99ef3d43784b8a9109407d87176b6fe12a","cgu","CUC-HON-2-S-RTLS",2016,8,1,8,2,0,"8",1,2016,8,"12"
"1402","5a6c9842bcbcbd8f139975abda1a5e3d3fcbabcba0df6f745dc5e6fdf039de51","cuc","CUC-HON-2-S-RTLS",2016,8,1,8,11,0,"8",1,2016,8,"17"
"1400","cd5240fea552b7b674239e4a609b5d8fcd9e1b696d84f59cbb7f0b0cb4fa7cb2","cuc","CUC-HON-2-S-RTLS",2016,8,1,8,12,0,"8",1,2016,8,"22"
"1403","5a6c9842bcbcbd8f139975abda1a5e3d3fcbabcba0df6f745dc5e6fdf039de51","cuc","CUC-HON-2-S-RTLS",2016,8,1,8,12,0,"8",1,2016,8,"17"
"1404","a20b63853245e736b5daf3082122641f72ad1f86f64d510d80944fcd4ea843f4","pom","CUC-HON-2-S-RTLS",2016,8,1,8,12,0,"8",1,2016,8,"17"
