"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"12","705e6b02ec9e74323b2b24646eeadb3334acdd515eb533c2948c55c521620729","cgu","CUC-HON-2-W-CONFERENCE_ROOM",2016,7,31,3,4,6,"7",31,2016,3,"07"
"10","755db25a88647896830673aa98f51c7d7184f960070247709c5234a2f465ac60","cgu","CUC-HON-2-W-CONFERENCE_ROOM",2016,7,31,16,5,6,"7",31,2016,16,"30"
"11","755db25a88647896830673aa98f51c7d7184f960070247709c5234a2f465ac60","cgu","CUC-HON-2-W-CONFERENCE_ROOM",2016,7,31,16,5,6,"7",31,2016,16,"30"
"1314","fb7bcc90ccb186d97cf309d9bd3bbe9fbfc0e9ece4e217ff49c0a2fad689d754","cuc","CUC-HON-2-W-CONFERENCE_ROOM",2016,8,1,8,53,0,"8",1,2016,9,"33"
"1326","62820dfa0f6b17628427e0f172acee99ef3d43784b8a9109407d87176b6fe12a","cgu","CUC-HON-2-W-CONFERENCE_ROOM",2016,8,1,9,13,0,"8",1,2016,9,"23"
"1562","fb7bcc90ccb186d97cf309d9bd3bbe9fbfc0e9ece4e217ff49c0a2fad689d754","cuc","CUC-HON-2-W-CONFERENCE_ROOM",2016,8,1,9,43,0,"8",1,2016,11,"03"
"1064","2b25c1388dd99b4b7f85fa15d70f434cb8381e43a9b1deb924846e15990a184f","cgu","CUC-HON-2-W-CONFERENCE_ROOM",2016,8,1,10,12,0,"8",1,2016,10,"13"
"1016","5f12b8c7991d7c0869cebb9cc357bce7215786712c6215818e58074cb89fa838","cuc","CUC-HON-2-W-CONFERENCE_ROOM",2016,8,1,10,23,0,"8",1,2016,10,"33"
"1556","fb7bcc90ccb186d97cf309d9bd3bbe9fbfc0e9ece4e217ff49c0a2fad689d754","cuc","CUC-HON-2-W-CONFERENCE_ROOM",2016,8,1,10,33,0,"8",1,2016,11,"03"
"1517","5f12b8c7991d7c0869cebb9cc357bce7215786712c6215818e58074cb89fa838","cuc","CUC-HON-2-W-CONFERENCE_ROOM",2016,8,1,11,13,0,"8",1,2016,11,"23"
"728","fb7bcc90ccb186d97cf309d9bd3bbe9fbfc0e9ece4e217ff49c0a2fad689d754","cuc","CUC-HON-2-W-CONFERENCE_ROOM",2016,8,1,11,43,0,"8",1,2016,15,"59"
"486","6f85740aa675178bc7f77c11315c4345377bbc4bff0d4a6cd8e3d3f870f69f66","cgu","CUC-HON-2-W-CONFERENCE_ROOM",2016,8,1,12,14,0,"8",1,2016,0,"24"
"1235","b050ba5227952b6699654236d5ffe404054d33c05104b2b87318d5f890fc4f6f","cuc","CUC-HON-2-W-CONFERENCE_ROOM",2016,8,1,13,15,0,"8",1,2016,13,"20"
"306","5f12b8c7991d7c0869cebb9cc357bce7215786712c6215818e58074cb89fa838","cuc","CUC-HON-2-W-CONFERENCE_ROOM",2016,8,1,14,6,0,"8",1,2016,14,"17"
