"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"1386","b050ba5227952b6699654236d5ffe404054d33c05104b2b87318d5f890fc4f6f","cuc","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,8,41,0,"8",1,2016,8,"41"
"1357","b050ba5227952b6699654236d5ffe404054d33c05104b2b87318d5f890fc4f6f","cuc","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,8,47,0,"8",1,2016,9,"03"
"1358","b050ba5227952b6699654236d5ffe404054d33c05104b2b87318d5f890fc4f6f","cuc","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,8,53,0,"8",1,2016,9,"03"
"764","e9aef271fae526e470664ff9e418775d14f9dd0e9203f2d882eeb2a6655efb8c","cgu","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,9,12,0,"8",1,2016,15,"38"
"927","e9aef271fae526e470664ff9e418775d14f9dd0e9203f2d882eeb2a6655efb8c","cgu","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,9,13,0,"8",1,2016,11,"54"
"1320","b050ba5227952b6699654236d5ffe404054d33c05104b2b87318d5f890fc4f6f","cuc","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,9,13,0,"8",1,2016,9,"23"
"1296","b050ba5227952b6699654236d5ffe404054d33c05104b2b87318d5f890fc4f6f","cuc","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,9,23,0,"8",1,2016,9,"47"
"792","e9aef271fae526e470664ff9e418775d14f9dd0e9203f2d882eeb2a6655efb8c","cgu","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,9,44,0,"8",1,2016,15,"28"
"1250","b050ba5227952b6699654236d5ffe404054d33c05104b2b87318d5f890fc4f6f","cuc","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,9,47,0,"8",1,2016,10,"10"
"1237","b050ba5227952b6699654236d5ffe404054d33c05104b2b87318d5f890fc4f6f","cuc","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,10,33,0,"8",1,2016,13,"15"
"1550","3f7cb7c829c944f1e22cb9b236b842c5d3e30b6aff77a7f0cf50414ef23de8e8","cgu","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,10,53,0,"8",1,2016,11,"03"
"1530","3f7cb7c829c944f1e22cb9b236b842c5d3e30b6aff77a7f0cf50414ef23de8e8","cgu","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,11,3,0,"8",1,2016,11,"13"
"931","5f7c747ebb19df21c8b7d421cb077bc2d6e5ee35f579f99e6c7a2ba49e6b1473","cgu","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,11,43,0,"8",1,2016,11,"54"
"488","e9aef271fae526e470664ff9e418775d14f9dd0e9203f2d882eeb2a6655efb8c","cgu","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,12,4,0,"8",1,2016,0,"24"
"500","3f7cb7c829c944f1e22cb9b236b842c5d3e30b6aff77a7f0cf50414ef23de8e8","cgu","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,12,14,0,"8",1,2016,0,"24"
"641","9441340594228d2395690b146f4d3f38d83fa107a67eaddee2f5727df5d61f32","cuc","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,12,58,0,"8",1,2016,17,"00"
"1180","84695eb809d47bd6f80b3b8b645e6627a7994d99267f40dede12237046439bd4","cgu","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,13,26,0,"8",1,2016,13,"36"
"351","e9aef271fae526e470664ff9e418775d14f9dd0e9203f2d882eeb2a6655efb8c","cgu","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,13,36,0,"8",1,2016,13,"56"
"327","e9aef271fae526e470664ff9e418775d14f9dd0e9203f2d882eeb2a6655efb8c","cgu","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,13,56,0,"8",1,2016,14,"06"
"251","3f7cb7c829c944f1e22cb9b236b842c5d3e30b6aff77a7f0cf50414ef23de8e8","cgu","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,14,6,0,"8",1,2016,14,"37"
"523","b050ba5227952b6699654236d5ffe404054d33c05104b2b87318d5f890fc4f6f","cuc","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,14,6,0,"8",1,2016,17,"51"
"845","e9aef271fae526e470664ff9e418775d14f9dd0e9203f2d882eeb2a6655efb8c","cgu","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,14,6,0,"8",1,2016,15,"17"
"858","3f7cb7c829c944f1e22cb9b236b842c5d3e30b6aff77a7f0cf50414ef23de8e8","cgu","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,14,47,0,"8",1,2016,15,"08"
"642","84695eb809d47bd6f80b3b8b645e6627a7994d99267f40dede12237046439bd4","cgu","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,15,8,0,"8",1,2016,17,"00"
"696","5f7c747ebb19df21c8b7d421cb077bc2d6e5ee35f579f99e6c7a2ba49e6b1473","cgu","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,15,8,0,"8",1,2016,16,"09"
"687","84695eb809d47bd6f80b3b8b645e6627a7994d99267f40dede12237046439bd4","cgu","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,15,28,0,"8",1,2016,16,"09"
"774","3f7cb7c829c944f1e22cb9b236b842c5d3e30b6aff77a7f0cf50414ef23de8e8","cgu","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,15,28,0,"8",1,2016,15,"38"
"1083","84695eb809d47bd6f80b3b8b645e6627a7994d99267f40dede12237046439bd4","cgu","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,16,9,0,"8",1,2016,16,"50"
"618","5f7c747ebb19df21c8b7d421cb077bc2d6e5ee35f579f99e6c7a2ba49e6b1473","cgu","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,16,19,0,"8",1,2016,17,"10"
"534","1d5993c188a29495939e1276285ac94886352013c19e5388b5a8a4c516a29f4f","scr","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,17,42,0,"8",1,2016,17,"43"
"144","60376399803269cb76123933294464a540ec52ce4779509ed5468fa8c239412a","cuc","CUC-HON-3-E-ASIAN_STUDIES",2016,8,1,17,51,0,"8",1,2016,18,"01"
"2825","b050ba5227952b6699654236d5ffe404054d33c05104b2b87318d5f890fc4f6f","cuc","CUC-HON-3-E-ASIAN_STUDIES",2016,8,2,8,30,1,"8",2,2016,8,"32"
"2730","b050ba5227952b6699654236d5ffe404054d33c05104b2b87318d5f890fc4f6f","cuc","CUC-HON-3-E-ASIAN_STUDIES",2016,8,2,8,39,1,"8",2,2016,9,"51"
"2790","b050ba5227952b6699654236d5ffe404054d33c05104b2b87318d5f890fc4f6f","cuc","CUC-HON-3-E-ASIAN_STUDIES",2016,8,2,8,50,1,"8",2,2016,9,"11"
"2898","e9aef271fae526e470664ff9e418775d14f9dd0e9203f2d882eeb2a6655efb8c","cgu","CUC-HON-3-E-ASIAN_STUDIES",2016,8,2,8,52,1,"8",2,2016,10,"52"
"2785","e9aef271fae526e470664ff9e418775d14f9dd0e9203f2d882eeb2a6655efb8c","cgu","CUC-HON-3-E-ASIAN_STUDIES",2016,8,2,9,4,1,"8",2,2016,9,"11"
"2594","e9aef271fae526e470664ff9e418775d14f9dd0e9203f2d882eeb2a6655efb8c","cgu","CUC-HON-3-E-ASIAN_STUDIES",2016,8,2,9,11,1,"8",2,2016,10,"21"
"2441","b050ba5227952b6699654236d5ffe404054d33c05104b2b87318d5f890fc4f6f","cuc","CUC-HON-3-E-ASIAN_STUDIES",2016,8,2,10,1,1,"8",2,2016,11,"53"
