"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"1462","0d86da155373b1c57666caaf2f363a371900b6a2c4556eb3c1017639201a1ba2","hmc","CUC-HON-3-E-BRIDGE",2016,8,1,0,21,0,"8",1,2016,12,"31"
"1399","193b8bff00bdc347489961f3b3b0528ea37a30ceb8ae574bf4d9cc3b73a030b6","cuc","CUC-HON-3-E-BRIDGE",2016,8,1,8,12,0,"8",1,2016,8,"22"
"1278","540668aeab863d371c954874426375bfb709cc6febe7983710bc386f41a27cf5","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,9,6,0,"8",1,2016,9,"53"
"1285","540668aeab863d371c954874426375bfb709cc6febe7983710bc386f41a27cf5","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,9,13,0,"8",1,2016,9,"53"
"1277","b130a0fedd94bbd4783972082c7de0d62db0742036e4be268e66163c49a2d2a0","hmc","CUC-HON-3-E-BRIDGE",2016,8,1,9,43,0,"8",1,2016,9,"53"
"717","698e4d6c30261d0b3fed66974020d87c95fdde4744d0e3d7b3f2321e4bce7bb1","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,9,51,0,"8",1,2016,15,"59"
"1063","1583e542dc61b9cc2088b365cfde79313e8a184be6ff5d08ac32a502386b183d","cuc","CUC-HON-3-E-BRIDGE",2016,8,1,10,3,0,"8",1,2016,10,"13"
"1043","1d5993c188a29495939e1276285ac94886352013c19e5388b5a8a4c516a29f4f","scr","CUC-HON-3-E-BRIDGE",2016,8,1,10,13,0,"8",1,2016,10,"23"
"1038","2b25c1388dd99b4b7f85fa15d70f434cb8381e43a9b1deb924846e15990a184f","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,10,17,0,"8",1,2016,10,"23"
"899","2b25c1388dd99b4b7f85fa15d70f434cb8381e43a9b1deb924846e15990a184f","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,10,23,0,"8",1,2016,0,"04"
"1022","454c77e55e37ca336e9c234873571810491c1c8250f33c059571caa8a3b472ed","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,10,23,0,"8",1,2016,10,"33"
"1511","2b25c1388dd99b4b7f85fa15d70f434cb8381e43a9b1deb924846e15990a184f","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,10,23,0,"8",1,2016,11,"23"
"901","454c77e55e37ca336e9c234873571810491c1c8250f33c059571caa8a3b472ed","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,10,27,0,"8",1,2016,0,"04"
"1493","454c77e55e37ca336e9c234873571810491c1c8250f33c059571caa8a3b472ed","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,10,33,0,"8",1,2016,11,"33"
"485","2b25c1388dd99b4b7f85fa15d70f434cb8381e43a9b1deb924846e15990a184f","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,11,23,0,"8",1,2016,0,"25"
"869","9725da86234d288a96d3f996af36fcb8e4f1a7a9b11f0328889f7a4a4a1a1ed5","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,11,23,0,"8",1,2016,0,"14"
"952","454c77e55e37ca336e9c234873571810491c1c8250f33c059571caa8a3b472ed","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,11,33,0,"8",1,2016,11,"43"
"870","454c77e55e37ca336e9c234873571810491c1c8250f33c059571caa8a3b472ed","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,11,43,0,"8",1,2016,0,"14"
"896","3d71d728b273699c68b394cca09b98eeea054cf09a56b09aa740ecb884149de8","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,11,43,0,"8",1,2016,0,"04"
"897","9841853400e34f8882de16f63d9ee48af48fd0cbe70938bda0e80b5123e4eded","pit","CUC-HON-3-E-BRIDGE",2016,8,1,12,0,0,"8",1,2016,0,"04"
"253","2b25c1388dd99b4b7f85fa15d70f434cb8381e43a9b1deb924846e15990a184f","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,12,14,0,"8",1,2016,14,"37"
"499","fd76e69bb7319d54f6b60742e7230ab860c9ede4ab4ee7c98997c4248da07b41","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,12,14,0,"8",1,2016,0,"24"
"441","2b25c1388dd99b4b7f85fa15d70f434cb8381e43a9b1deb924846e15990a184f","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,12,35,0,"8",1,2016,0,"55"
"281","2b25c1388dd99b4b7f85fa15d70f434cb8381e43a9b1deb924846e15990a184f","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,13,5,0,"8",1,2016,14,"27"
"1151","2b25c1388dd99b4b7f85fa15d70f434cb8381e43a9b1deb924846e15990a184f","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,13,5,0,"8",1,2016,13,"46"
"1220","1f4157ebfe5da792736b4a6f89e5ac4948696aa5bc256083856c6aa866b85478","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,13,15,0,"8",1,2016,13,"26"
"518","6af9d6f978c772a57398c9057c5d5beb053949577a87d7d8c425ea5afab074c2","kgi","CUC-HON-3-E-BRIDGE",2016,8,1,14,5,0,"8",1,2016,17,"51"
"317","699e3ba331a75644365524914969cc0f602f2c9438e994332284952cbbb88f12","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,14,8,0,"8",1,2016,14,"17"
"779","1f4157ebfe5da792736b4a6f89e5ac4948696aa5bc256083856c6aa866b85478","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,14,17,0,"8",1,2016,15,"38"
"219","dc6ba4e89090752acb270f4074171c656c7c0a33b78f0701eb76a267bff1bb11","cuc","CUC-HON-3-E-BRIDGE",2016,8,1,14,37,0,"8",1,2016,14,"47"
"564","35f0191f39386f40712e9ba912a0daed2d5a6ac88b2a7a5e089de11dafaaf500","pit","CUC-HON-3-E-BRIDGE",2016,8,1,14,37,0,"8",1,2016,17,"30"
"813","f349c2a00c826a6c867c79b13c6f21760c889925771138cb0b0a19ec773698f5","cmc","CUC-HON-3-E-BRIDGE",2016,8,1,15,8,0,"8",1,2016,15,"28"
"519","35f0191f39386f40712e9ba912a0daed2d5a6ac88b2a7a5e089de11dafaaf500","pit","CUC-HON-3-E-BRIDGE",2016,8,1,15,12,0,"8",1,2016,17,"51"
"1115","2b25c1388dd99b4b7f85fa15d70f434cb8381e43a9b1deb924846e15990a184f","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,15,48,0,"8",1,2016,16,"40"
"1144","2b25c1388dd99b4b7f85fa15d70f434cb8381e43a9b1deb924846e15990a184f","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,15,59,0,"8",1,2016,16,"19"
"126","6663837a6ca6ee8179c33fd91814e7c00fb9d9cbc95cb3167000cad6ef801881","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,16,2,0,"8",1,2016,18,"42"
"1143","8883c0704107c6fd5d80fc3bd14803d4d04372bc8e1ec576db4f7d8d126d5390","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,16,16,0,"8",1,2016,16,"19"
"1090","2b25c1388dd99b4b7f85fa15d70f434cb8381e43a9b1deb924846e15990a184f","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,16,40,0,"8",1,2016,16,"50"
"1093","2b25c1388dd99b4b7f85fa15d70f434cb8381e43a9b1deb924846e15990a184f","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,16,40,0,"8",1,2016,16,"50"
"600","216a1f902c9c0b0e029a19f583b0bb7f05b1b6cd28e9fc8def25092185f27e9a","cgu","CUC-HON-3-E-BRIDGE",2016,8,1,17,0,0,"8",1,2016,17,"20"
"517","e1178a0b40615f6b5c5297017eb33d8e2b59ef78e725de0b2e3a96c6c2758d7a","cuc","CUC-HON-3-E-BRIDGE",2016,8,1,17,30,0,"8",1,2016,17,"51"
"2215","698e4d6c30261d0b3fed66974020d87c95fdde4744d0e3d7b3f2321e4bce7bb1","cgu","CUC-HON-3-E-BRIDGE",2016,8,2,9,11,1,"8",2,2016,13,"25"
"2784","698e4d6c30261d0b3fed66974020d87c95fdde4744d0e3d7b3f2321e4bce7bb1","cgu","CUC-HON-3-E-BRIDGE",2016,8,2,9,11,1,"8",2,2016,9,"11"
"2701","8bdd951f59fc56875ef9b6318ec2632d8721a8a3f6e454b978665628fa1df1e0","hmc","CUC-HON-3-E-BRIDGE",2016,8,2,9,15,1,"8",2,2016,10,"01"
"2755","193b8bff00bdc347489961f3b3b0528ea37a30ceb8ae574bf4d9cc3b73a030b6","cuc","CUC-HON-3-E-BRIDGE",2016,8,2,9,21,1,"8",2,2016,9,"31"
"2699","8bdd951f59fc56875ef9b6318ec2632d8721a8a3f6e454b978665628fa1df1e0","hmc","CUC-HON-3-E-BRIDGE",2016,8,2,9,31,1,"8",2,2016,10,"01"
"2737","aaecd6f724ddd418f8c49a3050ec248870b24a9c9414a1206b8fa4928f42bda0","scr","CUC-HON-3-E-BRIDGE",2016,8,2,9,37,1,"8",2,2016,9,"41"
"2610","9efc77538dc95f94f7a4a3d1994f0c08add74183ed48a9a59b09751f0bbc3f77","cuc","CUC-HON-3-E-BRIDGE",2016,8,2,10,11,1,"8",2,2016,10,"21"
"2903","9725da86234d288a96d3f996af36fcb8e4f1a7a9b11f0328889f7a4a4a1a1ed5","cgu","CUC-HON-3-E-BRIDGE",2016,8,2,10,21,1,"8",2,2016,10,"52"
"2945","f7ad202b8a01afc96fb19cecd3e8c36ce646309d7e001093cb517f088758d3ea","pom","CUC-HON-3-E-BRIDGE",2016,8,2,10,31,1,"8",2,2016,10,"41"
"2893","2f25fa91271a3727cfd5b3cf5547dd3488c0e538756e98d2e2c0554fb129a601","cuc","CUC-HON-3-E-BRIDGE",2016,8,2,10,52,1,"8",2,2016,11,"02"
"2509","454c77e55e37ca336e9c234873571810491c1c8250f33c059571caa8a3b472ed","cgu","CUC-HON-3-E-BRIDGE",2016,8,2,11,1,1,"8",2,2016,11,"22"
"2515","b41c979e5f9b10fbec72a9dfcf452929dabb3f00c65da176ed7394766a950a51","cuc","CUC-HON-3-E-BRIDGE",2016,8,2,11,12,1,"8",2,2016,11,"22"
"2467","35f0191f39386f40712e9ba912a0daed2d5a6ac88b2a7a5e089de11dafaaf500","pit","CUC-HON-3-E-BRIDGE",2016,8,2,11,13,1,"8",2,2016,11,"43"
"2450","3e8ba9d2316a707d01ebaa25287998661c8726c88c07eba3f9687b0320cd4c22","cuc","CUC-HON-3-E-BRIDGE",2016,8,2,11,27,1,"8",2,2016,11,"53"
"2452","b551b619c854df164a600704f0bf33c05072af6f8bc1ad0fb87126cb993f6b18","cuc","CUC-HON-3-E-BRIDGE",2016,8,2,11,43,1,"8",2,2016,11,"53"
"2191","35f0191f39386f40712e9ba912a0daed2d5a6ac88b2a7a5e089de11dafaaf500","pit","CUC-HON-3-E-BRIDGE",2016,8,2,11,53,1,"8",2,2016,13,"35"
"2287","b050ba5227952b6699654236d5ffe404054d33c05104b2b87318d5f890fc4f6f","cuc","CUC-HON-3-E-BRIDGE",2016,8,2,12,3,1,"8",2,2016,0,"34"
"2303","216a1f902c9c0b0e029a19f583b0bb7f05b1b6cd28e9fc8def25092185f27e9a","cgu","CUC-HON-3-E-BRIDGE",2016,8,2,12,23,1,"8",2,2016,0,"27"
"2256","d9a6324798190a5c57f84ece6bc556862be52dc0534df30d9e64147fe22d1489","pom","CUC-HON-3-E-BRIDGE",2016,8,2,12,34,1,"8",2,2016,13,"04"
"2255","0ab358f3211fb7268c46b226dc6ad05e837cec862d89a5a57a0a08c51ec98ffc","cuc","CUC-HON-3-E-BRIDGE",2016,8,2,12,44,1,"8",2,2016,13,"04"
