"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"20","beb4c1599acc91ead1de775cfb242a1fe0a841d950b33490aba84fdbc9a483dd","scr","CUC-HON-3-N-BOOK",2016,7,31,20,34,6,"7",31,2016,21,"01"
"1464","0d86da155373b1c57666caaf2f363a371900b6a2c4556eb3c1017639201a1ba2","hmc","CUC-HON-3-N-BOOK",2016,8,1,0,12,0,"8",1,2016,12,"21"
"1461","0d86da155373b1c57666caaf2f363a371900b6a2c4556eb3c1017639201a1ba2","hmc","CUC-HON-3-N-BOOK",2016,8,1,0,31,0,"8",1,2016,12,"41"
"1004","9085f2881539a6956d56313d32b2b68ebc429efd6636514f103d529c52ef746f","cgu","CUC-HON-3-N-BOOK",2016,8,1,8,52,0,"8",1,2016,10,"43"
"1047","b41c979e5f9b10fbec72a9dfcf452929dabb3f00c65da176ed7394766a950a51","cuc","CUC-HON-3-N-BOOK",2016,8,1,10,13,0,"8",1,2016,10,"23"
"983","fc5946d12ed128db5cc09a9fabcc4cf3f1c866dbca582665f526fb5271d85a14","cuc","CUC-HON-3-N-BOOK",2016,8,1,10,43,0,"8",1,2016,10,"53"
"1468","5f12b8c7991d7c0869cebb9cc357bce7215786712c6215818e58074cb89fa838","cuc","CUC-HON-3-N-BOOK",2016,8,1,11,23,0,"8",1,2016,11,"43"
"1487","c2f08b18202f69bebd95c628fe22f1df7c9fce3cc4fc23230335a9a2b0056e37","scr","CUC-HON-3-N-BOOK",2016,8,1,11,30,0,"8",1,2016,11,"33"
"917","157f4b7a7d26d7c1b4320a7c1d9557098749a19e7a8c5fd29f854d7d6cf15ab3","cgu","CUC-HON-3-N-BOOK",2016,8,1,11,58,0,"8",1,2016,0,"04"
"407","4117d39b473547b8f432fec52bd6e2e60edf582643644978fb13c2f9ca8adfa6","scr","CUC-HON-3-N-BOOK",2016,8,1,13,1,0,"8",1,2016,13,"05"
"387","39abf616867417eb12c6a38cfb1f27521bfa13dd381c1b8b945c4be05e62a809","cgu","CUC-HON-3-N-BOOK",2016,8,1,13,8,0,"8",1,2016,13,"15"
"360","2b25c1388dd99b4b7f85fa15d70f434cb8381e43a9b1deb924846e15990a184f","cgu","CUC-HON-3-N-BOOK",2016,8,1,13,46,0,"8",1,2016,13,"56"
"206","157f4b7a7d26d7c1b4320a7c1d9557098749a19e7a8c5fd29f854d7d6cf15ab3","cgu","CUC-HON-3-N-BOOK",2016,8,1,14,6,0,"8",1,2016,14,"57"
"310","d4fbe900320aaef126fd98df970c34e0eaefa2e1223e6399327684b106a203ae","hmc","CUC-HON-3-N-BOOK",2016,8,1,14,10,0,"8",1,2016,14,"17"
"695","e1178a0b40615f6b5c5297017eb33d8e2b59ef78e725de0b2e3a96c6c2758d7a","cuc","CUC-HON-3-N-BOOK",2016,8,1,14,22,0,"8",1,2016,16,"09"
"227","5f12b8c7991d7c0869cebb9cc357bce7215786712c6215818e58074cb89fa838","cuc","CUC-HON-3-N-BOOK",2016,8,1,14,37,0,"8",1,2016,14,"47"
"762","fc5946d12ed128db5cc09a9fabcc4cf3f1c866dbca582665f526fb5271d85a14","cuc","CUC-HON-3-N-BOOK",2016,8,1,14,47,0,"8",1,2016,15,"40"
"182","5980093adacfa618f50ceac3f25d7225daf8a4413840b1848fb1c3087bc62eb0","cgu","CUC-HON-3-N-BOOK",2016,8,1,14,57,0,"8",1,2016,15,"08"
"749","d3765dd9c9d152b0bc10712af3a22c3ce918f506f544ce8bd49fc746ccd765f9","cuc","CUC-HON-3-N-BOOK",2016,8,1,15,8,0,"8",1,2016,15,"48"
