"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"7","37c5dc8afa035e85fdf637b92ad56a6da364652f7b0118f84840b83faec71611","scr","CUC-HON-3-S-BOOK",2016,7,31,12,58,6,"7",31,2016,13,"08"
"6","6c4f55ed3bb4967c8c75f894a79a6f90a70c7fab9e167b0ab6b989c724263986","scr","CUC-HON-3-S-BOOK",2016,7,31,13,37,6,"7",31,2016,14,"08"
"1434","74c4f06b72c1e7d50857f9a3a5bc5b90d815c0053c73b63dcb4f7ea02eb4a5e4","cgu","CUC-HON-3-S-BOOK",2016,8,1,8,11,0,"8",1,2016,8,"12"
"1364","2b7b8576a5397153f15fa6b2bfbedd4eb9a39839c2513453941f79cff97b1f07","cuc","CUC-HON-3-S-BOOK",2016,8,1,8,42,0,"8",1,2016,8,"53"
"159","1d5993c188a29495939e1276285ac94886352013c19e5388b5a8a4c516a29f4f","scr","CUC-HON-3-S-BOOK",2016,8,1,10,5,0,"8",1,2016,18,"01"
"1508","1d5993c188a29495939e1276285ac94886352013c19e5388b5a8a4c516a29f4f","scr","CUC-HON-3-S-BOOK",2016,8,1,10,5,0,"8",1,2016,11,"23"
"1510","2b25c1388dd99b4b7f85fa15d70f434cb8381e43a9b1deb924846e15990a184f","cgu","CUC-HON-3-S-BOOK",2016,8,1,10,19,0,"8",1,2016,11,"23"
"988","95c48095816e63ce6c858e1147efa16efee52f69a6548b042232889239853433","hmc","CUC-HON-3-S-BOOK",2016,8,1,10,43,0,"8",1,2016,10,"49"
"1542","cdecc91f957d6947bc2e60d1df64ef843b0424978c55dd24baba92aaff08b719","cgu","CUC-HON-3-S-BOOK",2016,8,1,11,3,0,"8",1,2016,11,"13"
"465","2b25c1388dd99b4b7f85fa15d70f434cb8381e43a9b1deb924846e15990a184f","cgu","CUC-HON-3-S-BOOK",2016,8,1,11,23,0,"8",1,2016,0,"35"
"1486","6bf5d3ebc9ba22b4e8ad3c39f5818c0d22c11f7ee4934ed908ae853207d855b3","cmc","CUC-HON-3-S-BOOK",2016,8,1,11,27,0,"8",1,2016,11,"33"
"509","1d5993c188a29495939e1276285ac94886352013c19e5388b5a8a4c516a29f4f","scr","CUC-HON-3-S-BOOK",2016,8,1,11,33,0,"8",1,2016,17,"51"
"868","2b25c1388dd99b4b7f85fa15d70f434cb8381e43a9b1deb924846e15990a184f","cgu","CUC-HON-3-S-BOOK",2016,8,1,12,4,0,"8",1,2016,0,"14"
"464","9841853400e34f8882de16f63d9ee48af48fd0cbe70938bda0e80b5123e4eded","pit","CUC-HON-3-S-BOOK",2016,8,1,12,14,0,"8",1,2016,0,"35"
"482","2b25c1388dd99b4b7f85fa15d70f434cb8381e43a9b1deb924846e15990a184f","cgu","CUC-HON-3-S-BOOK",2016,8,1,12,25,0,"8",1,2016,0,"29"
"405","2b25c1388dd99b4b7f85fa15d70f434cb8381e43a9b1deb924846e15990a184f","cgu","CUC-HON-3-S-BOOK",2016,8,1,12,29,0,"8",1,2016,13,"05"
"799","96cc0bcbf5e50a179ac1d8dafcf616ce47be7fda4c78c14d2fbb0118aeefef56","cgu","CUC-HON-3-S-BOOK",2016,8,1,12,37,0,"8",1,2016,15,"28"
