"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"1301","fb7bcc90ccb186d97cf309d9bd3bbe9fbfc0e9ece4e217ff49c0a2fad689d754","cuc","CUC-HON-3-W-CENTER",2016,8,1,9,33,0,"8",1,2016,9,"43"
"1254","540668aeab863d371c954874426375bfb709cc6febe7983710bc386f41a27cf5","cgu","CUC-HON-3-W-CENTER",2016,8,1,9,53,0,"8",1,2016,10,"03"
"257","f16a9fdbd86c52e52bd6f9bfee097449689ecd9c9992aae7397a03a0d8ed1139","scr","CUC-HON-3-W-CENTER",2016,8,1,11,2,0,"8",1,2016,14,"37"
"261","dcab119a5529fa809d43e924ec1c479bd6c874f0a9a67805a3133a7d174ce60a","scr","CUC-HON-3-W-CENTER",2016,8,1,11,43,0,"8",1,2016,14,"37"
"335","c7fc8ae2810ed750494b48b6e6d5a45428f759f12828a15858599bb684fc1894","cgu","CUC-HON-3-W-CENTER",2016,8,1,13,46,0,"8",1,2016,14,"06"
"801","c7fc8ae2810ed750494b48b6e6d5a45428f759f12828a15858599bb684fc1894","cgu","CUC-HON-3-W-CENTER",2016,8,1,14,17,0,"8",1,2016,15,"28"
"270","c2f08b18202f69bebd95c628fe22f1df7c9fce3cc4fc23230335a9a2b0056e37","scr","CUC-HON-3-W-CENTER",2016,8,1,14,27,0,"8",1,2016,14,"37"
"1142","c7fc8ae2810ed750494b48b6e6d5a45428f759f12828a15858599bb684fc1894","cgu","CUC-HON-3-W-CENTER",2016,8,1,15,38,0,"8",1,2016,16,"19"
"690","ec55f480971a0c7305fb6eca8fb58fb704f24b9d484adba77fee09d63f651d52","pom","CUC-HON-3-W-CENTER",2016,8,1,16,3,0,"8",1,2016,16,"09"
"1122","ec55f480971a0c7305fb6eca8fb58fb704f24b9d484adba77fee09d63f651d52","pom","CUC-HON-3-W-CENTER",2016,8,1,16,19,0,"8",1,2016,16,"29"
"532","b4f00a4492a19cd6783efe983b4d88cc136c4ade7c0d2fe7e431e0a807e9e366","cuc","CUC-HON-3-W-CENTER",2016,8,1,17,41,0,"8",1,2016,17,"45"
"2516","b206d467f3b3ff0b9c2a6a784453d9dc2d5ff67211135b76b2de9759b3248c26","cgu","CUC-HON-3-W-CENTER",2016,8,2,10,11,1,"8",2,2016,11,"22"
"2907","2baff3562f4b6f23049cdb2e11ddb6887a95d2638c3f4e79b2adc94a1c223c87","scr","CUC-HON-3-W-CENTER",2016,8,2,10,21,1,"8",2,2016,10,"52"
"2952","e9aef271fae526e470664ff9e418775d14f9dd0e9203f2d882eeb2a6655efb8c","cgu","CUC-HON-3-W-CENTER",2016,8,2,10,21,1,"8",2,2016,10,"31"
"2281","c7fc8ae2810ed750494b48b6e6d5a45428f759f12828a15858599bb684fc1894","cgu","CUC-HON-3-W-CENTER",2016,8,2,10,31,1,"8",2,2016,0,"34"
"2931","ae4f946e8f4f34902dde7ea6f212e48f2adcb00fedd444a344d6991dae5fb8b6","cuc","CUC-HON-3-W-CENTER",2016,8,2,10,31,1,"8",2,2016,10,"41"
"2323","d21b28049691dc0cb0f1578f6f445c8c7d61314b752d8ae1d1a735de114f0df6","cgu","CUC-HON-3-W-CENTER",2016,8,2,11,12,1,"8",2,2016,0,"13"
"2651","2baff3562f4b6f23049cdb2e11ddb6887a95d2638c3f4e79b2adc94a1c223c87","scr","CUC-HON-3-W-CENTER",2016,8,2,11,12,1,"8",2,2016,0,"44"
"2444","1583e542dc61b9cc2088b365cfde79313e8a184be6ff5d08ac32a502386b183d","cuc","CUC-HON-3-W-CENTER",2016,8,2,11,43,1,"8",2,2016,11,"53"
"2413","2b7b8576a5397153f15fa6b2bfbedd4eb9a39839c2513453941f79cff97b1f07","cuc","CUC-HON-3-W-CENTER",2016,8,2,11,53,1,"8",2,2016,0,"07"
"2307","d21b28049691dc0cb0f1578f6f445c8c7d61314b752d8ae1d1a735de114f0df6","cgu","CUC-HON-3-W-CENTER",2016,8,2,12,13,1,"8",2,2016,0,"23"
