"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"1267","dd9ae7cfc24aa1c7f5355551cb5770971f5320b07ebffaa40536030f9f824902","cgu","CUC-HON-4-NORTH",2016,8,1,8,43,0,"8",1,2016,10,"03"
"1349","118f29c4fb4312e61375e27783c9d468cccfeafe53a1afc809a48cb0a8992d9c","cgu","CUC-HON-4-NORTH",2016,8,1,9,3,0,"8",1,2016,9,"13"
"1053","118f29c4fb4312e61375e27783c9d468cccfeafe53a1afc809a48cb0a8992d9c","cgu","CUC-HON-4-NORTH",2016,8,1,10,3,0,"8",1,2016,10,"23"
"987","118f29c4fb4312e61375e27783c9d468cccfeafe53a1afc809a48cb0a8992d9c","cgu","CUC-HON-4-NORTH",2016,8,1,10,33,0,"8",1,2016,10,"53"
"861","dd9ae7cfc24aa1c7f5355551cb5770971f5320b07ebffaa40536030f9f824902","cgu","CUC-HON-4-NORTH",2016,8,1,11,23,0,"8",1,2016,0,"24"
"884","118f29c4fb4312e61375e27783c9d468cccfeafe53a1afc809a48cb0a8992d9c","cgu","CUC-HON-4-NORTH",2016,8,1,11,54,0,"8",1,2016,0,"14"
"458","118f29c4fb4312e61375e27783c9d468cccfeafe53a1afc809a48cb0a8992d9c","cgu","CUC-HON-4-NORTH",2016,8,1,12,24,0,"8",1,2016,0,"45"
"1195","118f29c4fb4312e61375e27783c9d468cccfeafe53a1afc809a48cb0a8992d9c","cgu","CUC-HON-4-NORTH",2016,8,1,12,55,0,"8",1,2016,13,"36"
"1196","dd9ae7cfc24aa1c7f5355551cb5770971f5320b07ebffaa40536030f9f824902","cgu","CUC-HON-4-NORTH",2016,8,1,13,15,0,"8",1,2016,13,"36"
"680","72536c818334c271abc0c6dbd3e8d8bfb5ba4109daccd70046ba856f8e939859","cgu","CUC-HON-4-NORTH",2016,8,1,15,59,0,"8",1,2016,16,"19"
"1701","ef3eca5ec077f175dd4331516936407213ec503a69de9fbc18ba501ea4b23d95","cgu","CUC-HON-4-NORTH",2016,8,2,16,8,1,"8",2,2016,16,"28"
"2107","876b74db38750d5db3d852813e635e0d912ca92fe16d52333057b277cc5a97a0","cgu","CUC-HON-4-NORTH",2016,8,2,16,39,1,"8",2,2016,16,"49"
"3834","cc2485facc88d215432f9f03b6dc2c19bad8f3b6d407ef1b199da5d47e7ecb23","cgu","CUC-HON-4-NORTH",2016,8,3,10,15,2,"8",3,2016,10,"20"
"3196","72536c818334c271abc0c6dbd3e8d8bfb5ba4109daccd70046ba856f8e939859","cgu","CUC-HON-4-NORTH",2016,8,3,15,36,2,"8",3,2016,15,"57"
"3088","72536c818334c271abc0c6dbd3e8d8bfb5ba4109daccd70046ba856f8e939859","cgu","CUC-HON-4-NORTH",2016,8,3,16,47,2,"8",3,2016,17,"08"
"5341","72536c818334c271abc0c6dbd3e8d8bfb5ba4109daccd70046ba856f8e939859","cgu","CUC-HON-4-NORTH",2016,8,4,9,28,3,"8",4,2016,9,"59"
"5316","4c95ae0d05b9d2fc650116a239fcb07b7a92cd11793dd5dbc8381403e101f592","cuc","CUC-HON-4-NORTH",2016,8,4,9,59,3,"8",4,2016,10,"09"
"5049","cdecc91f957d6947bc2e60d1df64ef843b0424978c55dd24baba92aaff08b719","cgu","CUC-HON-4-NORTH",2016,8,4,10,9,3,"8",4,2016,10,"39"
"5050","72536c818334c271abc0c6dbd3e8d8bfb5ba4109daccd70046ba856f8e939859","cgu","CUC-HON-4-NORTH",2016,8,4,10,9,3,"8",4,2016,10,"39"
"5060","f16a9fdbd86c52e52bd6f9bfee097449689ecd9c9992aae7397a03a0d8ed1139","scr","CUC-HON-4-NORTH",2016,8,4,10,19,3,"8",4,2016,10,"29"
"4980","9ea4e711f1010cc63699e097c9428f83ea4bcef1c1bbee49fcd5d7656a4e18a2","cgu","CUC-HON-4-NORTH",2016,8,4,11,0,3,"8",4,2016,11,"10"
"5604","cc2485facc88d215432f9f03b6dc2c19bad8f3b6d407ef1b199da5d47e7ecb23","cgu","CUC-HON-4-NORTH",2016,8,4,11,30,3,"8",4,2016,11,"51"
"5582","cc2485facc88d215432f9f03b6dc2c19bad8f3b6d407ef1b199da5d47e7ecb23","cgu","CUC-HON-4-NORTH",2016,8,4,11,51,3,"8",4,2016,0,"01"
"4952","cc2485facc88d215432f9f03b6dc2c19bad8f3b6d407ef1b199da5d47e7ecb23","cgu","CUC-HON-4-NORTH",2016,8,4,12,11,3,"8",4,2016,0,"22"
