"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"343","4b22bc72c54b53b86e93f78b6530823b657d9cecb53294f439d386951ca1e4d6","pit","CUC-HON-4-SOUTH",2016,8,1,9,54,0,"8",1,2016,14,"06"
"1071","cdecc91f957d6947bc2e60d1df64ef843b0424978c55dd24baba92aaff08b719","cgu","CUC-HON-4-SOUTH",2016,8,1,10,8,0,"8",1,2016,10,"13"
"975","72536c818334c271abc0c6dbd3e8d8bfb5ba4109daccd70046ba856f8e939859","cgu","CUC-HON-4-SOUTH",2016,8,1,10,13,0,"8",1,2016,10,"53"
"981","cdecc91f957d6947bc2e60d1df64ef843b0424978c55dd24baba92aaff08b719","cgu","CUC-HON-4-SOUTH",2016,8,1,10,13,0,"8",1,2016,10,"53"
"977","72536c818334c271abc0c6dbd3e8d8bfb5ba4109daccd70046ba856f8e939859","cgu","CUC-HON-4-SOUTH",2016,8,1,10,33,0,"8",1,2016,10,"53"
"1519","b551b619c854df164a600704f0bf33c05072af6f8bc1ad0fb87126cb993f6b18","cuc","CUC-HON-4-SOUTH",2016,8,1,11,3,0,"8",1,2016,11,"23"
"1547","b551b619c854df164a600704f0bf33c05072af6f8bc1ad0fb87126cb993f6b18","cuc","CUC-HON-4-SOUTH",2016,8,1,11,3,0,"8",1,2016,11,"06"
"1520","b551b619c854df164a600704f0bf33c05072af6f8bc1ad0fb87126cb993f6b18","cuc","CUC-HON-4-SOUTH",2016,8,1,11,7,0,"8",1,2016,11,"23"
"504","cdecc91f957d6947bc2e60d1df64ef843b0424978c55dd24baba92aaff08b719","cgu","CUC-HON-4-SOUTH",2016,8,1,11,13,0,"8",1,2016,0,"24"
"939","72536c818334c271abc0c6dbd3e8d8bfb5ba4109daccd70046ba856f8e939859","cgu","CUC-HON-4-SOUTH",2016,8,1,11,13,0,"8",1,2016,11,"54"
"1499","118f29c4fb4312e61375e27783c9d468cccfeafe53a1afc809a48cb0a8992d9c","cgu","CUC-HON-4-SOUTH",2016,8,1,11,23,0,"8",1,2016,11,"33"
"503","519ab6fc007066945bd7a345fb33906e64b2cb9a04cb47d6ce0af7d9647ce21c","kgi","CUC-HON-4-SOUTH",2016,8,1,12,14,0,"8",1,2016,0,"24"
"456","193b8bff00bdc347489961f3b3b0528ea37a30ceb8ae574bf4d9cc3b73a030b6","cuc","CUC-HON-4-SOUTH",2016,8,1,12,35,0,"8",1,2016,0,"45"
"1166","c7fc8ae2810ed750494b48b6e6d5a45428f759f12828a15858599bb684fc1894","cgu","CUC-HON-4-SOUTH",2016,8,1,12,44,0,"8",1,2016,13,"46"
"323","0175be1722f4e32161b9a21c03255c6b7538f07028c2d3d31832f379027c6768","scr","CUC-HON-4-SOUTH",2016,8,1,14,6,0,"8",1,2016,14,"17"
"240","c2f08b18202f69bebd95c628fe22f1df7c9fce3cc4fc23230335a9a2b0056e37","scr","CUC-HON-4-SOUTH",2016,8,1,14,37,0,"8",1,2016,14,"47"
"631","72536c818334c271abc0c6dbd3e8d8bfb5ba4109daccd70046ba856f8e939859","cgu","CUC-HON-4-SOUTH",2016,8,1,14,47,0,"8",1,2016,17,"10"
"740","72536c818334c271abc0c6dbd3e8d8bfb5ba4109daccd70046ba856f8e939859","cgu","CUC-HON-4-SOUTH",2016,8,1,14,47,0,"8",1,2016,15,"59"
"1096","2e7aaf7d41d8a1dfeb748b2651418ec743770cd87e7ba4324f3b6e178ce9f95a","pom","CUC-HON-4-SOUTH",2016,8,1,15,12,0,"8",1,2016,16,"50"
"1095","72536c818334c271abc0c6dbd3e8d8bfb5ba4109daccd70046ba856f8e939859","cgu","CUC-HON-4-SOUTH",2016,8,1,16,19,0,"8",1,2016,16,"50"
"130","2e7aaf7d41d8a1dfeb748b2651418ec743770cd87e7ba4324f3b6e178ce9f95a","pom","CUC-HON-4-SOUTH",2016,8,1,16,50,0,"8",1,2016,18,"32"
"666","72536c818334c271abc0c6dbd3e8d8bfb5ba4109daccd70046ba856f8e939859","cgu","CUC-HON-4-SOUTH",2016,8,1,16,50,0,"8",1,2016,17,"00"
"550","f1503e550ee44a2cb8f0c4eed1ea6843808696150c849047144b8cb1a8fe3b73","cgu","CUC-HON-4-SOUTH",2016,8,1,17,10,0,"8",1,2016,17,"41"
