"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"2522","5f7c747ebb19df21c8b7d421cb077bc2d6e5ee35f579f99e6c7a2ba49e6b1473","cgu","CUC-HON203-AP105-15",2016,7,28,17,24,3,"8",2,2016,11,"22"
"21","25d8d289042f6454092211157575aa90f33a2cc80e3743759ef97d04cb09da8f","cuc","CUC-HON203-AP105-15",2016,7,31,10,58,6,"7",31,2016,0,"18"
"1028","62820dfa0f6b17628427e0f172acee99ef3d43784b8a9109407d87176b6fe12a","cgu","CUC-HON203-AP105-15",2016,8,1,9,23,0,"8",1,2016,10,"33"
"1298","5f7c747ebb19df21c8b7d421cb077bc2d6e5ee35f579f99e6c7a2ba49e6b1473","cgu","CUC-HON203-AP105-15",2016,8,1,9,23,0,"8",1,2016,9,"43"
"1299","62820dfa0f6b17628427e0f172acee99ef3d43784b8a9109407d87176b6fe12a","cgu","CUC-HON203-AP105-15",2016,8,1,9,33,0,"8",1,2016,9,"43"
"1067","62820dfa0f6b17628427e0f172acee99ef3d43784b8a9109407d87176b6fe12a","cgu","CUC-HON203-AP105-15",2016,8,1,9,53,0,"8",1,2016,10,"13"
"1027","5f7c747ebb19df21c8b7d421cb077bc2d6e5ee35f579f99e6c7a2ba49e6b1473","cgu","CUC-HON203-AP105-15",2016,8,1,10,13,0,"8",1,2016,10,"33"
"960","d3765dd9c9d152b0bc10712af3a22c3ce918f506f544ce8bd49fc746ccd765f9","cuc","CUC-HON203-AP105-15",2016,8,1,10,33,0,"8",1,2016,11,"03"
"986","62820dfa0f6b17628427e0f172acee99ef3d43784b8a9109407d87176b6fe12a","cgu","CUC-HON203-AP105-15",2016,8,1,10,43,0,"8",1,2016,10,"53"
"1543","5f7c747ebb19df21c8b7d421cb077bc2d6e5ee35f579f99e6c7a2ba49e6b1473","cgu","CUC-HON203-AP105-15",2016,8,1,11,3,0,"8",1,2016,11,"13"
"1496","57149caa52db2a2109599da6186367ba9c3698aa70b069291a07dcfd4a9d4cb9","cuc","CUC-HON203-AP105-15",2016,8,1,11,13,0,"8",1,2016,11,"33"
"1495","5f7c747ebb19df21c8b7d421cb077bc2d6e5ee35f579f99e6c7a2ba49e6b1473","cgu","CUC-HON203-AP105-15",2016,8,1,11,23,0,"8",1,2016,11,"33"
"879","5f7c747ebb19df21c8b7d421cb077bc2d6e5ee35f579f99e6c7a2ba49e6b1473","cgu","CUC-HON203-AP105-15",2016,8,1,11,54,0,"8",1,2016,0,"14"
"443","9441340594228d2395690b146f4d3f38d83fa107a67eaddee2f5727df5d61f32","cuc","CUC-HON203-AP105-15",2016,8,1,12,53,0,"8",1,2016,0,"54"
"291","5f7c747ebb19df21c8b7d421cb077bc2d6e5ee35f579f99e6c7a2ba49e6b1473","cgu","CUC-HON203-AP105-15",2016,8,1,12,55,0,"8",1,2016,14,"27"
"188","5f7c747ebb19df21c8b7d421cb077bc2d6e5ee35f579f99e6c7a2ba49e6b1473","cgu","CUC-HON203-AP105-15",2016,8,1,14,37,0,"8",1,2016,15,"08"
"603","5f7c747ebb19df21c8b7d421cb077bc2d6e5ee35f579f99e6c7a2ba49e6b1473","cgu","CUC-HON203-AP105-15",2016,8,1,17,10,0,"8",1,2016,17,"20"
