"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"949","3d71d728b273699c68b394cca09b98eeea054cf09a56b09aa740ecb884149de8","cgu","CUC-MUDD-1-W-ELEVATOR",2016,8,1,10,3,0,"8",1,2016,11,"43"
"1042","454c77e55e37ca336e9c234873571810491c1c8250f33c059571caa8a3b472ed","cgu","CUC-MUDD-1-W-ELEVATOR",2016,8,1,10,18,0,"8",1,2016,10,"23"
"775","216a1f902c9c0b0e029a19f583b0bb7f05b1b6cd28e9fc8def25092185f27e9a","cgu","CUC-MUDD-1-W-ELEVATOR",2016,8,1,15,28,0,"8",1,2016,15,"38"
"627","d9a6324798190a5c57f84ece6bc556862be52dc0534df30d9e64147fe22d1489","pom","CUC-MUDD-1-W-ELEVATOR",2016,8,1,17,0,0,"8",1,2016,17,"10"
"2787","49f724d41fbf815ed7d266112d4e06f473bd695ba21f29277281dcf1125b0558","hmc","CUC-MUDD-1-W-ELEVATOR",2016,8,2,9,5,1,"8",2,2016,9,"11"
"2572","e154440feda3d11315eba8f2ba83ce561d9e3d13eb7731902bbee0269d8660dc","cuc","CUC-MUDD-1-W-ELEVATOR",2016,8,2,9,55,1,"8",2,2016,10,"31"
"2682","b206d467f3b3ff0b9c2a6a784453d9dc2d5ff67211135b76b2de9759b3248c26","cgu","CUC-MUDD-1-W-ELEVATOR",2016,8,2,10,1,1,"8",2,2016,10,"11"
"2589","0ab358f3211fb7268c46b226dc6ad05e837cec862d89a5a57a0a08c51ec98ffc","cuc","CUC-MUDD-1-W-ELEVATOR",2016,8,2,10,19,1,"8",2,2016,10,"21"
"2508","d9a6324798190a5c57f84ece6bc556862be52dc0534df30d9e64147fe22d1489","pom","CUC-MUDD-1-W-ELEVATOR",2016,8,2,11,2,1,"8",2,2016,11,"22"
"2317","4648930cd2984ba0ddc58945363d785e26df6b8c83e61137587edaa9a116013c","cgu","CUC-MUDD-1-W-ELEVATOR",2016,8,2,12,16,1,"8",2,2016,0,"17"
"2251","1d5993c188a29495939e1276285ac94886352013c19e5388b5a8a4c516a29f4f","scr","CUC-MUDD-1-W-ELEVATOR",2016,8,2,12,31,1,"8",2,2016,13,"04"
"2233","1d5993c188a29495939e1276285ac94886352013c19e5388b5a8a4c516a29f4f","scr","CUC-MUDD-1-W-ELEVATOR",2016,8,2,13,4,1,"8",2,2016,13,"14"
"2111","1d5993c188a29495939e1276285ac94886352013c19e5388b5a8a4c516a29f4f","scr","CUC-MUDD-1-W-ELEVATOR",2016,8,2,13,14,1,"8",2,2016,14,"05"
"2212","dda7816af52181ed4f2e4dfb4af6d318b551c307a0ae3bf3f5a345cc7132a124","cgu","CUC-MUDD-1-W-ELEVATOR",2016,8,2,13,14,1,"8",2,2016,13,"25"
"2132","67bc8788ac46c0458e823d33da588999ee31fbb22241cd9063f88ac8e6c706d3","cgu","CUC-MUDD-1-W-ELEVATOR",2016,8,2,13,55,1,"8",2,2016,14,"05"
"1892","4648930cd2984ba0ddc58945363d785e26df6b8c83e61137587edaa9a116013c","cgu","CUC-MUDD-1-W-ELEVATOR",2016,8,2,14,16,1,"8",2,2016,14,"26"
"1860","4648930cd2984ba0ddc58945363d785e26df6b8c83e61137587edaa9a116013c","cgu","CUC-MUDD-1-W-ELEVATOR",2016,8,2,15,7,1,"8",2,2016,15,"17"
"2031","4648930cd2984ba0ddc58945363d785e26df6b8c83e61137587edaa9a116013c","cgu","CUC-MUDD-1-W-ELEVATOR",2016,8,2,16,28,1,"8",2,2016,17,"19"
"1949","4648930cd2984ba0ddc58945363d785e26df6b8c83e61137587edaa9a116013c","cgu","CUC-MUDD-1-W-ELEVATOR",2016,8,2,17,50,1,"8",2,2016,18,"00"
"1658","537df975bbdba8396198a1e567a3485718bc533f5518f7d1305190b69ad1d84a","cgu","CUC-MUDD-1-W-ELEVATOR",2016,8,2,18,0,1,"8",2,2016,18,"31"
"4149","2b7b8576a5397153f15fa6b2bfbedd4eb9a39839c2513453941f79cff97b1f07","cuc","CUC-MUDD-1-W-ELEVATOR",2016,8,3,8,26,2,"8",3,2016,8,"29"
"4052","e154440feda3d11315eba8f2ba83ce561d9e3d13eb7731902bbee0269d8660dc","cuc","CUC-MUDD-1-W-ELEVATOR",2016,8,3,9,9,2,"8",3,2016,9,"39"
"3820","74c4f06b72c1e7d50857f9a3a5bc5b90d815c0053c73b63dcb4f7ea02eb4a5e4","cgu","CUC-MUDD-1-W-ELEVATOR",2016,8,3,10,10,2,"8",3,2016,10,"20"
"3791","32f4d5b5b6686f9e32c5e8939bc632cfb7a7bf918843acc5445ec6e879979a8f","cgu","CUC-MUDD-1-W-ELEVATOR",2016,8,3,10,23,2,"8",3,2016,10,"30"
"4275","d7da02c1d08e24057be9bc50c29a2d30e0784673effe5cdc6d24fd8bdeecb5eb","cgu","CUC-MUDD-1-W-ELEVATOR",2016,8,3,11,6,2,"8",3,2016,11,"11"
"4237","fc5946d12ed128db5cc09a9fabcc4cf3f1c866dbca582665f526fb5271d85a14","cuc","CUC-MUDD-1-W-ELEVATOR",2016,8,3,11,23,2,"8",3,2016,11,"31"
"3731","6663837a6ca6ee8179c33fd91814e7c00fb9d9cbc95cb3167000cad6ef801881","cgu","CUC-MUDD-1-W-ELEVATOR",2016,8,3,11,38,2,"8",3,2016,11,"42"
"3986","4648930cd2984ba0ddc58945363d785e26df6b8c83e61137587edaa9a116013c","cgu","CUC-MUDD-1-W-ELEVATOR",2016,8,3,13,24,2,"8",3,2016,13,"34"
"3900","4648930cd2984ba0ddc58945363d785e26df6b8c83e61137587edaa9a116013c","cgu","CUC-MUDD-1-W-ELEVATOR",2016,8,3,14,9,2,"8",3,2016,14,"15"
"3889","5f12b8c7991d7c0869cebb9cc357bce7215786712c6215818e58074cb89fa838","cuc","CUC-MUDD-1-W-ELEVATOR",2016,8,3,14,15,2,"8",3,2016,14,"25"
"3283","8711e0beeaa4496f9dd3dc08f89b0d44f418f831606f40837db5df5c2147b31e","cuc","CUC-MUDD-1-W-ELEVATOR",2016,8,3,15,6,2,"8",3,2016,15,"16"
"3619","1d5993c188a29495939e1276285ac94886352013c19e5388b5a8a4c516a29f4f","scr","CUC-MUDD-1-W-ELEVATOR",2016,8,3,15,57,2,"8",3,2016,16,"07"
"3139","baa624375d00a8c5bdcdf72e99bed1e4b042d6ad8e71a680a06b17d3e10db4df","cgu","CUC-MUDD-1-W-ELEVATOR",2016,8,3,16,27,2,"8",3,2016,16,"37"
"3003","baa624375d00a8c5bdcdf72e99bed1e4b042d6ad8e71a680a06b17d3e10db4df","cgu","CUC-MUDD-1-W-ELEVATOR",2016,8,3,17,8,2,"8",3,2016,17,"49"
"5350","b551b619c854df164a600704f0bf33c05072af6f8bc1ad0fb87126cb993f6b18","cuc","CUC-MUDD-1-W-ELEVATOR",2016,8,4,9,44,3,"8",4,2016,9,"48"
"5683","cc2485facc88d215432f9f03b6dc2c19bad8f3b6d407ef1b199da5d47e7ecb23","cgu","CUC-MUDD-1-W-ELEVATOR",2016,8,4,10,29,3,"8",4,2016,10,"29"
"4907","40df4bd8ddd74314f0a272d2ed789a6a2d05f29a5008f3705fb4661674bb7ef6","cuc","CUC-MUDD-1-W-ELEVATOR",2016,8,4,12,32,3,"8",4,2016,0,"42"
