"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"1188","1d5993c188a29495939e1276285ac94886352013c19e5388b5a8a4c516a29f4f","scr","CUC-MUDD-1-W-MATERIALS_HANDLING",2016,8,1,13,26,0,"8",1,2016,13,"36"
"349","2f25fa91271a3727cfd5b3cf5547dd3488c0e538756e98d2e2c0554fb129a601","cuc","CUC-MUDD-1-W-MATERIALS_HANDLING",2016,8,1,13,56,0,"8",1,2016,14,"03"
"841","5b925f00f894dcc4c35914f0868b3683ea530de9e88fe509504995a38e8990ea","scr","CUC-MUDD-1-W-MATERIALS_HANDLING",2016,8,1,15,8,0,"8",1,2016,15,"18"
"526","699e3ba331a75644365524914969cc0f602f2c9438e994332284952cbbb88f12","cgu","CUC-MUDD-1-W-MATERIALS_HANDLING",2016,8,1,17,0,0,"8",1,2016,17,"51"
"2719","48fd54d5de3d3a26f35b89eb3ff2c220116596c4476f4f77e549f509032f6fe0","cmc","CUC-MUDD-1-W-MATERIALS_HANDLING",2016,8,2,9,35,1,"8",2,2016,9,"58"
"2927","48fd54d5de3d3a26f35b89eb3ff2c220116596c4476f4f77e549f509032f6fe0","cmc","CUC-MUDD-1-W-MATERIALS_HANDLING",2016,8,2,9,58,1,"8",2,2016,10,"52"
"2486","049068298181e4892450f9e8dcc2bdebdf60a4b7e1b83a2b76e2772024b9d988","cgu","CUC-MUDD-1-W-MATERIALS_HANDLING",2016,8,2,11,32,1,"8",2,2016,11,"43"
"2158","67bc8788ac46c0458e823d33da588999ee31fbb22241cd9063f88ac8e6c706d3","cgu","CUC-MUDD-1-W-MATERIALS_HANDLING",2016,8,2,13,35,1,"8",2,2016,13,"55"
"1904","67bc8788ac46c0458e823d33da588999ee31fbb22241cd9063f88ac8e6c706d3","cgu","CUC-MUDD-1-W-MATERIALS_HANDLING",2016,8,2,14,5,1,"8",2,2016,14,"26"
"4099","e154440feda3d11315eba8f2ba83ce561d9e3d13eb7731902bbee0269d8660dc","cuc","CUC-MUDD-1-W-MATERIALS_HANDLING",2016,8,3,8,59,2,"8",3,2016,9,"09"
"4013","2f25fa91271a3727cfd5b3cf5547dd3488c0e538756e98d2e2c0554fb129a601","cuc","CUC-MUDD-1-W-MATERIALS_HANDLING",2016,8,3,9,49,2,"8",3,2016,10,"00"
"3888","2a8600319b5ac634e0ea97da112fd41788273733fcddc613f5042b2353f346ff","cuc","CUC-MUDD-1-W-MATERIALS_HANDLING",2016,8,3,14,15,2,"8",3,2016,14,"25"
"5274","2c20a052ce19eae69b0fb6da5bdf8b81316fdc8152dcc77835d5b1d532506831","cgu","CUC-MUDD-1-W-MATERIALS_HANDLING",2016,8,4,13,23,3,"8",4,2016,13,"43"
"6492","1d4b466c6fc3835fdd477f616382bc4df8b863d335fe087ea7082590f584a3b6","scr","CUC-MUDD-1-W-MATERIALS_HANDLING",2016,8,5,9,38,4,"8",5,2016,9,"48"
"6342","d9a6324798190a5c57f84ece6bc556862be52dc0534df30d9e64147fe22d1489","pom","CUC-MUDD-1-W-MATERIALS_HANDLING",2016,8,5,9,48,4,"8",5,2016,10,"39"
"6947","a3e01d118498754c8259e7e9fa71118d6299ad1e8be392b59acc53b9c431803e","cgu","CUC-MUDD-1-W-MATERIALS_HANDLING",2016,8,5,11,40,4,"8",5,2016,11,"50"
"6772","4648930cd2984ba0ddc58945363d785e26df6b8c83e61137587edaa9a116013c","cgu","CUC-MUDD-1-W-MATERIALS_HANDLING",2016,8,5,13,2,4,"8",5,2016,13,"12"
"5943","4648930cd2984ba0ddc58945363d785e26df6b8c83e61137587edaa9a116013c","cgu","CUC-MUDD-1-W-MATERIALS_HANDLING",2016,8,5,15,13,4,"8",5,2016,15,"23"
"6410","2c20a052ce19eae69b0fb6da5bdf8b81316fdc8152dcc77835d5b1d532506831","cgu","CUC-MUDD-1-W-MATERIALS_HANDLING",2016,8,5,15,33,4,"8",5,2016,15,"43"
"5921","2c20a052ce19eae69b0fb6da5bdf8b81316fdc8152dcc77835d5b1d532506831","cgu","CUC-MUDD-1-W-MATERIALS_HANDLING",2016,8,5,15,54,4,"8",5,2016,16,"04"
"8504","1d4b466c6fc3835fdd477f616382bc4df8b863d335fe087ea7082590f584a3b6","scr","CUC-MUDD-1-W-MATERIALS_HANDLING",2016,8,8,9,59,0,"8",8,2016,10,"09"
"7886","4b1b05051652a1207923792c020bccf211fb6eb5068fdcbf3f8da0f80eba9869","cgu","CUC-MUDD-1-W-MATERIALS_HANDLING",2016,8,8,16,1,0,"8",8,2016,16,"12"
"9899","3d2538bf5eb875f2901284c686c0e1ca4e2d42fa2d24024bbfa8f7c474c4452d","scr","CUC-MUDD-1-W-MATERIALS_HANDLING",2016,8,9,12,48,1,"8",9,2016,0,"59"
"9666","d9a6324798190a5c57f84ece6bc556862be52dc0534df30d9e64147fe22d1489","pom","CUC-MUDD-1-W-MATERIALS_HANDLING",2016,8,9,14,0,1,"8",9,2016,14,"20"
"12038","d9a6324798190a5c57f84ece6bc556862be52dc0534df30d9e64147fe22d1489","pom","CUC-MUDD-1-W-MATERIALS_HANDLING",2016,8,10,9,43,2,"8",10,2016,9,"44"
"11830","d9a6324798190a5c57f84ece6bc556862be52dc0534df30d9e64147fe22d1489","pom","CUC-MUDD-1-W-MATERIALS_HANDLING",2016,8,10,9,44,2,"8",10,2016,10,"25"
