"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"1401","157f4b7a7d26d7c1b4320a7c1d9557098749a19e7a8c5fd29f854d7d6cf15ab3","cgu","CUC-MUDD-2-NE",2016,8,1,8,15,0,"8",1,2016,8,"22"
"1359","2e9f85bcb00c28539c520b0f4ebc885ff35922618d8d6830b8c200b50eb3c534","cgu","CUC-MUDD-2-NE",2016,8,1,8,59,0,"8",1,2016,9,"03"
"1319","d3765dd9c9d152b0bc10712af3a22c3ce918f506f544ce8bd49fc746ccd765f9","cuc","CUC-MUDD-2-NE",2016,8,1,9,7,0,"8",1,2016,9,"33"
"299","2e9f85bcb00c28539c520b0f4ebc885ff35922618d8d6830b8c200b50eb3c534","cgu","CUC-MUDD-2-NE",2016,8,1,9,13,0,"8",1,2016,14,"27"
"1033","d3765dd9c9d152b0bc10712af3a22c3ce918f506f544ce8bd49fc746ccd765f9","cuc","CUC-MUDD-2-NE",2016,8,1,9,53,0,"8",1,2016,10,"33"
"1269","1d4b466c6fc3835fdd477f616382bc4df8b863d335fe087ea7082590f584a3b6","scr","CUC-MUDD-2-NE",2016,8,1,9,53,0,"8",1,2016,10,"03"
"1565","2e9f85bcb00c28539c520b0f4ebc885ff35922618d8d6830b8c200b50eb3c534","cgu","CUC-MUDD-2-NE",2016,8,1,10,13,0,"8",1,2016,11,"03"
"1034","1d4b466c6fc3835fdd477f616382bc4df8b863d335fe087ea7082590f584a3b6","scr","CUC-MUDD-2-NE",2016,8,1,10,23,0,"8",1,2016,10,"33"
"1032","157f4b7a7d26d7c1b4320a7c1d9557098749a19e7a8c5fd29f854d7d6cf15ab3","cgu","CUC-MUDD-2-NE",2016,8,1,10,27,0,"8",1,2016,10,"33"
"1003","74232702efb01adca9c8a8640b61a3bd173f5e1814432929042edb04b3b3d9ec","pit","CUC-MUDD-2-NE",2016,8,1,10,32,0,"8",1,2016,10,"43"
"1476","1d4b466c6fc3835fdd477f616382bc4df8b863d335fe087ea7082590f584a3b6","scr","CUC-MUDD-2-NE",2016,8,1,10,33,0,"8",1,2016,11,"43"
"989","fc5946d12ed128db5cc09a9fabcc4cf3f1c866dbca582665f526fb5271d85a14","cuc","CUC-MUDD-2-NE",2016,8,1,10,34,0,"8",1,2016,10,"43"
"1500","157f4b7a7d26d7c1b4320a7c1d9557098749a19e7a8c5fd29f854d7d6cf15ab3","cgu","CUC-MUDD-2-NE",2016,8,1,11,13,0,"8",1,2016,11,"33"
"916","2e9f85bcb00c28539c520b0f4ebc885ff35922618d8d6830b8c200b50eb3c534","cgu","CUC-MUDD-2-NE",2016,8,1,11,43,0,"8",1,2016,0,"04"
"883","fd76e69bb7319d54f6b60742e7230ab860c9ede4ab4ee7c98997c4248da07b41","cgu","CUC-MUDD-2-NE",2016,8,1,11,53,0,"8",1,2016,0,"14"
"1226","1d4b466c6fc3835fdd477f616382bc4df8b863d335fe087ea7082590f584a3b6","scr","CUC-MUDD-2-NE",2016,8,1,11,54,0,"8",1,2016,13,"26"
"442","519ab6fc007066945bd7a345fb33906e64b2cb9a04cb47d6ce0af7d9647ce21c","kgi","CUC-MUDD-2-NE",2016,8,1,12,35,0,"8",1,2016,0,"55"
"414","2b25c1388dd99b4b7f85fa15d70f434cb8381e43a9b1deb924846e15990a184f","cgu","CUC-MUDD-2-NE",2016,8,1,12,55,0,"8",1,2016,13,"05"
"346","157f4b7a7d26d7c1b4320a7c1d9557098749a19e7a8c5fd29f854d7d6cf15ab3","cgu","CUC-MUDD-2-NE",2016,8,1,13,5,0,"8",1,2016,14,"06"
"786","519ab6fc007066945bd7a345fb33906e64b2cb9a04cb47d6ce0af7d9647ce21c","kgi","CUC-MUDD-2-NE",2016,8,1,13,15,0,"8",1,2016,15,"38"
"1193","c2f08b18202f69bebd95c628fe22f1df7c9fce3cc4fc23230335a9a2b0056e37","scr","CUC-MUDD-2-NE",2016,8,1,13,15,0,"8",1,2016,13,"36"
"377","1d4b466c6fc3835fdd477f616382bc4df8b863d335fe087ea7082590f584a3b6","scr","CUC-MUDD-2-NE",2016,8,1,13,46,0,"8",1,2016,13,"56"
"300","2e9f85bcb00c28539c520b0f4ebc885ff35922618d8d6830b8c200b50eb3c534","cgu","CUC-MUDD-2-NE",2016,8,1,13,56,0,"8",1,2016,14,"27"
"348","b4f00a4492a19cd6783efe983b4d88cc136c4ade7c0d2fe7e431e0a807e9e366","cuc","CUC-MUDD-2-NE",2016,8,1,13,56,0,"8",1,2016,14,"06"
"814","699e3ba331a75644365524914969cc0f602f2c9438e994332284952cbbb88f12","cgu","CUC-MUDD-2-NE",2016,8,1,14,27,0,"8",1,2016,15,"28"
"243","1d4b466c6fc3835fdd477f616382bc4df8b863d335fe087ea7082590f584a3b6","scr","CUC-MUDD-2-NE",2016,8,1,14,37,0,"8",1,2016,14,"47"
"833","1d4b466c6fc3835fdd477f616382bc4df8b863d335fe087ea7082590f584a3b6","scr","CUC-MUDD-2-NE",2016,8,1,14,57,0,"8",1,2016,15,"18"
"703","157f4b7a7d26d7c1b4320a7c1d9557098749a19e7a8c5fd29f854d7d6cf15ab3","cgu","CUC-MUDD-2-NE",2016,8,1,15,8,0,"8",1,2016,16,"09"
"527","b7ab7e83ab91278a8f25d364fdbaf5203413e77adbce09dd400255329a5cd6b2","pit","CUC-MUDD-2-NE",2016,8,1,15,24,0,"8",1,2016,17,"51"
"737","699e3ba331a75644365524914969cc0f602f2c9438e994332284952cbbb88f12","cgu","CUC-MUDD-2-NE",2016,8,1,15,38,0,"8",1,2016,15,"59"
"704","1d4b466c6fc3835fdd477f616382bc4df8b863d335fe087ea7082590f584a3b6","scr","CUC-MUDD-2-NE",2016,8,1,15,48,0,"8",1,2016,16,"09"
"529","699e3ba331a75644365524914969cc0f602f2c9438e994332284952cbbb88f12","cgu","CUC-MUDD-2-NE",2016,8,1,16,29,0,"8",1,2016,17,"51"
"585","1d4b466c6fc3835fdd477f616382bc4df8b863d335fe087ea7082590f584a3b6","scr","CUC-MUDD-2-NE",2016,8,1,16,50,0,"8",1,2016,17,"30"
"605","bccbc1dc0736246b8fe8d712d54cfb54cfe2c206a95cec96b5b4699083f4e604","pit","CUC-MUDD-2-NE",2016,8,1,17,9,0,"8",1,2016,17,"20"
"2831","157f4b7a7d26d7c1b4320a7c1d9557098749a19e7a8c5fd29f854d7d6cf15ab3","cgu","CUC-MUDD-2-NE",2016,8,2,8,20,1,"8",2,2016,8,"25"
"2823","157f4b7a7d26d7c1b4320a7c1d9557098749a19e7a8c5fd29f854d7d6cf15ab3","cgu","CUC-MUDD-2-NE",2016,8,2,8,30,1,"8",2,2016,8,"40"
"2800","97580101fe1b134e18ece7cd84d06775c87ba5a9bc018e76be840471c0fd1be9","cuc","CUC-MUDD-2-NE",2016,8,2,9,8,1,"8",2,2016,9,"11"
"2551","2e9f85bcb00c28539c520b0f4ebc885ff35922618d8d6830b8c200b50eb3c534","cgu","CUC-MUDD-2-NE",2016,8,2,9,12,1,"8",2,2016,11,"12"
"2663","2e9f85bcb00c28539c520b0f4ebc885ff35922618d8d6830b8c200b50eb3c534","cgu","CUC-MUDD-2-NE",2016,8,2,9,31,1,"8",2,2016,0,"44"
"2611","157f4b7a7d26d7c1b4320a7c1d9557098749a19e7a8c5fd29f854d7d6cf15ab3","cgu","CUC-MUDD-2-NE",2016,8,2,10,1,1,"8",2,2016,10,"21"
"2588","9efc77538dc95f94f7a4a3d1994f0c08add74183ed48a9a59b09751f0bbc3f77","cuc","CUC-MUDD-2-NE",2016,8,2,10,21,1,"8",2,2016,10,"24"
"2947","9223cc6443d787da6709aeee8a7082d0d511d9252e82e5667fe076a10e49bf47","cgu","CUC-MUDD-2-NE",2016,8,2,10,33,1,"8",2,2016,10,"34"
"2895","9223cc6443d787da6709aeee8a7082d0d511d9252e82e5667fe076a10e49bf47","cgu","CUC-MUDD-2-NE",2016,8,2,10,34,1,"8",2,2016,11,"02"
"2412","f7ad202b8a01afc96fb19cecd3e8c36ce646309d7e001093cb517f088758d3ea","pom","CUC-MUDD-2-NE",2016,8,2,10,41,1,"8",2,2016,0,"08"
"2664","2e9f85bcb00c28539c520b0f4ebc885ff35922618d8d6830b8c200b50eb3c534","cgu","CUC-MUDD-2-NE",2016,8,2,11,22,1,"8",2,2016,0,"44"
"2411","d9a6324798190a5c57f84ece6bc556862be52dc0534df30d9e64147fe22d1489","pom","CUC-MUDD-2-NE",2016,8,2,11,43,1,"8",2,2016,0,"13"
"2246","157f4b7a7d26d7c1b4320a7c1d9557098749a19e7a8c5fd29f854d7d6cf15ab3","cgu","CUC-MUDD-2-NE",2016,8,2,13,4,1,"8",2,2016,13,"14"
"2188","5f7c747ebb19df21c8b7d421cb077bc2d6e5ee35f579f99e6c7a2ba49e6b1473","cgu","CUC-MUDD-2-NE",2016,8,2,13,35,1,"8",2,2016,13,"45"
"2156","fd76e69bb7319d54f6b60742e7230ab860c9ede4ab4ee7c98997c4248da07b41","cgu","CUC-MUDD-2-NE",2016,8,2,13,45,1,"8",2,2016,13,"55"
"1728","1ed51400be9b8adc62aea74b604226bfe3dfcb237fda51b45e56ce0e9d3c5f56","kgi","CUC-MUDD-2-NE",2016,8,2,14,46,1,"8",2,2016,16,"18"
"2383","537df975bbdba8396198a1e567a3485718bc533f5518f7d1305190b69ad1d84a","cgu","CUC-MUDD-2-NE",2016,8,2,14,46,1,"8",2,2016,14,"56"
"1725","2e9f85bcb00c28539c520b0f4ebc885ff35922618d8d6830b8c200b50eb3c534","cgu","CUC-MUDD-2-NE",2016,8,2,15,27,1,"8",2,2016,16,"18"
"1727","2e9f85bcb00c28539c520b0f4ebc885ff35922618d8d6830b8c200b50eb3c534","cgu","CUC-MUDD-2-NE",2016,8,2,15,27,1,"8",2,2016,16,"18"
"1812","7a27abf7bfe6bf2a20aad32e03eee1c2ab49d54dbcaf405fde3906146a228f78","cmc","CUC-MUDD-2-NE",2016,8,2,15,27,1,"8",2,2016,15,"37"
"1809","9efc77538dc95f94f7a4a3d1994f0c08add74183ed48a9a59b09751f0bbc3f77","cuc","CUC-MUDD-2-NE",2016,8,2,15,57,1,"8",2,2016,15,"58"
"2015","2e7aaf7d41d8a1dfeb748b2651418ec743770cd87e7ba4324f3b6e178ce9f95a","pom","CUC-MUDD-2-NE",2016,8,2,16,4,1,"8",2,2016,17,"40"
"2042","157f4b7a7d26d7c1b4320a7c1d9557098749a19e7a8c5fd29f854d7d6cf15ab3","cgu","CUC-MUDD-2-NE",2016,8,2,17,9,1,"8",2,2016,17,"19"
"1971","2e7aaf7d41d8a1dfeb748b2651418ec743770cd87e7ba4324f3b6e178ce9f95a","pom","CUC-MUDD-2-NE",2016,8,2,17,50,1,"8",2,2016,17,"57"
"4144","9efc77538dc95f94f7a4a3d1994f0c08add74183ed48a9a59b09751f0bbc3f77","cuc","CUC-MUDD-2-NE",2016,8,3,7,27,2,"8",3,2016,8,"39"
"4040","2f25fa91271a3727cfd5b3cf5547dd3488c0e538756e98d2e2c0554fb129a601","cuc","CUC-MUDD-2-NE",2016,8,3,9,39,2,"8",3,2016,9,"49"
"3832","5f12b8c7991d7c0869cebb9cc357bce7215786712c6215818e58074cb89fa838","cuc","CUC-MUDD-2-NE",2016,8,3,10,0,2,"8",3,2016,10,"20"
"4257","b1776a31f47d7630be7c1c47ff9383187c58d0e9f5b1dfa26b34b5d52695fb95","cgu","CUC-MUDD-2-NE",2016,8,3,10,29,2,"8",3,2016,11,"21"
"3778","837e63a8f2352be418cea25a3eb8add691196f9d220b548475ab212cf6553066","cuc","CUC-MUDD-2-NE",2016,8,3,10,30,2,"8",3,2016,10,"40"
"3760","fd76e69bb7319d54f6b60742e7230ab860c9ede4ab4ee7c98997c4248da07b41","cgu","CUC-MUDD-2-NE",2016,8,3,10,40,2,"8",3,2016,10,"51"
