"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"4334","601abbdf6be1b11a6e412fc2ff2fa3c09b81a7d4c247b3fd87bbc414fb18c86a","cuc","CUC-MUDD-3-N-IRIS",2016,6,26,9,44,6,"8",4,2016,20,"52"
"14308","601abbdf6be1b11a6e412fc2ff2fa3c09b81a7d4c247b3fd87bbc414fb18c86a","cuc","CUC-MUDD-3-N-IRIS",2016,6,26,9,44,6,"8",12,2016,14,"23"
"14310","601abbdf6be1b11a6e412fc2ff2fa3c09b81a7d4c247b3fd87bbc414fb18c86a","cuc","CUC-MUDD-3-N-IRIS",2016,6,26,9,44,6,"8",12,2016,14,"23"
"14313","601abbdf6be1b11a6e412fc2ff2fa3c09b81a7d4c247b3fd87bbc414fb18c86a","cuc","CUC-MUDD-3-N-IRIS",2016,6,26,9,44,6,"8",12,2016,14,"23"
"14321","601abbdf6be1b11a6e412fc2ff2fa3c09b81a7d4c247b3fd87bbc414fb18c86a","cuc","CUC-MUDD-3-N-IRIS",2016,6,26,9,44,6,"8",12,2016,14,"23"
"14316","601abbdf6be1b11a6e412fc2ff2fa3c09b81a7d4c247b3fd87bbc414fb18c86a","cuc","CUC-MUDD-3-N-IRIS",2016,6,26,9,54,6,"8",12,2016,14,"23"
"14329","601abbdf6be1b11a6e412fc2ff2fa3c09b81a7d4c247b3fd87bbc414fb18c86a","cuc","CUC-MUDD-3-N-IRIS",2016,6,26,9,54,6,"8",12,2016,14,"23"
"5670","601abbdf6be1b11a6e412fc2ff2fa3c09b81a7d4c247b3fd87bbc414fb18c86a","cuc","CUC-MUDD-3-N-IRIS",2016,7,1,14,32,4,"8",4,2016,11,"10"
"14309","601abbdf6be1b11a6e412fc2ff2fa3c09b81a7d4c247b3fd87bbc414fb18c86a","cuc","CUC-MUDD-3-N-IRIS",2016,7,1,15,12,4,"8",12,2016,14,"23"
"14311","601abbdf6be1b11a6e412fc2ff2fa3c09b81a7d4c247b3fd87bbc414fb18c86a","cuc","CUC-MUDD-3-N-IRIS",2016,7,1,19,37,4,"8",12,2016,14,"23"
"14306","601abbdf6be1b11a6e412fc2ff2fa3c09b81a7d4c247b3fd87bbc414fb18c86a","cuc","CUC-MUDD-3-N-IRIS",2016,7,14,5,43,3,"8",12,2016,14,"23"
"14352","601abbdf6be1b11a6e412fc2ff2fa3c09b81a7d4c247b3fd87bbc414fb18c86a","cuc","CUC-MUDD-3-N-IRIS",2016,7,19,5,5,1,"8",12,2016,14,"23"
"6009","601abbdf6be1b11a6e412fc2ff2fa3c09b81a7d4c247b3fd87bbc414fb18c86a","cuc","CUC-MUDD-3-N-IRIS",2016,7,24,5,2,6,"8",5,2016,14,"53"
"14312","601abbdf6be1b11a6e412fc2ff2fa3c09b81a7d4c247b3fd87bbc414fb18c86a","cuc","CUC-MUDD-3-N-IRIS",2016,7,26,5,16,1,"8",12,2016,14,"23"
"19","601abbdf6be1b11a6e412fc2ff2fa3c09b81a7d4c247b3fd87bbc414fb18c86a","cuc","CUC-MUDD-3-N-IRIS",2016,7,31,1,57,6,"7",31,2016,2,"17"
"18","601abbdf6be1b11a6e412fc2ff2fa3c09b81a7d4c247b3fd87bbc414fb18c86a","cuc","CUC-MUDD-3-N-IRIS",2016,7,31,9,38,6,"7",31,2016,9,"48"
"17","601abbdf6be1b11a6e412fc2ff2fa3c09b81a7d4c247b3fd87bbc414fb18c86a","cuc","CUC-MUDD-3-N-IRIS",2016,7,31,11,38,6,"7",31,2016,11,"48"
"16","601abbdf6be1b11a6e412fc2ff2fa3c09b81a7d4c247b3fd87bbc414fb18c86a","cuc","CUC-MUDD-3-N-IRIS",2016,7,31,14,28,6,"7",31,2016,14,"38"
"1460","601abbdf6be1b11a6e412fc2ff2fa3c09b81a7d4c247b3fd87bbc414fb18c86a","cuc","CUC-MUDD-3-N-IRIS",2016,8,1,0,41,0,"8",1,2016,12,"51"
"1450","601abbdf6be1b11a6e412fc2ff2fa3c09b81a7d4c247b3fd87bbc414fb18c86a","cuc","CUC-MUDD-3-N-IRIS",2016,8,1,4,32,0,"8",1,2016,4,"42"
"1391","ae4f946e8f4f34902dde7ea6f212e48f2adcb00fedd444a344d6991dae5fb8b6","cuc","CUC-MUDD-3-N-IRIS",2016,8,1,8,23,0,"8",1,2016,8,"33"
"592","ae4f946e8f4f34902dde7ea6f212e48f2adcb00fedd444a344d6991dae5fb8b6","cuc","CUC-MUDD-3-N-IRIS",2016,8,1,8,33,0,"8",1,2016,17,"20"
"1381","601abbdf6be1b11a6e412fc2ff2fa3c09b81a7d4c247b3fd87bbc414fb18c86a","cuc","CUC-MUDD-3-N-IRIS",2016,8,1,8,33,0,"8",1,2016,8,"43"
"1351","045dd45e30c19c15533a2ee64596843de15c19bf0da0c04f9d82d18bc32fb51a","cuc","CUC-MUDD-3-N-IRIS",2016,8,1,8,53,0,"8",1,2016,9,"03"
"910","d9a6324798190a5c57f84ece6bc556862be52dc0534df30d9e64147fe22d1489","pom","CUC-MUDD-3-N-IRIS",2016,8,1,9,41,0,"8",1,2016,0,"04"
