"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"1176","9e75dba929c35c18ef1f73ffead26cd1e7e248a1b62b836c9875ba0dcef450c4","cgu","CUC-HON-1-N-CAFE",2016,8,1,10,43,0,"8",1,2016,13,"36"
"480","d74f7971bd0a40e6d35d8214d0ec8509db00578e7b137b98cc175c545824154e","pit","CUC-HON-1-N-CAFE",2016,8,1,10,53,0,"8",1,2016,0,"35"
"1242","f1503e550ee44a2cb8f0c4eed1ea6843808696150c849047144b8cb1a8fe3b73","cgu","CUC-HON-1-N-CAFE",2016,8,1,12,2,0,"8",1,2016,13,"15"
"209","d74f7971bd0a40e6d35d8214d0ec8509db00578e7b137b98cc175c545824154e","pit","CUC-HON-1-N-CAFE",2016,8,1,13,26,0,"8",1,2016,14,"57"
"381","f1503e550ee44a2cb8f0c4eed1ea6843808696150c849047144b8cb1a8fe3b73","cgu","CUC-HON-1-N-CAFE",2016,8,1,13,26,0,"8",1,2016,13,"46"
"353","f349c2a00c826a6c867c79b13c6f21760c889925771138cb0b0a19ec773698f5","cmc","CUC-HON-1-N-CAFE",2016,8,1,13,35,0,"8",1,2016,13,"56"
"368","2c20a052ce19eae69b0fb6da5bdf8b81316fdc8152dcc77835d5b1d532506831","cgu","CUC-HON-1-N-CAFE",2016,8,1,13,46,0,"8",1,2016,13,"56"
"199","f349c2a00c826a6c867c79b13c6f21760c889925771138cb0b0a19ec773698f5","cmc","CUC-HON-1-N-CAFE",2016,8,1,14,6,0,"8",1,2016,14,"57"
"197","fd76e69bb7319d54f6b60742e7230ab860c9ede4ab4ee7c98997c4248da07b41","cgu","CUC-HON-1-N-CAFE",2016,8,1,14,17,0,"8",1,2016,14,"57"
"755","ef3eca5ec077f175dd4331516936407213ec503a69de9fbc18ba501ea4b23d95","cgu","CUC-HON-1-N-CAFE",2016,8,1,14,17,0,"8",1,2016,15,"48"
"756","d74f7971bd0a40e6d35d8214d0ec8509db00578e7b137b98cc175c545824154e","pit","CUC-HON-1-N-CAFE",2016,8,1,15,28,0,"8",1,2016,15,"48"
"1088","1e277a73f8aa06faa61d64b40b985170da28d8235447eba7713a671e56d4fdd3","cgu","CUC-HON-1-N-CAFE",2016,8,1,16,11,0,"8",1,2016,16,"50"
"161","68a338965b7c15e0909e84311900dd95684afed598ba5487d88cf5176a99b528","cgu","CUC-HON-1-N-CAFE",2016,8,1,17,20,0,"8",1,2016,18,"01"
"581","5f7c747ebb19df21c8b7d421cb077bc2d6e5ee35f579f99e6c7a2ba49e6b1473","cgu","CUC-HON-1-N-CAFE",2016,8,1,17,20,0,"8",1,2016,17,"30"
"160","9e8536a43d6ca1ba4fbb30c030f0a7ef527d6ac107d6fc4f417e252ca967a695","cgu","CUC-HON-1-N-CAFE",2016,8,1,17,30,0,"8",1,2016,18,"01"
"2711","1e277a73f8aa06faa61d64b40b985170da28d8235447eba7713a671e56d4fdd3","cgu","CUC-HON-1-N-CAFE",2016,8,2,9,41,1,"8",2,2016,10,"01"
"2181","df851d1a20d5fe4f6832c1a4b73ad45dfc1e40b71827b1421222da557fadd7ce","pom","CUC-HON-1-N-CAFE",2016,8,2,10,1,1,"8",2,2016,13,"45"
"2195","b2aedf0907f84533b4d5c9d43d204d3f4f30885f16e72c4f85c7d4b700dda40f","cgu","CUC-HON-1-N-CAFE",2016,8,2,10,31,1,"8",2,2016,13,"35"
"2309","540668aeab863d371c954874426375bfb709cc6febe7983710bc386f41a27cf5","cgu","CUC-HON-1-N-CAFE",2016,8,2,11,53,1,"8",2,2016,0,"23"
"2389","7e484fac380226bed446329f8e4e1253054b62fffd6df92ea3b2aed038eed1e6","pom","CUC-HON-1-N-CAFE",2016,8,2,13,33,1,"8",2,2016,14,"46"
"2392","7e484fac380226bed446329f8e4e1253054b62fffd6df92ea3b2aed038eed1e6","pom","CUC-HON-1-N-CAFE",2016,8,2,13,35,1,"8",2,2016,14,"46"
"2390","7e484fac380226bed446329f8e4e1253054b62fffd6df92ea3b2aed038eed1e6","pom","CUC-HON-1-N-CAFE",2016,8,2,13,37,1,"8",2,2016,14,"46"
"2391","7e484fac380226bed446329f8e4e1253054b62fffd6df92ea3b2aed038eed1e6","pom","CUC-HON-1-N-CAFE",2016,8,2,13,37,1,"8",2,2016,14,"46"
"2123","540668aeab863d371c954874426375bfb709cc6febe7983710bc386f41a27cf5","cgu","CUC-HON-1-N-CAFE",2016,8,2,13,45,1,"8",2,2016,14,"05"
"2376","1e277a73f8aa06faa61d64b40b985170da28d8235447eba7713a671e56d4fdd3","cgu","CUC-HON-1-N-CAFE",2016,8,2,13,55,1,"8",2,2016,14,"56"
"2360","ef3eca5ec077f175dd4331516936407213ec503a69de9fbc18ba501ea4b23d95","cgu","CUC-HON-1-N-CAFE",2016,8,2,15,4,1,"8",2,2016,15,"07"
"1758","c9b892f382e3a5d99d66b4aafd96566928da877aee4b40a6dde263d94459abbb","cmc","CUC-HON-1-N-CAFE",2016,8,2,15,48,1,"8",2,2016,15,"58"
"1762","540668aeab863d371c954874426375bfb709cc6febe7983710bc386f41a27cf5","cgu","CUC-HON-1-N-CAFE",2016,8,2,15,48,1,"8",2,2016,15,"58"
"2074","540668aeab863d371c954874426375bfb709cc6febe7983710bc386f41a27cf5","cgu","CUC-HON-1-N-CAFE",2016,8,2,16,18,1,"8",2,2016,16,"59"
"2109","ef3eca5ec077f175dd4331516936407213ec503a69de9fbc18ba501ea4b23d95","cgu","CUC-HON-1-N-CAFE",2016,8,2,16,28,1,"8",2,2016,16,"49"
"2060","1d5993c188a29495939e1276285ac94886352013c19e5388b5a8a4c516a29f4f","scr","CUC-HON-1-N-CAFE",2016,8,2,16,59,1,"8",2,2016,17,"09"
