"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"1441","40df4bd8ddd74314f0a272d2ed789a6a2d05f29a5008f3705fb4661674bb7ef6","cuc","CUC-HON-1-S-CONNECTION",2016,8,1,6,27,0,"8",1,2016,6,"32"
"1437","40df4bd8ddd74314f0a272d2ed789a6a2d05f29a5008f3705fb4661674bb7ef6","cuc","CUC-HON-1-S-CONNECTION",2016,8,1,6,32,0,"8",1,2016,7,"02"
"1449","0ab358f3211fb7268c46b226dc6ad05e837cec862d89a5a57a0a08c51ec98ffc","cuc","CUC-HON-1-S-CONNECTION",2016,8,1,7,13,0,"8",1,2016,7,"22"
"1336","0ab358f3211fb7268c46b226dc6ad05e837cec862d89a5a57a0a08c51ec98ffc","cuc","CUC-HON-1-S-CONNECTION",2016,8,1,7,32,0,"8",1,2016,9,"13"
"1420","60376399803269cb76123933294464a540ec52ce4779509ed5468fa8c239412a","cuc","CUC-HON-1-S-CONNECTION",2016,8,1,7,47,0,"8",1,2016,7,"52"
"1396","837e63a8f2352be418cea25a3eb8add691196f9d220b548475ab212cf6553066","cuc","CUC-HON-1-S-CONNECTION",2016,8,1,8,12,0,"8",1,2016,8,"22"
"1370","95c48095816e63ce6c858e1147efa16efee52f69a6548b042232889239853433","hmc","CUC-HON-1-S-CONNECTION",2016,8,1,8,33,0,"8",1,2016,8,"53"
"1389","837e63a8f2352be418cea25a3eb8add691196f9d220b548475ab212cf6553066","cuc","CUC-HON-1-S-CONNECTION",2016,8,1,8,33,0,"8",1,2016,8,"33"
"1068","631d000a910294a282fda817e87ba612246750ec54c02b53c35dd0e68d3bbe5a","cuc","CUC-HON-1-S-CONNECTION",2016,8,1,8,59,0,"8",1,2016,10,"13"
"1337","5f7c747ebb19df21c8b7d421cb077bc2d6e5ee35f579f99e6c7a2ba49e6b1473","cgu","CUC-HON-1-S-CONNECTION",2016,8,1,9,4,0,"8",1,2016,9,"13"
"1070","60376399803269cb76123933294464a540ec52ce4779509ed5468fa8c239412a","cuc","CUC-HON-1-S-CONNECTION",2016,8,1,9,53,0,"8",1,2016,10,"13"
"418","f6027b857d5f88a83f63a8a24863bf230e55c3b2fa19b0acea55cd085a2be509","cuc","CUC-HON-1-S-CONNECTION",2016,8,1,9,55,0,"8",1,2016,0,"58"
"1046","631d000a910294a282fda817e87ba612246750ec54c02b53c35dd0e68d3bbe5a","cuc","CUC-HON-1-S-CONNECTION",2016,8,1,10,13,0,"8",1,2016,10,"23"
"873","631d000a910294a282fda817e87ba612246750ec54c02b53c35dd0e68d3bbe5a","cuc","CUC-HON-1-S-CONNECTION",2016,8,1,10,23,0,"8",1,2016,0,"14"
"1006","a20b63853245e736b5daf3082122641f72ad1f86f64d510d80944fcd4ea843f4","pom","CUC-HON-1-S-CONNECTION",2016,8,1,10,33,0,"8",1,2016,10,"43"
"1566","239378224e0a7e12ec0c04810050f96cbef7e8be6d6c9314ecc2ad82d7e4aefb","hmc","CUC-HON-1-S-CONNECTION",2016,8,1,10,38,0,"8",1,2016,11,"03"
"1501","1f708d88333c21c0a1c556bcec909cab9fe8e23a7156c4e11600a1ee276c2510","cmc","CUC-HON-1-S-CONNECTION",2016,8,1,10,43,0,"8",1,2016,11,"33"
"1463","dc6ba4e89090752acb270f4074171c656c7c0a33b78f0701eb76a267bff1bb11","cuc","CUC-HON-1-S-CONNECTION",2016,8,1,10,44,0,"8",1,2016,10,"53"
"954","cdecc91f957d6947bc2e60d1df64ef843b0424978c55dd24baba92aaff08b719","cgu","CUC-HON-1-S-CONNECTION",2016,8,1,10,53,0,"8",1,2016,11,"03"
"961","fe26fc27405e5975c97a2821e3f92a651ae96677e0b443eb1aac5711faa56604","cgu","CUC-HON-1-S-CONNECTION",2016,8,1,10,54,0,"8",1,2016,11,"01"
"957","b4f00a4492a19cd6783efe983b4d88cc136c4ade7c0d2fe7e431e0a807e9e366","cuc","CUC-HON-1-S-CONNECTION",2016,8,1,10,59,0,"8",1,2016,11,"03"
"1492","c2eb0975179e95a835c16e573f1f6882e994130f9dfdeabce6bbb632bd79c0ea","cgu","CUC-HON-1-S-CONNECTION",2016,8,1,11,24,0,"8",1,2016,11,"33"
"1469","c2eb0975179e95a835c16e573f1f6882e994130f9dfdeabce6bbb632bd79c0ea","cgu","CUC-HON-1-S-CONNECTION",2016,8,1,11,33,0,"8",1,2016,11,"43"
"1479","a20b63853245e736b5daf3082122641f72ad1f86f64d510d80944fcd4ea843f4","pom","CUC-HON-1-S-CONNECTION",2016,8,1,11,33,0,"8",1,2016,11,"33"
"906","2f464e89f75bc1c53b0fad765ed33160ee569c1684d3cd82dd01cb173a5a82c1","cgu","CUC-HON-1-S-CONNECTION",2016,8,1,11,54,0,"8",1,2016,0,"04"
"872","837e63a8f2352be418cea25a3eb8add691196f9d220b548475ab212cf6553066","cuc","CUC-HON-1-S-CONNECTION",2016,8,1,12,4,0,"8",1,2016,0,"14"
"874","6f85740aa675178bc7f77c11315c4345377bbc4bff0d4a6cd8e3d3f870f69f66","cgu","CUC-HON-1-S-CONNECTION",2016,8,1,12,4,0,"8",1,2016,0,"14"
"476","837e63a8f2352be418cea25a3eb8add691196f9d220b548475ab212cf6553066","cuc","CUC-HON-1-S-CONNECTION",2016,8,1,12,14,0,"8",1,2016,0,"35"
"477","631d000a910294a282fda817e87ba612246750ec54c02b53c35dd0e68d3bbe5a","cuc","CUC-HON-1-S-CONNECTION",2016,8,1,12,14,0,"8",1,2016,0,"35"
"484","cdecc91f957d6947bc2e60d1df64ef843b0424978c55dd24baba92aaff08b719","cgu","CUC-HON-1-S-CONNECTION",2016,8,1,12,24,0,"8",1,2016,0,"26"
"453","6f85740aa675178bc7f77c11315c4345377bbc4bff0d4a6cd8e3d3f870f69f66","cgu","CUC-HON-1-S-CONNECTION",2016,8,1,12,35,0,"8",1,2016,0,"45"
"205","631d000a910294a282fda817e87ba612246750ec54c02b53c35dd0e68d3bbe5a","cuc","CUC-HON-1-S-CONNECTION",2016,8,1,12,45,0,"8",1,2016,14,"57"
"1248","84695eb809d47bd6f80b3b8b645e6627a7994d99267f40dede12237046439bd4","cgu","CUC-HON-1-S-CONNECTION",2016,8,1,12,55,0,"8",1,2016,13,"15"
"1249","193b8bff00bdc347489961f3b3b0528ea37a30ceb8ae574bf4d9cc3b73a030b6","cuc","CUC-HON-1-S-CONNECTION",2016,8,1,12,55,0,"8",1,2016,13,"15"
"175","84695eb809d47bd6f80b3b8b645e6627a7994d99267f40dede12237046439bd4","cgu","CUC-HON-1-S-CONNECTION",2016,8,1,13,5,0,"8",1,2016,15,"08"
"386","4117d39b473547b8f432fec52bd6e2e60edf582643644978fb13c2f9ca8adfa6","scr","CUC-HON-1-S-CONNECTION",2016,8,1,13,5,0,"8",1,2016,13,"15"
"393","3f7cb7c829c944f1e22cb9b236b842c5d3e30b6aff77a7f0cf50414ef23de8e8","cgu","CUC-HON-1-S-CONNECTION",2016,8,1,13,5,0,"8",1,2016,13,"09"
"1189","1583e542dc61b9cc2088b365cfde79313e8a184be6ff5d08ac32a502386b183d","cuc","CUC-HON-1-S-CONNECTION",2016,8,1,13,26,0,"8",1,2016,13,"36"
"1167","118f29c4fb4312e61375e27783c9d468cccfeafe53a1afc809a48cb0a8992d9c","cgu","CUC-HON-1-S-CONNECTION",2016,8,1,13,36,0,"8",1,2016,13,"46"
"1160","837e63a8f2352be418cea25a3eb8add691196f9d220b548475ab212cf6553066","cuc","CUC-HON-1-S-CONNECTION",2016,8,1,13,40,0,"8",1,2016,13,"46"
"371","fd76e69bb7319d54f6b60742e7230ab860c9ede4ab4ee7c98997c4248da07b41","cgu","CUC-HON-1-S-CONNECTION",2016,8,1,13,46,0,"8",1,2016,13,"56"
"341","193b8bff00bdc347489961f3b3b0528ea37a30ceb8ae574bf4d9cc3b73a030b6","cuc","CUC-HON-1-S-CONNECTION",2016,8,1,13,56,0,"8",1,2016,14,"06"
"286","1bf971e90249b87b1a1f3d58c9d1e9321331ab14f8ec9d2fcdc68037429fd70c","cgu","CUC-HON-1-S-CONNECTION",2016,8,1,14,24,0,"8",1,2016,14,"27"
"266","1bf971e90249b87b1a1f3d58c9d1e9321331ab14f8ec9d2fcdc68037429fd70c","cgu","CUC-HON-1-S-CONNECTION",2016,8,1,14,27,0,"8",1,2016,14,"37"
"172","1636713093d4d9dcff5236f1065c1e50ff59d80a2412b40e7cc5419a9bed1894","scr","CUC-HON-1-S-CONNECTION",2016,8,1,14,47,0,"8",1,2016,15,"08"
"173","fd76e69bb7319d54f6b60742e7230ab860c9ede4ab4ee7c98997c4248da07b41","cgu","CUC-HON-1-S-CONNECTION",2016,8,1,14,47,0,"8",1,2016,15,"08"
"844","6bf5d3ebc9ba22b4e8ad3c39f5818c0d22c11f7ee4934ed908ae853207d855b3","cmc","CUC-HON-1-S-CONNECTION",2016,8,1,14,57,0,"8",1,2016,15,"17"
"729","631d000a910294a282fda817e87ba612246750ec54c02b53c35dd0e68d3bbe5a","cuc","CUC-HON-1-S-CONNECTION",2016,8,1,15,8,0,"8",1,2016,15,"59"
"812","05f60ffa3dbb0dcdd255e6ba3d7a43563778d2f2d20ea424f605af93caf87c89","cuc","CUC-HON-1-S-CONNECTION",2016,8,1,15,8,0,"8",1,2016,15,"28"
"843","5980093adacfa618f50ceac3f25d7225daf8a4413840b1848fb1c3087bc62eb0","cgu","CUC-HON-1-S-CONNECTION",2016,8,1,15,8,0,"8",1,2016,15,"18"
"836","bccbc1dc0736246b8fe8d712d54cfb54cfe2c206a95cec96b5b4699083f4e604","pit","CUC-HON-1-S-CONNECTION",2016,8,1,15,17,0,"8",1,2016,15,"18"
"778","e9aef271fae526e470664ff9e418775d14f9dd0e9203f2d882eeb2a6655efb8c","cgu","CUC-HON-1-S-CONNECTION",2016,8,1,15,18,0,"8",1,2016,15,"38"
