"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"1414","60376399803269cb76123933294464a540ec52ce4779509ed5468fa8c239412a","cuc","CUC-HON-1-W-CAFE",2016,8,1,7,52,0,"8",1,2016,8,"02"
"1394","837e63a8f2352be418cea25a3eb8add691196f9d220b548475ab212cf6553066","cuc","CUC-HON-1-W-CAFE",2016,8,1,8,22,0,"8",1,2016,8,"29"
"560","13a51b020c673dced2e81ee16fde550c33e5f41f35a290d95ae4fda7ec85a778","cgu","CUC-HON-1-W-CAFE",2016,8,1,9,38,0,"8",1,2016,17,"30"
"395","1d5993c188a29495939e1276285ac94886352013c19e5388b5a8a4c516a29f4f","scr","CUC-HON-1-W-CAFE",2016,8,1,9,43,0,"8",1,2016,13,"05"
"1256","c2f08b18202f69bebd95c628fe22f1df7c9fce3cc4fc23230335a9a2b0056e37","scr","CUC-HON-1-W-CAFE",2016,8,1,9,43,0,"8",1,2016,10,"03"
"1276","3f7cb7c829c944f1e22cb9b236b842c5d3e30b6aff77a7f0cf50414ef23de8e8","cgu","CUC-HON-1-W-CAFE",2016,8,1,9,43,0,"8",1,2016,9,"53"
"1294","ef127ced6610f83171ba0143b32a760625f4fac2badf2cb859fb08ab3d17f75b","cgu","CUC-HON-1-W-CAFE",2016,8,1,9,46,0,"8",1,2016,9,"51"
"1261","3f7cb7c829c944f1e22cb9b236b842c5d3e30b6aff77a7f0cf50414ef23de8e8","cgu","CUC-HON-1-W-CAFE",2016,8,1,9,53,0,"8",1,2016,10,"03"
"1057","13a51b020c673dced2e81ee16fde550c33e5f41f35a290d95ae4fda7ec85a778","cgu","CUC-HON-1-W-CAFE",2016,8,1,10,12,0,"8",1,2016,10,"17"
"1050","13a51b020c673dced2e81ee16fde550c33e5f41f35a290d95ae4fda7ec85a778","cgu","CUC-HON-1-W-CAFE",2016,8,1,10,13,0,"8",1,2016,10,"23"
"1527","13a51b020c673dced2e81ee16fde550c33e5f41f35a290d95ae4fda7ec85a778","cgu","CUC-HON-1-W-CAFE",2016,8,1,10,33,0,"8",1,2016,11,"13"
"1489","c2f08b18202f69bebd95c628fe22f1df7c9fce3cc4fc23230335a9a2b0056e37","scr","CUC-HON-1-W-CAFE",2016,8,1,11,3,0,"8",1,2016,11,"33"
"1507","2f464e89f75bc1c53b0fad765ed33160ee569c1684d3cd82dd01cb173a5a82c1","cgu","CUC-HON-1-W-CAFE",2016,8,1,11,19,0,"8",1,2016,11,"23"
"446","df851d1a20d5fe4f6832c1a4b73ad45dfc1e40b71827b1421222da557fadd7ce","pom","CUC-HON-1-W-CAFE",2016,8,1,11,23,0,"8",1,2016,0,"45"
"885","4c7b6755fb1e83e7170435126b2a1fe29a88218e2f94943b1059102f9a6fa1d4","cgu","CUC-HON-1-W-CAFE",2016,8,1,11,23,0,"8",1,2016,0,"14"
"1080","13a51b020c673dced2e81ee16fde550c33e5f41f35a290d95ae4fda7ec85a778","cgu","CUC-HON-1-W-CAFE",2016,8,1,11,23,0,"8",1,2016,16,"50"
"1178","0e0b36e1c68f43468ae07753004ba98816817138e204c5761e46f6cfafe8a791","cgu","CUC-HON-1-W-CAFE",2016,8,1,11,23,0,"8",1,2016,13,"36"
"790","4c7b6755fb1e83e7170435126b2a1fe29a88218e2f94943b1059102f9a6fa1d4","cgu","CUC-HON-1-W-CAFE",2016,8,1,11,25,0,"8",1,2016,15,"38"
"930","2f464e89f75bc1c53b0fad765ed33160ee569c1684d3cd82dd01cb173a5a82c1","cgu","CUC-HON-1-W-CAFE",2016,8,1,11,33,0,"8",1,2016,11,"54"
"892","e9aef271fae526e470664ff9e418775d14f9dd0e9203f2d882eeb2a6655efb8c","cgu","CUC-HON-1-W-CAFE",2016,8,1,11,54,0,"8",1,2016,0,"04"
"1244","2f464e89f75bc1c53b0fad765ed33160ee569c1684d3cd82dd01cb173a5a82c1","cgu","CUC-HON-1-W-CAFE",2016,8,1,12,15,0,"8",1,2016,13,"15"
"308","4c7b6755fb1e83e7170435126b2a1fe29a88218e2f94943b1059102f9a6fa1d4","cgu","CUC-HON-1-W-CAFE",2016,8,1,12,24,0,"8",1,2016,14,"17"
"397","c2f08b18202f69bebd95c628fe22f1df7c9fce3cc4fc23230335a9a2b0056e37","scr","CUC-HON-1-W-CAFE",2016,8,1,12,24,0,"8",1,2016,13,"05"
"1197","f349c2a00c826a6c867c79b13c6f21760c889925771138cb0b0a19ec773698f5","cmc","CUC-HON-1-W-CAFE",2016,8,1,13,26,0,"8",1,2016,13,"35"
"290","1d5993c188a29495939e1276285ac94886352013c19e5388b5a8a4c516a29f4f","scr","CUC-HON-1-W-CAFE",2016,8,1,13,29,0,"8",1,2016,14,"27"
"1177","39abf616867417eb12c6a38cfb1f27521bfa13dd381c1b8b945c4be05e62a809","cgu","CUC-HON-1-W-CAFE",2016,8,1,13,33,0,"8",1,2016,13,"36"
"246","c57b98a60a0a530da5211a3a89ebce85af1e76213023d72f10a5e985978fecd6","cgu","CUC-HON-1-W-CAFE",2016,8,1,13,36,0,"8",1,2016,14,"46"
"805","39abf616867417eb12c6a38cfb1f27521bfa13dd381c1b8b945c4be05e62a809","cgu","CUC-HON-1-W-CAFE",2016,8,1,13,36,0,"8",1,2016,15,"28"
"307","2f464e89f75bc1c53b0fad765ed33160ee569c1684d3cd82dd01cb173a5a82c1","cgu","CUC-HON-1-W-CAFE",2016,8,1,13,56,0,"8",1,2016,14,"17"
"311","ef3eca5ec077f175dd4331516936407213ec503a69de9fbc18ba501ea4b23d95","cgu","CUC-HON-1-W-CAFE",2016,8,1,14,6,0,"8",1,2016,14,"17"
"724","e20bd6e139a5e5f407d9f7377ea791ce6a6e96a429426586a62f643fe1983284","cgu","CUC-HON-1-W-CAFE",2016,8,1,14,10,0,"8",1,2016,15,"59"
"773","2f464e89f75bc1c53b0fad765ed33160ee569c1684d3cd82dd01cb173a5a82c1","cgu","CUC-HON-1-W-CAFE",2016,8,1,14,27,0,"8",1,2016,15,"38"
"818","c57b98a60a0a530da5211a3a89ebce85af1e76213023d72f10a5e985978fecd6","cgu","CUC-HON-1-W-CAFE",2016,8,1,14,57,0,"8",1,2016,15,"27"
"528","032b276fa545b8b8c7160c92317fed2f151975e8b86151c65345f9be7ca94fa4","cgu","CUC-HON-1-W-CAFE",2016,8,1,15,18,0,"8",1,2016,17,"51"
"788","4c7b6755fb1e83e7170435126b2a1fe29a88218e2f94943b1059102f9a6fa1d4","cgu","CUC-HON-1-W-CAFE",2016,8,1,15,28,0,"8",1,2016,15,"38"
"741","ef3eca5ec077f175dd4331516936407213ec503a69de9fbc18ba501ea4b23d95","cgu","CUC-HON-1-W-CAFE",2016,8,1,15,48,0,"8",1,2016,15,"59"
"630","f1503e550ee44a2cb8f0c4eed1ea6843808696150c849047144b8cb1a8fe3b73","cgu","CUC-HON-1-W-CAFE",2016,8,1,17,0,0,"8",1,2016,17,"10"
"565","13a51b020c673dced2e81ee16fde550c33e5f41f35a290d95ae4fda7ec85a778","cgu","CUC-HON-1-W-CAFE",2016,8,1,17,10,0,"8",1,2016,17,"30"
"595","9725da86234d288a96d3f996af36fcb8e4f1a7a9b11f0328889f7a4a4a1a1ed5","cgu","CUC-HON-1-W-CAFE",2016,8,1,17,16,0,"8",1,2016,17,"20"
"2775","1d5993c188a29495939e1276285ac94886352013c19e5388b5a8a4c516a29f4f","scr","CUC-HON-1-W-CAFE",2016,8,2,9,0,1,"8",2,2016,9,"21"
"2795","c2f08b18202f69bebd95c628fe22f1df7c9fce3cc4fc23230335a9a2b0056e37","scr","CUC-HON-1-W-CAFE",2016,8,2,9,5,1,"8",2,2016,9,"11"
"2712","b551b619c854df164a600704f0bf33c05072af6f8bc1ad0fb87126cb993f6b18","cuc","CUC-HON-1-W-CAFE",2016,8,2,9,41,1,"8",2,2016,10,"01"
"2116","1d5993c188a29495939e1276285ac94886352013c19e5388b5a8a4c516a29f4f","scr","CUC-HON-1-W-CAFE",2016,8,2,9,51,1,"8",2,2016,14,"05"
"2170","df851d1a20d5fe4f6832c1a4b73ad45dfc1e40b71827b1421222da557fadd7ce","pom","CUC-HON-1-W-CAFE",2016,8,2,9,51,1,"8",2,2016,13,"45"
