"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"1257","b551b619c854df164a600704f0bf33c05072af6f8bc1ad0fb87126cb993f6b18","cuc","CUC-HON-2-N-WELCOME_DESK",2016,8,1,9,54,0,"8",1,2016,10,"03"
"1560","5f12b8c7991d7c0869cebb9cc357bce7215786712c6215818e58074cb89fa838","cuc","CUC-HON-2-N-WELCOME_DESK",2016,8,1,10,53,0,"8",1,2016,11,"03"
"1215","0e0b36e1c68f43468ae07753004ba98816817138e204c5761e46f6cfafe8a791","cgu","CUC-HON-2-N-WELCOME_DESK",2016,8,1,12,4,0,"8",1,2016,13,"26"
"1217","f349c2a00c826a6c867c79b13c6f21760c889925771138cb0b0a19ec773698f5","cmc","CUC-HON-2-N-WELCOME_DESK",2016,8,1,13,18,0,"8",1,2016,13,"26"
"292","1d5993c188a29495939e1276285ac94886352013c19e5388b5a8a4c516a29f4f","scr","CUC-HON-2-N-WELCOME_DESK",2016,8,1,13,26,0,"8",1,2016,14,"27"
"293","5f12b8c7991d7c0869cebb9cc357bce7215786712c6215818e58074cb89fa838","cuc","CUC-HON-2-N-WELCOME_DESK",2016,8,1,14,17,0,"8",1,2016,14,"27"
"171","5f12b8c7991d7c0869cebb9cc357bce7215786712c6215818e58074cb89fa838","cuc","CUC-HON-2-N-WELCOME_DESK",2016,8,1,14,47,0,"8",1,2016,15,"08"
"514","9725da86234d288a96d3f996af36fcb8e4f1a7a9b11f0328889f7a4a4a1a1ed5","cgu","CUC-HON-2-N-WELCOME_DESK",2016,8,1,17,20,0,"8",1,2016,17,"51"
"2830","ef585d98df7c3eb4605e6e9df6941cfba64afc37fb0b81d4cc0aa6e856078789","hmc","CUC-HON-2-N-WELCOME_DESK",2016,8,2,8,45,1,"8",2,2016,8,"50"
"2809","1d5993c188a29495939e1276285ac94886352013c19e5388b5a8a4c516a29f4f","scr","CUC-HON-2-N-WELCOME_DESK",2016,8,2,8,56,1,"8",2,2016,9,"00"
"2909","1d5993c188a29495939e1276285ac94886352013c19e5388b5a8a4c516a29f4f","scr","CUC-HON-2-N-WELCOME_DESK",2016,8,2,10,41,1,"8",2,2016,10,"52"
"1862","27c8fa9509c9276e33693eb4c5ffd50ac09fc0a518902843e13f5e8503ce7e39","cgu","CUC-HON-2-N-WELCOME_DESK",2016,8,2,15,8,1,"8",2,2016,15,"17"
"1832","4648930cd2984ba0ddc58945363d785e26df6b8c83e61137587edaa9a116013c","cgu","CUC-HON-2-N-WELCOME_DESK",2016,8,2,15,17,1,"8",2,2016,15,"27"
"1987","9725da86234d288a96d3f996af36fcb8e4f1a7a9b11f0328889f7a4a4a1a1ed5","cgu","CUC-HON-2-N-WELCOME_DESK",2016,8,2,17,9,1,"8",2,2016,17,"50"
"1970","e8975079454b25b4bf64ca95c77ddcf560fd9d4f607b5cb9ef113cacebea43f0","cgu","CUC-HON-2-N-WELCOME_DESK",2016,8,2,17,19,1,"8",2,2016,18,"00"
"4046","5f12b8c7991d7c0869cebb9cc357bce7215786712c6215818e58074cb89fa838","cuc","CUC-HON-2-N-WELCOME_DESK",2016,8,3,9,19,2,"8",3,2016,9,"39"
