"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"1408","05f60ffa3dbb0dcdd255e6ba3d7a43563778d2f2d20ea424f605af93caf87c89","cuc","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,7,55,0,"8",1,2016,8,"12"
"1340","c9d8f2d3a03b778f7dcd9ceb9ced03b8a1571842a5c5bca78e8e2013a42dc70e","cuc","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,7,59,0,"8",1,2016,9,"13"
"1563","05f60ffa3dbb0dcdd255e6ba3d7a43563778d2f2d20ea424f605af93caf87c89","cuc","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,8,2,0,"8",1,2016,11,"03"
"1512","05f60ffa3dbb0dcdd255e6ba3d7a43563778d2f2d20ea424f605af93caf87c89","cuc","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,8,12,0,"8",1,2016,11,"23"
"1365","b050ba5227952b6699654236d5ffe404054d33c05104b2b87318d5f890fc4f6f","cuc","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,8,33,0,"8",1,2016,8,"53"
"1339","60376399803269cb76123933294464a540ec52ce4779509ed5468fa8c239412a","cuc","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,9,3,0,"8",1,2016,9,"13"
"1283","1f4157ebfe5da792736b4a6f89e5ac4948696aa5bc256083856c6aa866b85478","cgu","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,9,43,0,"8",1,2016,9,"53"
"1262","72536c818334c271abc0c6dbd3e8d8bfb5ba4109daccd70046ba856f8e939859","cgu","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,9,53,0,"8",1,2016,10,"03"
"1024","4b22bc72c54b53b86e93f78b6530823b657d9cecb53294f439d386951ca1e4d6","pit","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,9,54,0,"8",1,2016,10,"33"
"1000","6bf5d3ebc9ba22b4e8ad3c39f5818c0d22c11f7ee4934ed908ae853207d855b3","cmc","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,10,33,0,"8",1,2016,10,"43"
"999","0e0b36e1c68f43468ae07753004ba98816817138e204c5761e46f6cfafe8a791","cgu","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,10,36,0,"8",1,2016,10,"43"
"978","6bf5d3ebc9ba22b4e8ad3c39f5818c0d22c11f7ee4934ed908ae853207d855b3","cmc","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,10,43,0,"8",1,2016,10,"53"
"979","d74f7971bd0a40e6d35d8214d0ec8509db00578e7b137b98cc175c545824154e","pit","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,10,43,0,"8",1,2016,10,"53"
"1529","fb7bcc90ccb186d97cf309d9bd3bbe9fbfc0e9ece4e217ff49c0a2fad689d754","cuc","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,11,3,0,"8",1,2016,11,"13"
"1531","6bf5d3ebc9ba22b4e8ad3c39f5818c0d22c11f7ee4934ed908ae853207d855b3","cmc","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,11,3,0,"8",1,2016,11,"13"
"1534","fb7bcc90ccb186d97cf309d9bd3bbe9fbfc0e9ece4e217ff49c0a2fad689d754","cuc","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,11,3,0,"8",1,2016,11,"13"
"1513","13a51b020c673dced2e81ee16fde550c33e5f41f35a290d95ae4fda7ec85a778","cgu","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,11,13,0,"8",1,2016,11,"23"
"903","05f60ffa3dbb0dcdd255e6ba3d7a43563778d2f2d20ea424f605af93caf87c89","cuc","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,11,23,0,"8",1,2016,0,"04"
"1470","6bf5d3ebc9ba22b4e8ad3c39f5818c0d22c11f7ee4934ed908ae853207d855b3","cmc","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,11,33,0,"8",1,2016,11,"43"
"905","6bf5d3ebc9ba22b4e8ad3c39f5818c0d22c11f7ee4934ed908ae853207d855b3","cmc","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,11,54,0,"8",1,2016,0,"04"
"907","1fbd0eaec41e8af7bb105b1cdee780c0af3214febfa457244c65ccadfa1f8c9e","cgu","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,11,55,0,"8",1,2016,0,"04"
"385","05f60ffa3dbb0dcdd255e6ba3d7a43563778d2f2d20ea424f605af93caf87c89","cuc","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,12,4,0,"8",1,2016,13,"15"
"411","05f60ffa3dbb0dcdd255e6ba3d7a43563778d2f2d20ea424f605af93caf87c89","cuc","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,12,24,0,"8",1,2016,13,"05"
"481","3f7cb7c829c944f1e22cb9b236b842c5d3e30b6aff77a7f0cf50414ef23de8e8","cgu","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,12,24,0,"8",1,2016,0,"30"
"415","2f25fa91271a3727cfd5b3cf5547dd3488c0e538756e98d2e2c0554fb129a601","cuc","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,12,55,0,"8",1,2016,0,"59"
"416","a7d208a631c0f547fc808b3fc25e1028678b3463e9eb84a9d8110910819c65a7","cuc","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,12,55,0,"8",1,2016,0,"59"
"177","05f60ffa3dbb0dcdd255e6ba3d7a43563778d2f2d20ea424f605af93caf87c89","cuc","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,13,5,0,"8",1,2016,15,"08"
"364","0ab358f3211fb7268c46b226dc6ad05e837cec862d89a5a57a0a08c51ec98ffc","cuc","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,13,5,0,"8",1,2016,13,"56"
"365","dc6ba4e89090752acb270f4074171c656c7c0a33b78f0701eb76a267bff1bb11","cuc","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,13,5,0,"8",1,2016,13,"56"
"367","ae4f946e8f4f34902dde7ea6f212e48f2adcb00fedd444a344d6991dae5fb8b6","cuc","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,13,5,0,"8",1,2016,13,"56"
"370","d3765dd9c9d152b0bc10712af3a22c3ce918f506f544ce8bd49fc746ccd765f9","cuc","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,13,5,0,"8",1,2016,13,"56"
"372","b4f00a4492a19cd6783efe983b4d88cc136c4ade7c0d2fe7e431e0a807e9e366","cuc","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,13,5,0,"8",1,2016,13,"56"
"369","a7d208a631c0f547fc808b3fc25e1028678b3463e9eb84a9d8110910819c65a7","cuc","CUC-HON-2-S-ADMIN_CONF_ROOM",2016,8,1,13,15,0,"8",1,2016,13,"56"
