"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"1130","78973071ff3c7bb4f05896970ea084926088691805808df6e18c6ad78dd8671c","cuc","CUC-HON-2-S-HALL_BEHIND_ADMIN",2016,7,27,16,40,2,"8",1,2016,16,"29"
"1416","60376399803269cb76123933294464a540ec52ce4779509ed5468fa8c239412a","cuc","CUC-HON-2-S-HALL_BEHIND_ADMIN",2016,8,1,8,2,0,"8",1,2016,8,"02"
"745","b551b619c854df164a600704f0bf33c05072af6f8bc1ad0fb87126cb993f6b18","cuc","CUC-HON-2-S-HALL_BEHIND_ADMIN",2016,8,1,15,38,0,"8",1,2016,15,"48"
"697","60376399803269cb76123933294464a540ec52ce4779509ed5468fa8c239412a","cuc","CUC-HON-2-S-HALL_BEHIND_ADMIN",2016,8,1,15,59,0,"8",1,2016,16,"09"
"654","dc6ba4e89090752acb270f4074171c656c7c0a33b78f0701eb76a267bff1bb11","cuc","CUC-HON-2-S-HALL_BEHIND_ADMIN",2016,8,1,16,29,0,"8",1,2016,17,"00"
"148","60376399803269cb76123933294464a540ec52ce4779509ed5468fa8c239412a","cuc","CUC-HON-2-S-HALL_BEHIND_ADMIN",2016,8,1,17,10,0,"8",1,2016,18,"01"
"584","dc6ba4e89090752acb270f4074171c656c7c0a33b78f0701eb76a267bff1bb11","cuc","CUC-HON-2-S-HALL_BEHIND_ADMIN",2016,8,1,17,20,0,"8",1,2016,17,"30"
"2837","dc6ba4e89090752acb270f4074171c656c7c0a33b78f0701eb76a267bff1bb11","cuc","CUC-HON-2-S-HALL_BEHIND_ADMIN",2016,8,2,7,40,1,"8",2,2016,8,"10"
"2770","dc6ba4e89090752acb270f4074171c656c7c0a33b78f0701eb76a267bff1bb11","cuc","CUC-HON-2-S-HALL_BEHIND_ADMIN",2016,8,2,9,11,1,"8",2,2016,9,"21"
"2731","dc6ba4e89090752acb270f4074171c656c7c0a33b78f0701eb76a267bff1bb11","cuc","CUC-HON-2-S-HALL_BEHIND_ADMIN",2016,8,2,9,21,1,"8",2,2016,9,"51"
"2702","a20b63853245e736b5daf3082122641f72ad1f86f64d510d80944fcd4ea843f4","pom","CUC-HON-2-S-HALL_BEHIND_ADMIN",2016,8,2,9,51,1,"8",2,2016,10,"01"
"2576","3f7cb7c829c944f1e22cb9b236b842c5d3e30b6aff77a7f0cf50414ef23de8e8","cgu","CUC-HON-2-S-HALL_BEHIND_ADMIN",2016,8,2,10,21,1,"8",2,2016,10,"31"
"2286","e9aef271fae526e470664ff9e418775d14f9dd0e9203f2d882eeb2a6655efb8c","cgu","CUC-HON-2-S-HALL_BEHIND_ADMIN",2016,8,2,10,35,1,"8",2,2016,0,"34"
