"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"1375","f6027b857d5f88a83f63a8a24863bf230e55c3b2fa19b0acea55cd085a2be509","cuc","CUC-HON-2-S-STUDY_AREA",2016,8,1,8,44,0,"8",1,2016,8,"46"
"425","f6027b857d5f88a83f63a8a24863bf230e55c3b2fa19b0acea55cd085a2be509","cuc","CUC-HON-2-S-STUDY_AREA",2016,8,1,8,48,0,"8",1,2016,0,"55"
"1282","ef127ced6610f83171ba0143b32a760625f4fac2badf2cb859fb08ab3d17f75b","cgu","CUC-HON-2-S-STUDY_AREA",2016,8,1,9,47,0,"8",1,2016,9,"53"
"1478","dcab119a5529fa809d43e924ec1c479bd6c874f0a9a67805a3133a7d174ce60a","scr","CUC-HON-2-S-STUDY_AREA",2016,8,1,11,34,0,"8",1,2016,11,"34"
"947","dcab119a5529fa809d43e924ec1c479bd6c874f0a9a67805a3133a7d174ce60a","scr","CUC-HON-2-S-STUDY_AREA",2016,8,1,11,35,0,"8",1,2016,11,"43"
"379","2f464e89f75bc1c53b0fad765ed33160ee569c1684d3cd82dd01cb173a5a82c1","cgu","CUC-HON-2-S-STUDY_AREA",2016,8,1,13,39,0,"8",1,2016,13,"46"
"328","5f12b8c7991d7c0869cebb9cc357bce7215786712c6215818e58074cb89fa838","cuc","CUC-HON-2-S-STUDY_AREA",2016,8,1,13,56,0,"8",1,2016,14,"06"
"336","0ab358f3211fb7268c46b226dc6ad05e837cec862d89a5a57a0a08c51ec98ffc","cuc","CUC-HON-2-S-STUDY_AREA",2016,8,1,13,56,0,"8",1,2016,14,"06"
"856","cc86cb807eb73f76669a23c4689b98585c55f7ff2f150143be0974e90ac2c6bd","cmc","CUC-HON-2-S-STUDY_AREA",2016,8,1,14,58,0,"8",1,2016,15,"08"
"830","80d26c2bc4a79df4d40d95b0d988a33f767d55bf3961e93ff8125320cd313fc2","scr","CUC-HON-2-S-STUDY_AREA",2016,8,1,15,14,0,"8",1,2016,15,"18"
"1131","b4f00a4492a19cd6783efe983b4d88cc136c4ade7c0d2fe7e431e0a807e9e366","cuc","CUC-HON-2-S-STUDY_AREA",2016,8,1,15,59,0,"8",1,2016,16,"29"
"561","2b7b8576a5397153f15fa6b2bfbedd4eb9a39839c2513453941f79cff97b1f07","cuc","CUC-HON-2-S-STUDY_AREA",2016,8,1,16,9,0,"8",1,2016,17,"30"
"1129","dc6ba4e89090752acb270f4074171c656c7c0a33b78f0701eb76a267bff1bb11","cuc","CUC-HON-2-S-STUDY_AREA",2016,8,1,16,19,0,"8",1,2016,16,"29"
"1113","1f4157ebfe5da792736b4a6f89e5ac4948696aa5bc256083856c6aa866b85478","cgu","CUC-HON-2-S-STUDY_AREA",2016,8,1,16,29,0,"8",1,2016,16,"40"
"2142","f6027b857d5f88a83f63a8a24863bf230e55c3b2fa19b0acea55cd085a2be509","cuc","CUC-HON-2-S-STUDY_AREA",2016,8,2,8,43,1,"8",2,2016,13,"55"
"2573","824df387dde3a0dcc10109d8a158e25cecef853cf4cbc683f1953398f1a3da2f","cgu","CUC-HON-2-S-STUDY_AREA",2016,8,2,10,24,1,"8",2,2016,10,"31"
"2385","c9d8f2d3a03b778f7dcd9ceb9ced03b8a1571842a5c5bca78e8e2013a42dc70e","cuc","CUC-HON-2-S-STUDY_AREA",2016,8,2,14,46,1,"8",2,2016,14,"48"
"1948","e8975079454b25b4bf64ca95c77ddcf560fd9d4f607b5cb9ef113cacebea43f0","cgu","CUC-HON-2-S-STUDY_AREA",2016,8,2,17,56,1,"8",2,2016,18,"00"
"4022","0ab358f3211fb7268c46b226dc6ad05e837cec862d89a5a57a0a08c51ec98ffc","cuc","CUC-HON-2-S-STUDY_AREA",2016,8,3,9,49,2,"8",3,2016,9,"55"
"3838","2347f1240bf196744d1559bae63e459504b6053ae57e2aef76e875136f3dca04","cuc","CUC-HON-2-S-STUDY_AREA",2016,8,3,10,10,2,"8",3,2016,10,"17"
"3809","dcab119a5529fa809d43e924ec1c479bd6c874f0a9a67805a3133a7d174ce60a","scr","CUC-HON-2-S-STUDY_AREA",2016,8,3,10,29,2,"8",3,2016,10,"29"
"3779","ea54086a2e27d86c3c7ee995d6c6f0fd6461491b7e083025fa58825069116f60","cmc","CUC-HON-2-S-STUDY_AREA",2016,8,3,10,30,2,"8",3,2016,10,"39"
"3002","f6027b857d5f88a83f63a8a24863bf230e55c3b2fa19b0acea55cd085a2be509","cuc","CUC-HON-2-S-STUDY_AREA",2016,8,3,11,23,2,"8",3,2016,17,"49"
"3990","824df387dde3a0dcc10109d8a158e25cecef853cf4cbc683f1953398f1a3da2f","cgu","CUC-HON-2-S-STUDY_AREA",2016,8,3,13,24,2,"8",3,2016,13,"34"
"3964","fb7bcc90ccb186d97cf309d9bd3bbe9fbfc0e9ece4e217ff49c0a2fad689d754","cuc","CUC-HON-2-S-STUDY_AREA",2016,8,3,13,35,2,"8",3,2016,13,"44"
