"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"2","c24ff7438bf0308c00d6963658878cca0ec6c11eb72ef042269640338ab559c6","cgu","CUC-HON-3-E-OUTSIDE_DC",2016,7,31,11,58,6,"7",31,2016,0,"00"
"1385","dd9ae7cfc24aa1c7f5355551cb5770971f5320b07ebffaa40536030f9f824902","cgu","CUC-HON-3-E-OUTSIDE_DC",2016,8,1,8,32,0,"8",1,2016,8,"43"
"1258","1583e542dc61b9cc2088b365cfde79313e8a184be6ff5d08ac32a502386b183d","cuc","CUC-HON-3-E-OUTSIDE_DC",2016,8,1,8,53,0,"8",1,2016,10,"03"
"1353","60376399803269cb76123933294464a540ec52ce4779509ed5468fa8c239412a","cuc","CUC-HON-3-E-OUTSIDE_DC",2016,8,1,8,53,0,"8",1,2016,9,"03"
"1331","34ffeccf19c4cbf0dc7956719eae020af6e2d657c952123ed03855ddc75d9394","scr","CUC-HON-3-E-OUTSIDE_DC",2016,8,1,9,10,0,"8",1,2016,9,"13"
"1313","1f4157ebfe5da792736b4a6f89e5ac4948696aa5bc256083856c6aa866b85478","cgu","CUC-HON-3-E-OUTSIDE_DC",2016,8,1,9,15,0,"8",1,2016,9,"33"
"1291","62820dfa0f6b17628427e0f172acee99ef3d43784b8a9109407d87176b6fe12a","cgu","CUC-HON-3-E-OUTSIDE_DC",2016,8,1,9,43,0,"8",1,2016,9,"53"
"559","34ffeccf19c4cbf0dc7956719eae020af6e2d657c952123ed03855ddc75d9394","scr","CUC-HON-3-E-OUTSIDE_DC",2016,8,1,9,53,0,"8",1,2016,17,"30"
"1246","1f4157ebfe5da792736b4a6f89e5ac4948696aa5bc256083856c6aa866b85478","cgu","CUC-HON-3-E-OUTSIDE_DC",2016,8,1,9,53,0,"8",1,2016,13,"15"
"549","2baff3562f4b6f23049cdb2e11ddb6887a95d2638c3f4e79b2adc94a1c223c87","scr","CUC-HON-3-E-OUTSIDE_DC",2016,8,1,10,3,0,"8",1,2016,17,"41"
