"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"1425","193b8bff00bdc347489961f3b3b0528ea37a30ceb8ae574bf4d9cc3b73a030b6","cuc","CUC-HON-3-NW-SITTING_AREA",2016,8,1,7,40,0,"8",1,2016,7,"42"
"1354","118f29c4fb4312e61375e27783c9d468cccfeafe53a1afc809a48cb0a8992d9c","cgu","CUC-HON-3-NW-SITTING_AREA",2016,8,1,8,53,0,"8",1,2016,9,"03"
"1329","62820dfa0f6b17628427e0f172acee99ef3d43784b8a9109407d87176b6fe12a","cgu","CUC-HON-3-NW-SITTING_AREA",2016,8,1,9,3,0,"8",1,2016,9,"13"
"1330","62820dfa0f6b17628427e0f172acee99ef3d43784b8a9109407d87176b6fe12a","cgu","CUC-HON-3-NW-SITTING_AREA",2016,8,1,9,3,0,"8",1,2016,9,"13"
"1322","2baff3562f4b6f23049cdb2e11ddb6887a95d2638c3f4e79b2adc94a1c223c87","scr","CUC-HON-3-NW-SITTING_AREA",2016,8,1,9,11,0,"8",1,2016,9,"23"
"1266","118f29c4fb4312e61375e27783c9d468cccfeafe53a1afc809a48cb0a8992d9c","cgu","CUC-HON-3-NW-SITTING_AREA",2016,8,1,9,13,0,"8",1,2016,10,"03"
"1280","34ffeccf19c4cbf0dc7956719eae020af6e2d657c952123ed03855ddc75d9394","scr","CUC-HON-3-NW-SITTING_AREA",2016,8,1,9,13,0,"8",1,2016,9,"53"
"1255","2baff3562f4b6f23049cdb2e11ddb6887a95d2638c3f4e79b2adc94a1c223c87","scr","CUC-HON-3-NW-SITTING_AREA",2016,8,1,9,43,0,"8",1,2016,10,"03"
"1516","dd9ae7cfc24aa1c7f5355551cb5770971f5320b07ebffaa40536030f9f824902","cgu","CUC-HON-3-NW-SITTING_AREA",2016,8,1,10,3,0,"8",1,2016,11,"23"
"1069","72536c818334c271abc0c6dbd3e8d8bfb5ba4109daccd70046ba856f8e939859","cgu","CUC-HON-3-NW-SITTING_AREA",2016,8,1,10,7,0,"8",1,2016,10,"13"
"1030","72536c818334c271abc0c6dbd3e8d8bfb5ba4109daccd70046ba856f8e939859","cgu","CUC-HON-3-NW-SITTING_AREA",2016,8,1,10,13,0,"8",1,2016,10,"33"
"1036","118f29c4fb4312e61375e27783c9d468cccfeafe53a1afc809a48cb0a8992d9c","cgu","CUC-HON-3-NW-SITTING_AREA",2016,8,1,10,23,0,"8",1,2016,10,"33"
"1518","118f29c4fb4312e61375e27783c9d468cccfeafe53a1afc809a48cb0a8992d9c","cgu","CUC-HON-3-NW-SITTING_AREA",2016,8,1,10,53,0,"8",1,2016,11,"23"
"1528","e4decc8dca0e326625178afc08e1006882104a056d4dda68aa3ca6a066ac7110","cuc","CUC-HON-3-NW-SITTING_AREA",2016,8,1,11,7,0,"8",1,2016,11,"13"
"439","c2eb0975179e95a835c16e573f1f6882e994130f9dfdeabce6bbb632bd79c0ea","cgu","CUC-HON-3-NW-SITTING_AREA",2016,8,1,11,43,0,"8",1,2016,0,"55"
"677","e1f6f8700591c5e9dcc33822deaffdf8428ad2eda7f698c4f8f1d333e30ccbcf","cgu","CUC-HON-3-NW-SITTING_AREA",2016,8,1,12,5,0,"8",1,2016,16,"19"
