"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"1225","62820dfa0f6b17628427e0f172acee99ef3d43784b8a9109407d87176b6fe12a","cgu","CUC-HON-3-W-ASIAN_STUDIES",2016,8,1,13,15,0,"8",1,2016,13,"26"
"793","84695eb809d47bd6f80b3b8b645e6627a7994d99267f40dede12237046439bd4","cgu","CUC-HON-3-W-ASIAN_STUDIES",2016,8,1,13,36,0,"8",1,2016,15,"28"
"2796","dc6ba4e89090752acb270f4074171c656c7c0a33b78f0701eb76a267bff1bb11","cuc","CUC-HON-3-W-ASIAN_STUDIES",2016,8,2,8,10,1,"8",2,2016,9,"11"
"2748","08276c65be72ec175f314efce5a275d587634ed2d00e9d7a32cbc8d151e74263","cuc","CUC-HON-3-W-ASIAN_STUDIES",2016,8,2,9,21,1,"8",2,2016,9,"41"
"2561","824df387dde3a0dcc10109d8a158e25cecef853cf4cbc683f1953398f1a3da2f","cgu","CUC-HON-3-W-ASIAN_STUDIES",2016,8,2,10,52,1,"8",2,2016,11,"02"
"2465","a20b63853245e736b5daf3082122641f72ad1f86f64d510d80944fcd4ea843f4","pom","CUC-HON-3-W-ASIAN_STUDIES",2016,8,2,11,32,1,"8",2,2016,11,"43"
"2621","fedefafb2f131f0f7082eeae007faad695e36bd87ab979ec8a70d07bfa9080cf","cgu","CUC-HON-3-W-ASIAN_STUDIES",2016,8,2,12,45,1,"8",2,2016,0,"54"
"2197","84695eb809d47bd6f80b3b8b645e6627a7994d99267f40dede12237046439bd4","cgu","CUC-HON-3-W-ASIAN_STUDIES",2016,8,2,12,54,1,"8",2,2016,13,"35"
"2252","62820dfa0f6b17628427e0f172acee99ef3d43784b8a9109407d87176b6fe12a","cgu","CUC-HON-3-W-ASIAN_STUDIES",2016,8,2,12,57,1,"8",2,2016,13,"04"
"2173","fedefafb2f131f0f7082eeae007faad695e36bd87ab979ec8a70d07bfa9080cf","cgu","CUC-HON-3-W-ASIAN_STUDIES",2016,8,2,13,4,1,"8",2,2016,13,"45"
"2238","62820dfa0f6b17628427e0f172acee99ef3d43784b8a9109407d87176b6fe12a","cgu","CUC-HON-3-W-ASIAN_STUDIES",2016,8,2,13,4,1,"8",2,2016,13,"14"
"2239","0ab358f3211fb7268c46b226dc6ad05e837cec862d89a5a57a0a08c51ec98ffc","cuc","CUC-HON-3-W-ASIAN_STUDIES",2016,8,2,13,4,1,"8",2,2016,13,"14"
"2368","b050ba5227952b6699654236d5ffe404054d33c05104b2b87318d5f890fc4f6f","cuc","CUC-HON-3-W-ASIAN_STUDIES",2016,8,2,13,4,1,"8",2,2016,14,"56"
"2172","fedefafb2f131f0f7082eeae007faad695e36bd87ab979ec8a70d07bfa9080cf","cgu","CUC-HON-3-W-ASIAN_STUDIES",2016,8,2,13,35,1,"8",2,2016,13,"45"
"2140","fedefafb2f131f0f7082eeae007faad695e36bd87ab979ec8a70d07bfa9080cf","cgu","CUC-HON-3-W-ASIAN_STUDIES",2016,8,2,13,45,1,"8",2,2016,13,"55"
"2141","84695eb809d47bd6f80b3b8b645e6627a7994d99267f40dede12237046439bd4","cgu","CUC-HON-3-W-ASIAN_STUDIES",2016,8,2,13,45,1,"8",2,2016,13,"55"
"1913","fedefafb2f131f0f7082eeae007faad695e36bd87ab979ec8a70d07bfa9080cf","cgu","CUC-HON-3-W-ASIAN_STUDIES",2016,8,2,13,55,1,"8",2,2016,14,"16"
"1821","84695eb809d47bd6f80b3b8b645e6627a7994d99267f40dede12237046439bd4","cgu","CUC-HON-3-W-ASIAN_STUDIES",2016,8,2,14,16,1,"8",2,2016,15,"27"
"1893","fedefafb2f131f0f7082eeae007faad695e36bd87ab979ec8a70d07bfa9080cf","cgu","CUC-HON-3-W-ASIAN_STUDIES",2016,8,2,14,16,1,"8",2,2016,14,"26"
"1878","fedefafb2f131f0f7082eeae007faad695e36bd87ab979ec8a70d07bfa9080cf","cgu","CUC-HON-3-W-ASIAN_STUDIES",2016,8,2,14,26,1,"8",2,2016,14,"36"
"2367","fedefafb2f131f0f7082eeae007faad695e36bd87ab979ec8a70d07bfa9080cf","cgu","CUC-HON-3-W-ASIAN_STUDIES",2016,8,2,14,36,1,"8",2,2016,14,"56"
"2340","fedefafb2f131f0f7082eeae007faad695e36bd87ab979ec8a70d07bfa9080cf","cgu","CUC-HON-3-W-ASIAN_STUDIES",2016,8,2,14,56,1,"8",2,2016,15,"07"
