"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"14743","fb7bcc90ccb186d97cf309d9bd3bbe9fbfc0e9ece4e217ff49c0a2fad689d754","cuc","CUC-HON-4-EAST",2016,7,9,13,23,5,"8",12,2016,14,"23"
"1377","118f29c4fb4312e61375e27783c9d468cccfeafe53a1afc809a48cb0a8992d9c","cgu","CUC-HON-4-EAST",2016,8,1,8,33,0,"8",1,2016,8,"43"
"400","2b3df191cc234c6d64ea01c40c4d51fc0cd2e7c869475b5b14416e19f28b0ecd","cgu","CUC-HON-4-EAST",2016,8,1,9,12,0,"8",1,2016,13,"05"
"1054","ef127ced6610f83171ba0143b32a760625f4fac2badf2cb859fb08ab3d17f75b","cgu","CUC-HON-4-EAST",2016,8,1,9,51,0,"8",1,2016,10,"20"
"1292","ef127ced6610f83171ba0143b32a760625f4fac2badf2cb859fb08ab3d17f75b","cgu","CUC-HON-4-EAST",2016,8,1,9,51,0,"8",1,2016,9,"51"
"1293","ef127ced6610f83171ba0143b32a760625f4fac2badf2cb859fb08ab3d17f75b","cgu","CUC-HON-4-EAST",2016,8,1,9,51,0,"8",1,2016,9,"51"
"1040","ef127ced6610f83171ba0143b32a760625f4fac2badf2cb859fb08ab3d17f75b","cgu","CUC-HON-4-EAST",2016,8,1,9,53,0,"8",1,2016,10,"23"
"671","4edeeac4443034eac9abc751a72b4a6d691f657f1fa1c8579792b4d6bbc448d2","cmc","CUC-HON-4-EAST",2016,8,1,10,27,0,"8",1,2016,16,"19"
"1504","4edeeac4443034eac9abc751a72b4a6d691f657f1fa1c8579792b4d6bbc448d2","cmc","CUC-HON-4-EAST",2016,8,1,10,28,0,"8",1,2016,11,"23"
"546","ef127ced6610f83171ba0143b32a760625f4fac2badf2cb859fb08ab3d17f75b","cgu","CUC-HON-4-EAST",2016,8,1,10,54,0,"8",1,2016,17,"41"
"555","ef127ced6610f83171ba0143b32a760625f4fac2badf2cb859fb08ab3d17f75b","cgu","CUC-HON-4-EAST",2016,8,1,10,54,0,"8",1,2016,17,"39"
"800","fb7bcc90ccb186d97cf309d9bd3bbe9fbfc0e9ece4e217ff49c0a2fad689d754","cuc","CUC-HON-4-EAST",2016,8,1,11,17,0,"8",1,2016,15,"28"
"403","e4decc8dca0e326625178afc08e1006882104a056d4dda68aa3ca6a066ac7110","cuc","CUC-HON-4-EAST",2016,8,1,11,23,0,"8",1,2016,13,"05"
"447","4edeeac4443034eac9abc751a72b4a6d691f657f1fa1c8579792b4d6bbc448d2","cmc","CUC-HON-4-EAST",2016,8,1,11,33,0,"8",1,2016,0,"45"
"383","69695ca31cab943103f0b21a820d4ed1cbc4a16689b124be2560cb68afcead7a","pit","CUC-HON-4-EAST",2016,8,1,12,24,0,"8",1,2016,13,"46"
"473","d9a6324798190a5c57f84ece6bc556862be52dc0534df30d9e64147fe22d1489","pom","CUC-HON-4-EAST",2016,8,1,12,32,0,"8",1,2016,0,"35"
"399","d9a6324798190a5c57f84ece6bc556862be52dc0534df30d9e64147fe22d1489","pom","CUC-HON-4-EAST",2016,8,1,12,35,0,"8",1,2016,13,"05"
"356","4edeeac4443034eac9abc751a72b4a6d691f657f1fa1c8579792b4d6bbc448d2","cmc","CUC-HON-4-EAST",2016,8,1,13,26,0,"8",1,2016,13,"56"
"622","fb7bcc90ccb186d97cf309d9bd3bbe9fbfc0e9ece4e217ff49c0a2fad689d754","cuc","CUC-HON-4-EAST",2016,8,1,13,52,0,"8",1,2016,17,"10"
"218","4edeeac4443034eac9abc751a72b4a6d691f657f1fa1c8579792b4d6bbc448d2","cmc","CUC-HON-4-EAST",2016,8,1,14,17,0,"8",1,2016,14,"47"
"725","ae4f946e8f4f34902dde7ea6f212e48f2adcb00fedd444a344d6991dae5fb8b6","cuc","CUC-HON-4-EAST",2016,8,1,15,38,0,"8",1,2016,15,"59"
"746","40df4bd8ddd74314f0a272d2ed789a6a2d05f29a5008f3705fb4661674bb7ef6","cuc","CUC-HON-4-EAST",2016,8,1,15,38,0,"8",1,2016,15,"48"
"672","e4decc8dca0e326625178afc08e1006882104a056d4dda68aa3ca6a066ac7110","cuc","CUC-HON-4-EAST",2016,8,1,15,48,0,"8",1,2016,16,"19"
"582","e4decc8dca0e326625178afc08e1006882104a056d4dda68aa3ca6a066ac7110","cuc","CUC-HON-4-EAST",2016,8,1,16,29,0,"8",1,2016,17,"30"
"583","4edeeac4443034eac9abc751a72b4a6d691f657f1fa1c8579792b4d6bbc448d2","cmc","CUC-HON-4-EAST",2016,8,1,16,40,0,"8",1,2016,17,"30"
"593","4edeeac4443034eac9abc751a72b4a6d691f657f1fa1c8579792b4d6bbc448d2","cmc","CUC-HON-4-EAST",2016,8,1,16,40,0,"8",1,2016,17,"20"
"547","ef127ced6610f83171ba0143b32a760625f4fac2badf2cb859fb08ab3d17f75b","cgu","CUC-HON-4-EAST",2016,8,1,17,26,0,"8",1,2016,17,"41"
"164","4edeeac4443034eac9abc751a72b4a6d691f657f1fa1c8579792b4d6bbc448d2","cmc","CUC-HON-4-EAST",2016,8,1,17,30,0,"8",1,2016,18,"01"
"530","4edeeac4443034eac9abc751a72b4a6d691f657f1fa1c8579792b4d6bbc448d2","cmc","CUC-HON-4-EAST",2016,8,1,17,41,0,"8",1,2016,17,"51"
"165","4edeeac4443034eac9abc751a72b4a6d691f657f1fa1c8579792b4d6bbc448d2","cmc","CUC-HON-4-EAST",2016,8,1,17,51,0,"8",1,2016,18,"01"
"2675","2f25fa91271a3727cfd5b3cf5547dd3488c0e538756e98d2e2c0554fb129a601","cuc","CUC-HON-4-EAST",2016,8,2,10,1,1,"8",2,2016,10,"11"
"2920","e4decc8dca0e326625178afc08e1006882104a056d4dda68aa3ca6a066ac7110","cuc","CUC-HON-4-EAST",2016,8,2,10,28,1,"8",2,2016,10,"52"
"2910","fb7bcc90ccb186d97cf309d9bd3bbe9fbfc0e9ece4e217ff49c0a2fad689d754","cuc","CUC-HON-4-EAST",2016,8,2,10,29,1,"8",2,2016,10,"52"
"2514","97565056a09671c43f656b3fabe36e4aa936edeab1321fcd475fd25160157692","cgu","CUC-HON-4-EAST",2016,8,2,10,36,1,"8",2,2016,11,"22"
"2570","ae4f946e8f4f34902dde7ea6f212e48f2adcb00fedd444a344d6991dae5fb8b6","cuc","CUC-HON-4-EAST",2016,8,2,10,41,1,"8",2,2016,11,"02"
"2911","ae4f946e8f4f34902dde7ea6f212e48f2adcb00fedd444a344d6991dae5fb8b6","cuc","CUC-HON-4-EAST",2016,8,2,10,41,1,"8",2,2016,10,"52"
"2384","e4decc8dca0e326625178afc08e1006882104a056d4dda68aa3ca6a066ac7110","cuc","CUC-HON-4-EAST",2016,8,2,11,2,1,"8",2,2016,14,"56"
"2408","fb7bcc90ccb186d97cf309d9bd3bbe9fbfc0e9ece4e217ff49c0a2fad689d754","cuc","CUC-HON-4-EAST",2016,8,2,11,2,1,"8",2,2016,0,"13"
"2451","9223cc6443d787da6709aeee8a7082d0d511d9252e82e5667fe076a10e49bf47","cgu","CUC-HON-4-EAST",2016,8,2,11,43,1,"8",2,2016,11,"53"
"1886","9223cc6443d787da6709aeee8a7082d0d511d9252e82e5667fe076a10e49bf47","cgu","CUC-HON-4-EAST",2016,8,2,11,53,1,"8",2,2016,14,"36"
"2380","fb7bcc90ccb186d97cf309d9bd3bbe9fbfc0e9ece4e217ff49c0a2fad689d754","cuc","CUC-HON-4-EAST",2016,8,2,12,23,1,"8",2,2016,14,"56"
"1884","9223cc6443d787da6709aeee8a7082d0d511d9252e82e5667fe076a10e49bf47","cgu","CUC-HON-4-EAST",2016,8,2,12,44,1,"8",2,2016,14,"36"
"2097","4edeeac4443034eac9abc751a72b4a6d691f657f1fa1c8579792b4d6bbc448d2","cmc","CUC-HON-4-EAST",2016,8,2,12,50,1,"8",2,2016,16,"49"
