"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"77","8919bd8b760c0ccdd409d88ef7c68f2ade0bcf83348f27f6a5199911a71cb951","cmc","CUC-MUDD-2-W",2016,7,31,0,56,6,"7",31,2016,1,"16"
"76","eebbd76bb0547eccfeb51649741cef4f992c11a3ec20337cf3859699201752a9","scr","CUC-MUDD-2-W",2016,7,31,21,0,6,"7",31,2016,21,"21"
"840","04338787986423569f47a8b0f3d3ba0deb4e567152686dea309d4ec7a0b7f9fe","cgu","CUC-MUDD-2-W",2016,8,1,8,29,0,"8",1,2016,15,"18"
"1383","74c4f06b72c1e7d50857f9a3a5bc5b90d815c0053c73b63dcb4f7ea02eb4a5e4","cgu","CUC-MUDD-2-W",2016,8,1,8,33,0,"8",1,2016,8,"43"
"1344","74c4f06b72c1e7d50857f9a3a5bc5b90d815c0053c73b63dcb4f7ea02eb4a5e4","cgu","CUC-MUDD-2-W",2016,8,1,9,3,0,"8",1,2016,9,"13"
"1073","2e9f85bcb00c28539c520b0f4ebc885ff35922618d8d6830b8c200b50eb3c534","cgu","CUC-MUDD-2-W",2016,8,1,9,13,0,"8",1,2016,10,"13"
"1307","74c4f06b72c1e7d50857f9a3a5bc5b90d815c0053c73b63dcb4f7ea02eb4a5e4","cgu","CUC-MUDD-2-W",2016,8,1,9,33,0,"8",1,2016,9,"43"
"1052","74c4f06b72c1e7d50857f9a3a5bc5b90d815c0053c73b63dcb4f7ea02eb4a5e4","cgu","CUC-MUDD-2-W",2016,8,1,10,13,0,"8",1,2016,10,"23"
"1009","1f708d88333c21c0a1c556bcec909cab9fe8e23a7156c4e11600a1ee276c2510","cmc","CUC-MUDD-2-W",2016,8,1,10,23,0,"8",1,2016,10,"43"
"1035","74c4f06b72c1e7d50857f9a3a5bc5b90d815c0053c73b63dcb4f7ea02eb4a5e4","cgu","CUC-MUDD-2-W",2016,8,1,10,23,0,"8",1,2016,10,"33"
"985","74c4f06b72c1e7d50857f9a3a5bc5b90d815c0053c73b63dcb4f7ea02eb4a5e4","cgu","CUC-MUDD-2-W",2016,8,1,10,43,0,"8",1,2016,10,"53"
"1475","74c4f06b72c1e7d50857f9a3a5bc5b90d815c0053c73b63dcb4f7ea02eb4a5e4","cgu","CUC-MUDD-2-W",2016,8,1,11,13,0,"8",1,2016,11,"43"
"914","b551b619c854df164a600704f0bf33c05072af6f8bc1ad0fb87126cb993f6b18","cuc","CUC-MUDD-2-W",2016,8,1,11,23,0,"8",1,2016,0,"04"
"941","1d4b466c6fc3835fdd477f616382bc4df8b863d335fe087ea7082590f584a3b6","scr","CUC-MUDD-2-W",2016,8,1,11,43,0,"8",1,2016,11,"54"
"913","66a8f4071b0b824e55a53e0f238d89e6cd80a96e807fbf9928f154b0e1018cae","cmc","CUC-MUDD-2-W",2016,8,1,11,53,0,"8",1,2016,0,"04"
"915","129c949eb732eb63eb5de86dada24efd59593929d478c60bcd5bd4d36f0caf9b","cmc","CUC-MUDD-2-W",2016,8,1,11,53,0,"8",1,2016,0,"04"
"864","030fb08b1e1c929eec899fd102859cbd1349af8d698e2d38b0375294aa8cb893","cmc","CUC-MUDD-2-W",2016,8,1,11,58,0,"8",1,2016,0,"24"
"457","2e9f85bcb00c28539c520b0f4ebc885ff35922618d8d6830b8c200b50eb3c534","cgu","CUC-MUDD-2-W",2016,8,1,12,4,0,"8",1,2016,0,"45"
"862","74c4f06b72c1e7d50857f9a3a5bc5b90d815c0053c73b63dcb4f7ea02eb4a5e4","cgu","CUC-MUDD-2-W",2016,8,1,12,14,0,"8",1,2016,0,"24"
"478","74c4f06b72c1e7d50857f9a3a5bc5b90d815c0053c73b63dcb4f7ea02eb4a5e4","cgu","CUC-MUDD-2-W",2016,8,1,12,24,0,"8",1,2016,0,"35"
"455","40e91d27a906c2ad0866f693ab59ee268ad6506235409f098e636ed91de84e78","pit","CUC-MUDD-2-W",2016,8,1,12,28,0,"8",1,2016,0,"45"
"378","2e9f85bcb00c28539c520b0f4ebc885ff35922618d8d6830b8c200b50eb3c534","cgu","CUC-MUDD-2-W",2016,8,1,12,55,0,"8",1,2016,13,"56"
"389","74c4f06b72c1e7d50857f9a3a5bc5b90d815c0053c73b63dcb4f7ea02eb4a5e4","cgu","CUC-MUDD-2-W",2016,8,1,13,5,0,"8",1,2016,13,"15"
"1223","74c4f06b72c1e7d50857f9a3a5bc5b90d815c0053c73b63dcb4f7ea02eb4a5e4","cgu","CUC-MUDD-2-W",2016,8,1,13,15,0,"8",1,2016,13,"26"
"241","74c4f06b72c1e7d50857f9a3a5bc5b90d815c0053c73b63dcb4f7ea02eb4a5e4","cgu","CUC-MUDD-2-W",2016,8,1,13,26,0,"8",1,2016,14,"47"
