"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"59","d3c87394ebeec909f779b669f3330a664b119cc8b8dd299bc401e9212716eab1","cuc","CUC-MUDD-3-IRIS-N",2016,7,30,22,35,5,"7",31,2016,6,"27"
"72","8ec5462c1ea5cbaa10da9e999a2ca3f3c39b1f4950964e6fa15f7d96fd382e96","cuc","CUC-MUDD-3-IRIS-N",2016,7,31,0,6,6,"7",31,2016,12,"15"
"68","8ec5462c1ea5cbaa10da9e999a2ca3f3c39b1f4950964e6fa15f7d96fd382e96","cuc","CUC-MUDD-3-IRIS-N",2016,7,31,3,37,6,"7",31,2016,3,"57"
"4325","8ec5462c1ea5cbaa10da9e999a2ca3f3c39b1f4950964e6fa15f7d96fd382e96","cuc","CUC-MUDD-3-IRIS-N",2016,7,31,3,47,6,"8",4,2016,23,"04"
"66","82cbf3565394ba4620a81e5078695dbe61196a67740cb99dddf2b2819dca930b","cuc","CUC-MUDD-3-IRIS-N",2016,7,31,4,7,6,"7",31,2016,4,"27"
"56","8ec5462c1ea5cbaa10da9e999a2ca3f3c39b1f4950964e6fa15f7d96fd382e96","cuc","CUC-MUDD-3-IRIS-N",2016,7,31,8,48,6,"7",31,2016,9,"08"
"53","8ec5462c1ea5cbaa10da9e999a2ca3f3c39b1f4950964e6fa15f7d96fd382e96","cuc","CUC-MUDD-3-IRIS-N",2016,7,31,10,38,6,"7",31,2016,10,"58"
"46","1c66001e6d280b2ee330b10784b00b411567c2d8303062cafd1c698b2bbe170a","cuc","CUC-MUDD-3-IRIS-N",2016,7,31,14,8,6,"7",31,2016,14,"37"
"32","8ec5462c1ea5cbaa10da9e999a2ca3f3c39b1f4950964e6fa15f7d96fd382e96","cuc","CUC-MUDD-3-IRIS-N",2016,7,31,20,41,6,"7",31,2016,21,"01"
"24","8ec5462c1ea5cbaa10da9e999a2ca3f3c39b1f4950964e6fa15f7d96fd382e96","cuc","CUC-MUDD-3-IRIS-N",2016,7,31,21,36,6,"7",31,2016,22,"41"
"27","8ec5462c1ea5cbaa10da9e999a2ca3f3c39b1f4950964e6fa15f7d96fd382e96","cuc","CUC-MUDD-3-IRIS-N",2016,7,31,21,38,6,"7",31,2016,22,"35"
"29","82cbf3565394ba4620a81e5078695dbe61196a67740cb99dddf2b2819dca930b","cuc","CUC-MUDD-3-IRIS-N",2016,7,31,22,1,6,"7",31,2016,22,"11"
"25","82cbf3565394ba4620a81e5078695dbe61196a67740cb99dddf2b2819dca930b","cuc","CUC-MUDD-3-IRIS-N",2016,7,31,22,11,6,"7",31,2016,22,"41"
"28","1c66001e6d280b2ee330b10784b00b411567c2d8303062cafd1c698b2bbe170a","cuc","CUC-MUDD-3-IRIS-N",2016,7,31,22,11,6,"7",31,2016,22,"31"
"1452","82cbf3565394ba4620a81e5078695dbe61196a67740cb99dddf2b2819dca930b","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,3,42,0,"8",1,2016,4,"02"
"1453","d3c87394ebeec909f779b669f3330a664b119cc8b8dd299bc401e9212716eab1","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,3,52,0,"8",1,2016,3,"58"
"1443","d3c87394ebeec909f779b669f3330a664b119cc8b8dd299bc401e9212716eab1","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,4,0,0,"8",1,2016,6,"12"
"1451","82cbf3565394ba4620a81e5078695dbe61196a67740cb99dddf2b2819dca930b","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,4,2,0,"8",1,2016,4,"22"
"1448","82cbf3565394ba4620a81e5078695dbe61196a67740cb99dddf2b2819dca930b","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,4,52,0,"8",1,2016,5,"02"
"1442","8b4006e223a1e3b997a1d48e65a51d7dcd95667b05ffbee769f5282fe289114e","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,5,51,0,"8",1,2016,6,"18"
"1439","8ee22eabbf94d90223cedc7cb5df01fa49c37c44ee9c3aa80b469cdedcbe3e6a","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,6,1,0,"8",1,2016,6,"42"
"1445","8ee22eabbf94d90223cedc7cb5df01fa49c37c44ee9c3aa80b469cdedcbe3e6a","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,6,1,0,"8",1,2016,6,"07"
"100","8ec5462c1ea5cbaa10da9e999a2ca3f3c39b1f4950964e6fa15f7d96fd382e96","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,6,2,0,"8",1,2016,22,"47"
"1444","82cbf3565394ba4620a81e5078695dbe61196a67740cb99dddf2b2819dca930b","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,6,2,0,"8",1,2016,6,"07"
"1436","8ee22eabbf94d90223cedc7cb5df01fa49c37c44ee9c3aa80b469cdedcbe3e6a","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,6,22,0,"8",1,2016,7,"12"
"1427","2d4e8aaee86b7b73f3f270a22335a6d9826d245305ff3b2fe33ea6495f9b55a6","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,7,32,0,"8",1,2016,7,"34"
"1428","8ee22eabbf94d90223cedc7cb5df01fa49c37c44ee9c3aa80b469cdedcbe3e6a","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,7,32,0,"8",1,2016,7,"34"
"1007","c5e4d587f7bb803d1306875eeffaa7f8f7406a824ed8eacb226a19f2ec28423d","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,8,2,0,"8",1,2016,10,"43"
"1412","8ee22eabbf94d90223cedc7cb5df01fa49c37c44ee9c3aa80b469cdedcbe3e6a","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,8,2,0,"8",1,2016,8,"12"
"1411","5a6c9842bcbcbd8f139975abda1a5e3d3fcbabcba0df6f745dc5e6fdf039de51","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,8,10,0,"8",1,2016,8,"12"
"1393","3cc37bf43bdd15bb269111103644f1465e171e2a0ad0dcd8b80fca25c00ac910","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,8,23,0,"8",1,2016,8,"33"
"1346","3cc37bf43bdd15bb269111103644f1465e171e2a0ad0dcd8b80fca25c00ac910","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,9,3,0,"8",1,2016,9,"13"
"1163","3cc37bf43bdd15bb269111103644f1465e171e2a0ad0dcd8b80fca25c00ac910","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,9,43,0,"8",1,2016,13,"46"
"1286","40df4bd8ddd74314f0a272d2ed789a6a2d05f29a5008f3705fb4661674bb7ef6","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,9,43,0,"8",1,2016,9,"53"
"1072","38fdd0828f0cb031d895b196fc222446a5a8b442c0fcfba365abdaace5df5fcc","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,10,3,0,"8",1,2016,10,"13"
"708","c5e4d587f7bb803d1306875eeffaa7f8f7406a824ed8eacb226a19f2ec28423d","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,11,3,0,"8",1,2016,16,"09"
"918","707a373091857be10578d711bd7fc430f823796fc4f72612d2b8399517dd8b66","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,11,54,0,"8",1,2016,0,"04"
"1194","d2844508182e895c8d6d63fbb96b6bba9d622cabed84d243d01acb99ed381e13","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,12,55,0,"8",1,2016,13,"36"
"295","8ee22eabbf94d90223cedc7cb5df01fa49c37c44ee9c3aa80b469cdedcbe3e6a","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,13,26,0,"8",1,2016,14,"27"
"659","e736cdf0de0035ef33244bb9b24bb86e53fc728f2e33e97e6d825249f3173f26","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,14,15,0,"8",1,2016,17,"00"
"639","3cc37bf43bdd15bb269111103644f1465e171e2a0ad0dcd8b80fca25c00ac910","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,14,47,0,"8",1,2016,17,"06"
"709","3d57970b6ee642249993b059d12ce0258559c12a0a798d5d3b13dac4d192da5f","pom","CUC-MUDD-3-IRIS-N",2016,8,1,15,59,0,"8",1,2016,16,"09"
"1119","707a373091857be10578d711bd7fc430f823796fc4f72612d2b8399517dd8b66","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,16,19,0,"8",1,2016,16,"40"
"668","2d4e8aaee86b7b73f3f270a22335a6d9826d245305ff3b2fe33ea6495f9b55a6","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,16,58,0,"8",1,2016,17,"00"
"554","e736cdf0de0035ef33244bb9b24bb86e53fc728f2e33e97e6d825249f3173f26","cuc","CUC-MUDD-3-IRIS-N",2016,8,1,17,10,0,"8",1,2016,17,"41"
