"","UUID","campus","WAPID","connect_year","connect_month","connect_day","connect_hour","connect_minute","connect_dow","disconnect_month","disconnect_day","disconnect_year","disconnect_hour","disconnect_minute"
"3","37c5dc8afa035e85fdf637b92ad56a6da364652f7b0118f84840b83faec71611","scr","CUC-MUDD-3-S-KECK2",2016,7,31,13,8,6,"7",31,2016,13,"18"
"1372","157f4b7a7d26d7c1b4320a7c1d9557098749a19e7a8c5fd29f854d7d6cf15ab3","cgu","CUC-MUDD-3-S-KECK2",2016,8,1,8,50,0,"8",1,2016,8,"53"
"689","2b7b8576a5397153f15fa6b2bfbedd4eb9a39839c2513453941f79cff97b1f07","cuc","CUC-MUDD-3-S-KECK2",2016,8,1,8,53,0,"8",1,2016,16,"09"
"1288","1d4b466c6fc3835fdd477f616382bc4df8b863d335fe087ea7082590f584a3b6","scr","CUC-MUDD-3-S-KECK2",2016,8,1,9,49,0,"8",1,2016,9,"53"
"875","045dd45e30c19c15533a2ee64596843de15c19bf0da0c04f9d82d18bc32fb51a","cuc","CUC-MUDD-3-S-KECK2",2016,8,1,9,53,0,"8",1,2016,0,"14"
"1252","ae4f946e8f4f34902dde7ea6f212e48f2adcb00fedd444a344d6991dae5fb8b6","cuc","CUC-MUDD-3-S-KECK2",2016,8,1,9,53,0,"8",1,2016,10,"03"
"867","ae4f946e8f4f34902dde7ea6f212e48f2adcb00fedd444a344d6991dae5fb8b6","cuc","CUC-MUDD-3-S-KECK2",2016,8,1,10,3,0,"8",1,2016,0,"14"
"1049","1d4b466c6fc3835fdd477f616382bc4df8b863d335fe087ea7082590f584a3b6","scr","CUC-MUDD-3-S-KECK2",2016,8,1,10,3,0,"8",1,2016,10,"23"
"1549","157f4b7a7d26d7c1b4320a7c1d9557098749a19e7a8c5fd29f854d7d6cf15ab3","cgu","CUC-MUDD-3-S-KECK2",2016,8,1,10,30,0,"8",1,2016,11,"03"
"893","0ab358f3211fb7268c46b226dc6ad05e837cec862d89a5a57a0a08c51ec98ffc","cuc","CUC-MUDD-3-S-KECK2",2016,8,1,10,33,0,"8",1,2016,0,"04"
"895","0ab358f3211fb7268c46b226dc6ad05e837cec862d89a5a57a0a08c51ec98ffc","cuc","CUC-MUDD-3-S-KECK2",2016,8,1,10,33,0,"8",1,2016,0,"04"
"959","5f7c747ebb19df21c8b7d421cb077bc2d6e5ee35f579f99e6c7a2ba49e6b1473","cgu","CUC-MUDD-3-S-KECK2",2016,8,1,10,33,0,"8",1,2016,11,"03"
"991","157f4b7a7d26d7c1b4320a7c1d9557098749a19e7a8c5fd29f854d7d6cf15ab3","cgu","CUC-MUDD-3-S-KECK2",2016,8,1,10,33,0,"8",1,2016,10,"43"
"1552","1583e542dc61b9cc2088b365cfde79313e8a184be6ff5d08ac32a502386b183d","cuc","CUC-MUDD-3-S-KECK2",2016,8,1,10,33,0,"8",1,2016,11,"03"
"492","dc6ba4e89090752acb270f4074171c656c7c0a33b78f0701eb76a267bff1bb11","cuc","CUC-MUDD-3-S-KECK2",2016,8,1,10,58,0,"8",1,2016,0,"24"
"340","b4f00a4492a19cd6783efe983b4d88cc136c4ade7c0d2fe7e431e0a807e9e366","cuc","CUC-MUDD-3-S-KECK2",2016,8,1,11,3,0,"8",1,2016,14,"06"
"420","b4f00a4492a19cd6783efe983b4d88cc136c4ade7c0d2fe7e431e0a807e9e366","cuc","CUC-MUDD-3-S-KECK2",2016,8,1,11,3,0,"8",1,2016,0,"55"
"498","05f60ffa3dbb0dcdd255e6ba3d7a43563778d2f2d20ea424f605af93caf87c89","cuc","CUC-MUDD-3-S-KECK2",2016,8,1,11,3,0,"8",1,2016,0,"24"
"889","9efc77538dc95f94f7a4a3d1994f0c08add74183ed48a9a59b09751f0bbc3f77","cuc","CUC-MUDD-3-S-KECK2",2016,8,1,11,3,0,"8",1,2016,0,"04"
"1525","dc6ba4e89090752acb270f4074171c656c7c0a33b78f0701eb76a267bff1bb11","cuc","CUC-MUDD-3-S-KECK2",2016,8,1,11,3,0,"8",1,2016,11,"13"
"1539","157f4b7a7d26d7c1b4320a7c1d9557098749a19e7a8c5fd29f854d7d6cf15ab3","cgu","CUC-MUDD-3-S-KECK2",2016,8,1,11,7,0,"8",1,2016,11,"13"
"887","d3765dd9c9d152b0bc10712af3a22c3ce918f506f544ce8bd49fc746ccd765f9","cuc","CUC-MUDD-3-S-KECK2",2016,8,1,11,13,0,"8",1,2016,0,"04"
"925","40df4bd8ddd74314f0a272d2ed789a6a2d05f29a5008f3705fb4661674bb7ef6","cuc","CUC-MUDD-3-S-KECK2",2016,8,1,11,33,0,"8",1,2016,11,"54"
"398","97580101fe1b134e18ece7cd84d06775c87ba5a9bc018e76be840471c0fd1be9","cuc","CUC-MUDD-3-S-KECK2",2016,8,1,11,45,0,"8",1,2016,13,"05"
"924","157f4b7a7d26d7c1b4320a7c1d9557098749a19e7a8c5fd29f854d7d6cf15ab3","cgu","CUC-MUDD-3-S-KECK2",2016,8,1,11,53,0,"8",1,2016,11,"54"
"920","157f4b7a7d26d7c1b4320a7c1d9557098749a19e7a8c5fd29f854d7d6cf15ab3","cgu","CUC-MUDD-3-S-KECK2",2016,8,1,11,54,0,"8",1,2016,11,"58"
"493","2b7b8576a5397153f15fa6b2bfbedd4eb9a39839c2513453941f79cff97b1f07","cuc","CUC-MUDD-3-S-KECK2",2016,8,1,12,3,0,"8",1,2016,0,"24"
"859","ea5a16cb4be86134a1e430b3882e034fa3e402ccc4af3a298e7a5cfc47c2734f","cuc","CUC-MUDD-3-S-KECK2",2016,8,1,12,4,0,"8",1,2016,0,"24"
"413","157f4b7a7d26d7c1b4320a7c1d9557098749a19e7a8c5fd29f854d7d6cf15ab3","cgu","CUC-MUDD-3-S-KECK2",2016,8,1,12,54,0,"8",1,2016,13,"05"
"850","97580101fe1b134e18ece7cd84d06775c87ba5a9bc018e76be840471c0fd1be9","cuc","CUC-MUDD-3-S-KECK2",2016,8,1,13,5,0,"8",1,2016,15,"08"
"273","1d4b466c6fc3835fdd477f616382bc4df8b863d335fe087ea7082590f584a3b6","scr","CUC-MUDD-3-S-KECK2",2016,8,1,13,56,0,"8",1,2016,14,"37"
